workload,N,rep,first_query_us,avg_us,majflt,minflt
A,0,1,303.25,1.79,180,271
A,0,2,294.76,1.79,180,270
A,0,3,303.17,1.76,180,270
A,1,1,487.48,1.78,180,269
A,1,2,382.78,1.78,180,269
A,1,3,387.99,1.76,180,269
A,5,1,231.31,1.75,180,271
A,5,2,228.96,1.78,180,271
A,5,3,221.31,1.80,180,271
A,10,1,230.52,1.76,180,271
A,10,2,240.54,1.79,180,272
A,10,3,226.96,1.81,180,271
A,20,1,227.72,1.76,178,280
A,20,2,225.15,1.75,178,281
A,20,3,220.62,1.75,178,281
A,46,1,225.27,1.77,178,281
A,46,2,219.70,1.75,178,282
A,46,3,226.70,1.77,178,281
A,92,1,227.72,1.75,178,281
A,92,2,221.29,1.75,178,281
A,92,3,224.20,1.76,178,281
