workload,N,rep,first_query_us,avg_us,majflt,minflt
A,0,1,411.34,1.80,177,276
A,0,2,400.61,1.77,177,276
A,0,3,406.42,1.78,177,276
A,1,1,515.42,1.78,177,275
A,1,2,408.10,1.80,177,276
A,1,3,410.56,1.79,177,275
A,5,1,130.72,1.77,177,275
A,5,2,136.58,1.79,177,275
A,5,3,156.00,1.78,177,275
A,10,1,128.66,1.76,177,276
A,10,2,125.14,1.78,177,275
A,10,3,138.87,1.77,177,276
A,20,1,123.09,1.76,176,275
A,20,2,127.92,1.78,176,275
A,20,3,132.41,1.76,176,275
A,46,1,131.17,1.79,176,275
A,46,2,130.97,1.75,176,275
A,46,3,132.32,1.78,176,275
A,92,1,109.05,1.80,176,276
A,92,2,120.40,1.77,176,276
A,92,3,116.15,1.80,176,275
B,0,1,509.42,1.84,182,277
B,0,2,415.11,1.86,182,277
B,0,3,404.81,1.83,182,277
B,1,1,408.12,1.84,182,275
B,1,2,405.84,1.84,182,275
B,1,3,423.33,1.86,182,276
B,5,1,432.78,1.84,182,275
B,5,2,361.82,1.84,182,275
B,5,3,430.94,1.86,182,275
B,10,1,431.50,1.83,182,275
B,10,2,429.38,1.83,182,275
B,10,3,451.22,1.81,182,275
B,20,1,241.25,1.84,181,275
B,20,2,460.75,1.82,181,276
B,20,3,239.97,1.83,181,275
B,46,1,277.24,1.85,181,275
B,46,2,248.25,1.84,181,276
B,46,3,444.92,1.84,181,275
B,92,1,336.69,1.86,181,275
B,92,2,427.42,1.88,181,275
B,92,3,335.21,1.82,181,275
C,0,1,476.21,1.51,25,27
C,0,2,456.46,1.55,25,27
C,0,3,463.32,1.50,25,27
C,1,1,408.03,1.52,25,27
C,1,2,402.32,1.52,25,27
C,1,3,410.33,1.51,25,27
C,5,1,329.51,1.51,25,28
C,5,2,336.02,1.51,25,27
C,5,3,324.42,1.52,25,27
C,10,1,327.58,1.51,25,27
C,10,2,262.56,1.50,25,27
C,10,3,327.02,1.51,25,27
C,20,1,358.56,1.52,25,27
C,20,2,330.49,1.51,25,27
C,20,3,319.77,1.52,25,27
C,46,1,312.55,1.53,25,27
C,46,2,346.38,1.51,25,27
C,46,3,312.83,1.52,25,27
C,92,1,411.47,1.52,24,28
C,92,2,245.68,1.54,24,28
C,92,3,418.44,1.52,24,28
B,0,4,414.10,1.83,182,277
B,0,5,412.90,1.84,182,277
B,0,6,411.60,1.82,182,277
B,1,4,409.81,1.82,182,275
B,1,5,406.23,1.83,182,275
B,1,6,414.46,1.86,182,275
B,5,4,359.13,1.86,182,275
B,5,5,435.72,1.85,182,275
B,5,6,442.92,1.86,182,275
B,10,4,431.87,1.84,182,275
B,10,5,431.60,1.82,182,275
B,10,6,429.77,1.85,182,275
B,20,4,409.68,1.88,181,275
B,20,5,412.63,1.99,181,275
B,20,6,420.52,1.90,181,275
B,46,4,362.36,1.84,181,275
B,46,5,267.50,1.94,181,275
B,46,6,443.09,1.85,181,276
B,92,4,417.80,1.85,181,275
B,92,5,427.22,1.83,181,275
B,92,6,428.97,1.88,181,275
C,0,4,461.80,1.52,25,27
C,0,5,458.41,1.50,25,27
C,0,6,458.29,1.53,25,27
C,1,4,405.73,1.52,25,28
C,1,5,418.28,1.52,25,27
C,1,6,409.12,1.51,25,27
C,5,4,326.81,1.54,25,27
C,5,5,315.55,1.50,25,28
C,5,6,318.05,1.52,25,27
C,10,4,312.80,1.51,25,27
C,10,5,315.32,1.51,25,27
C,10,6,317.74,1.53,25,27
C,20,4,326.30,1.51,25,27
C,20,5,319.63,1.51,25,27
C,20,6,343.04,1.52,25,27
C,46,4,310.21,1.54,25,27
C,46,5,306.25,1.52,25,27
C,46,6,309.08,1.53,25,27
C,92,4,411.38,1.56,24,28
C,92,5,416.86,1.52,24,28
C,92,6,414.26,1.51,24,28
