workload,N,rep,first_query_us,avg_us,majflt,minflt
A,0,1,511.11,2.04,180,270
A,0,2,461.50,2.01,180,271
A,0,3,504.72,2.05,180,270
A,1,1,639.36,2.03,180,269
A,1,2,646.38,2.01,180,269
A,1,3,593.51,2.04,180,269
A,2,1,642.02,2.02,180,269
A,2,2,631.24,2.01,180,269
A,2,3,591.30,2.03,180,269
A,3,1,633.69,2.04,180,269
A,3,2,582.16,2.05,180,269
A,3,3,645.08,2.02,180,270
A,4,1,357.27,2.02,180,270
A,4,2,333.06,2.03,180,270
A,4,3,291.62,2.03,180,270
A,5,1,343.56,2.06,180,271
A,5,2,295.83,2.08,180,271
A,5,3,289.18,2.07,180,271
A,6,1,296.50,2.04,180,271
A,6,2,300.30,2.05,180,271
A,6,3,343.51,2.06,180,271
A,7,1,288.22,2.04,180,271
A,7,2,312.04,2.04,180,271
A,7,3,292.64,2.08,180,271
A,8,1,345.93,2.03,180,271
A,8,2,288.97,2.03,180,271
A,8,3,372.99,2.05,180,271
A,9,1,293.52,2.04,180,271
A,9,2,298.19,2.03,180,271
A,9,3,331.40,2.03,180,271
A,10,1,291.46,2.05,180,271
A,10,2,293.79,2.02,180,271
A,10,3,337.37,2.04,180,271
A,11,1,290.89,2.04,178,275
A,11,2,290.44,2.04,178,274
A,11,3,292.34,2.02,178,274
A,12,1,330.25,2.04,179,273
A,12,2,328.92,2.04,179,273
A,12,3,334.19,2.05,179,273
A,13,1,344.31,2.04,179,278
A,13,2,283.64,2.09,179,278
A,13,3,350.21,2.04,179,278
A,14,1,336.47,2.05,179,278
A,14,2,339.49,2.03,179,278
A,14,3,331.20,2.07,179,278
A,15,1,293.20,2.04,179,279
A,15,2,357.52,2.01,179,279
A,15,3,290.43,2.04,179,279
A,16,1,341.56,2.01,179,281
A,16,2,345.72,2.06,179,281
A,16,3,330.31,2.04,179,281
A,17,1,349.67,2.06,179,281
A,17,2,340.98,2.02,179,282
A,17,3,291.38,2.03,179,282
A,18,1,287.65,2.01,178,283
A,18,2,343.06,2.04,178,282
A,18,3,339.85,2.02,178,283
A,19,1,332.03,2.03,178,283
A,19,2,293.11,2.04,178,283
A,19,3,310.07,2.04,178,283
A,20,1,335.01,2.06,178,283
A,20,2,339.24,2.02,178,283
A,20,3,345.58,2.05,178,283
A,21,1,336.54,2.01,178,283
A,21,2,341.25,2.02,178,284
