workload,N,rep,first_query_us,avg_us,majflt,minflt
A,0,1,585.50,2.09,177,277
A,0,2,633.45,2.08,177,276
A,0,3,639.88,2.07,177,277
A,1,1,819.23,2.07,177,276
A,1,2,813.59,2.06,177,276
A,1,3,807.66,2.05,177,276
A,2,1,823.57,2.06,177,276
A,2,2,811.28,2.08,177,276
A,2,3,815.15,2.08,177,277
A,3,1,815.30,2.08,177,276
A,3,2,819.56,2.09,177,276
A,3,3,743.07,2.06,177,276
A,4,1,157.50,2.11,177,276
A,4,2,159.18,2.07,177,275
A,4,3,163.34,2.09,177,275
A,5,1,159.79,2.06,177,276
A,5,2,161.42,2.09,177,276
A,5,3,158.69,2.06,177,276
A,6,1,186.68,2.08,177,276
A,6,2,184.91,2.08,177,276
A,6,3,159.25,2.08,177,276
A,7,1,170.44,2.07,177,276
A,7,2,159.24,2.08,177,275
A,7,3,158.08,2.07,177,276
A,8,1,267.30,2.08,177,276
A,8,2,301.13,2.06,177,276
A,8,3,161.11,2.07,177,276
A,9,1,216.22,2.06,177,276
A,9,2,274.75,2.08,177,276
A,9,3,162.58,2.14,177,276
A,10,1,166.02,2.09,177,276
A,10,2,190.19,2.05,177,276
A,10,3,158.35,2.09,177,276
A,11,1,265.41,2.07,177,276
A,11,2,197.32,2.08,177,275
A,11,3,164.39,2.07,177,276
A,12,1,249.85,2.09,177,276
A,12,2,176.59,2.07,177,275
A,12,3,199.90,2.06,177,276
A,13,1,171.31,2.10,177,275
A,13,2,210.05,2.08,177,275
A,13,3,155.36,2.07,177,275
A,14,1,198.16,2.07,177,275
A,14,2,168.56,2.10,177,275
A,14,3,171.06,2.08,177,275
A,15,1,159.49,2.10,177,275
A,15,2,167.79,2.07,177,275
A,15,3,223.46,2.07,177,274
A,16,1,171.63,2.06,177,276
A,16,2,163.38,2.10,177,276
A,16,3,164.47,2.08,177,276
A,17,1,287.96,2.04,177,276
A,17,2,159.09,2.07,177,276
A,17,3,190.84,2.07,177,276
A,18,1,163.61,2.07,176,276
A,18,2,168.55,2.04,176,276
A,18,3,205.54,2.02,176,276
A,19,1,288.01,2.09,176,276
A,19,2,179.27,2.07,176,275
A,19,3,158.30,2.08,176,277
A,20,1,246.79,2.06,176,276
A,20,2,162.15,2.07,176,276
A,20,3,159.05,2.10,176,277
A,21,1,283.75,2.05,176,276
A,21,2,201.62,2.05,176,277
A,21,3,163.22,2.08,176,276
A,22,1,176.77,2.07,176,276
A,22,2,177.83,2.07,176,275
A,22,3,159.54,2.06,176,276
A,23,1,165.24,2.10,176,275
A,23,2,175.02,2.06,176,276
A,23,3,158.72,2.07,176,276
A,24,1,204.24,2.09,176,276
A,24,2,243.43,2.05,176,276
A,24,3,165.43,2.08,176,276
A,25,1,247.34,2.06,176,275
A,25,2,161.81,2.06,176,276
A,25,3,155.72,2.06,176,276
A,26,1,263.54,2.05,176,277
A,26,2,156.64,2.10,176,276
A,26,3,157.90,2.04,176,276
A,27,1,157.71,2.06,176,275
A,27,2,170.37,2.08,176,275
A,27,3,160.49,2.12,176,276
A,28,1,163.24,2.07,176,276
A,28,2,242.41,2.09,176,277
A,28,3,266.46,2.05,176,276
A,29,1,250.04,2.06,176,276
A,29,2,244.44,2.07,176,276
A,29,3,182.11,2.07,176,276
A,30,1,169.37,2.08,176,276
A,30,2,166.22,2.05,176,276
A,30,3,163.05,2.08,176,276
A,31,1,230.57,2.05,176,276
A,31,2,250.42,2.03,176,276
A,31,3,166.42,2.09,176,277
A,32,1,170.16,2.01,176,276
A,32,2,164.62,2.08,176,276
A,32,3,169.73,2.08,176,276
A,33,1,172.38,2.01,176,276
A,33,2,170.49,2.01,176,275
A,33,3,169.37,2.02,176,276
