workload,N,rep,first_query_us,avg_us,majflt,minflt
A,0,1,606.07,2.05,142,219
A,0,2,606.91,1.94,142,219
A,0,3,617.06,1.93,142,219
A,1,1,901.10,1.94,142,218
A,1,2,895.57,1.94,142,218
A,1,3,813.96,1.92,142,218
A,2,1,883.07,1.94,142,219
A,2,2,814.80,1.92,142,218
A,2,3,886.21,1.94,142,218
A,3,1,888.19,1.96,142,218
A,3,2,878.84,1.96,142,218
A,3,3,890.53,1.96,142,218
A,4,1,479.02,1.99,142,219
A,4,2,479.26,1.97,142,219
A,4,3,481.71,1.92,142,220
A,5,1,482.70,1.92,143,219
A,5,2,478.80,1.97,143,219
A,5,3,477.21,1.96,143,219
A,6,1,487.09,1.99,143,220
A,6,2,480.41,1.93,143,220
A,6,3,481.25,1.96,143,220
A,7,1,480.77,1.94,144,222
A,7,2,530.25,1.99,144,222
A,7,3,477.26,1.94,144,223
A,8,1,481.12,1.98,144,222
A,8,2,478.72,1.96,144,222
A,8,3,483.90,1.96,144,222
A,9,1,479.66,1.98,143,225
A,9,2,480.25,1.98,143,224
A,9,3,485.81,1.94,143,224
A,10,1,476.98,1.94,143,225
A,10,2,481.89,1.95,143,224
A,10,3,495.99,1.95,143,225
A,11,1,489.02,1.94,143,228
A,11,2,479.77,1.97,143,228
A,11,3,478.71,1.97,143,228
A,12,1,480.22,1.94,142,230
A,12,2,476.03,1.98,142,229
A,12,3,479.14,1.96,142,229
A,13,1,474.76,1.94,142,229
A,13,2,480.35,1.96,142,229
A,13,3,483.97,1.96,142,230
A,14,1,510.26,1.94,142,229
A,14,2,478.66,1.94,142,229
A,14,3,485.17,1.96,142,229
A,15,1,482.47,1.96,142,229
A,15,2,481.60,1.95,142,229
A,15,3,488.40,2.00,142,229
A,16,1,480.20,1.94,142,229
A,16,2,503.24,1.97,142,229
A,16,3,539.30,1.97,142,229
A,17,1,484.96,1.95,142,229
A,17,2,478.10,1.95,142,230
A,17,3,475.89,1.95,142,230
A,18,1,480.81,1.95,142,229
A,18,2,478.99,1.98,142,229
A,18,3,487.03,1.95,142,230
A,19,1,480.11,1.96,142,229
A,19,2,479.14,1.94,142,229
A,19,3,489.93,1.97,142,229
A,20,1,481.72,1.97,142,229
A,20,2,478.28,1.95,142,229
A,20,3,479.09,1.90,142,229
A,21,1,487.41,1.93,142,229
A,21,2,477.57,1.93,142,229
A,21,3,482.11,1.92,142,230
A,22,1,498.69,1.89,142,229
A,22,2,480.89,1.93,142,229
A,22,3,481.42,1.93,142,229
A,23,1,486.48,1.94,142,229
A,23,2,422.83,1.93,142,229
A,23,3,483.67,1.92,142,229
A,24,1,418.83,1.90,142,229
A,24,2,475.06,1.91,142,229
A,24,3,481.20,1.90,142,229
A,25,1,516.44,1.90,142,230
A,25,2,419.16,1.91,142,230
A,25,3,480.75,1.93,142,229
A,26,1,474.81,1.97,142,230
A,26,2,479.58,1.98,142,229
