workload,layout,N,first_query_us
A,orig,0,332.35
A,orig,1,379.60
A,orig,2,375.15
A,orig,3,392.23
A,orig,5,227.56
A,orig,8,224.68
A,orig,13,228.17
A,orig,21,222.78
A,orig,34,230.48
A,orig,46,220.81
A,orig,64,225.06
A,orig,92,243.75
B,orig,0,471.00
B,orig,1,381.15
B,orig,2,405.13
B,orig,3,405.65
B,orig,5,242.85
B,orig,8,239.42
B,orig,13,240.55
B,orig,21,250.47
B,orig,34,244.25
B,orig,46,251.49
B,orig,64,244.11
B,orig,92,245.96
C,orig,0,521.36
C,orig,1,450.31
C,orig,2,443.85
C,orig,3,447.91
C,orig,5,447.66
C,orig,8,452.93
C,orig,13,448.22
C,orig,21,443.13
C,orig,34,443.83
C,orig,46,444.23
C,orig,64,446.66
C,orig,92,262.24
A,vacuum,0,363.47
A,vacuum,1,436.28
A,vacuum,2,444.58
A,vacuum,3,427.70
A,vacuum,5,236.40
A,vacuum,8,232.88
A,vacuum,13,236.53
A,vacuum,21,234.28
A,vacuum,34,221.51
A,vacuum,46,221.42
A,vacuum,64,235.29
A,vacuum,92,220.98
B,vacuum,0,561.68
B,vacuum,1,474.74
B,vacuum,2,474.86
B,vacuum,3,470.86
B,vacuum,5,269.11
B,vacuum,8,270.71
B,vacuum,13,270.34
B,vacuum,21,267.55
B,vacuum,34,269.40
B,vacuum,46,269.62
B,vacuum,64,269.42
B,vacuum,92,275.30
C,vacuum,0,478.81
C,vacuum,1,410.18
C,vacuum,2,411.01
C,vacuum,3,410.43
C,vacuum,5,408.70
C,vacuum,8,411.29
C,vacuum,13,410.05
C,vacuum,21,410.87
C,vacuum,34,408.78
C,vacuum,46,411.55
C,vacuum,64,244.47
C,vacuum,92,246.69
A,ta,0,492.00
A,ta,1,456.41
A,ta,2,445.71
A,ta,3,446.99
A,ta,5,127.04
A,ta,8,129.32
A,ta,13,127.97
A,ta,21,127.27
A,ta,34,130.18
A,ta,46,126.63
A,ta,64,132.76
A,ta,92,113.51
B,ta,0,478.31
B,ta,1,450.85
B,ta,2,448.98
B,ta,3,452.79
B,ta,5,433.33
B,ta,8,431.18
B,ta,13,423.06
B,ta,21,423.98
B,ta,34,395.19
B,ta,46,427.75
B,ta,64,399.35
B,ta,92,435.06
C,ta,0,534.02
C,ta,1,465.79
C,ta,2,463.03
C,ta,3,467.64
C,ta,5,422.55
C,ta,8,473.84
C,ta,13,406.55
C,ta,21,354.74
C,ta,34,399.67
C,ta,46,458.00
C,ta,64,346.66
C,ta,92,486.17
