workload,db,strategy,arm,n,ra_kb,fq_median,fq_p95,fq_min,fq_stdev,delivery_pct_median,preproc_us_median,e2e_median,cold_pct_max
A,orig,baseline,baseline,5,128,492.36,499.45,490.21,3.88,0.0,0.00,492.36,0.0
A,orig,layers_1,async,5,128,675.87,688.81,635.42,23.07,100.0,241.15,917.02,0.0
A,orig,layers_1,pread,1,128,643.95,,643.95,0,100.0,324.66,968.61,0.0
A,orig,layers_13,async,5,128,349.00,374.59,329.69,18.85,100.0,254.46,603.46,0.0
A,orig,layers_13,pread,1,128,157.74,,157.74,0,100.0,1486.34,1644.08,0.0
A,orig,layers_2,async,5,128,639.98,650.78,579.66,25.68,100.0,241.23,878.69,0.0
A,orig,layers_2,pread,1,128,630.86,,630.86,0,100.0,419.07,1049.93,0.0
A,orig,layers_21,async,5,128,335.89,474.23,329.14,70.08,100.0,266.76,602.86,0.0
A,orig,layers_21,pread,1,128,152.97,,152.97,0,100.0,2154.78,2307.75,0.0
A,orig,layers_3,async,5,128,639.67,680.54,631.07,20.62,100.0,242.72,882.80,0.0
A,orig,layers_3,pread,1,128,455.99,,455.99,0,100.0,430.44,886.43,0.0
A,orig,layers_34,async,5,128,335.01,380.97,331.97,23.13,100.0,288.86,630.14,0.0
A,orig,layers_34,pread,1,128,152.07,,152.07,0,100.0,3235.35,3387.42,0.0
A,orig,layers_46,async,5,128,337.57,381.48,334.47,22.16,100.0,299.20,633.87,0.0
A,orig,layers_46,pread,1,128,162.44,,162.44,0,100.0,4266.39,4428.83,0.0
A,orig,layers_5,async,5,128,335.61,373.70,329.35,19.82,100.0,244.84,581.32,0.0
A,orig,layers_5,pread,1,128,150.42,,150.42,0,100.0,617.81,768.23,0.0
A,orig,layers_64,async,5,128,338.84,408.05,304.69,39.26,100.0,294.21,630.38,0.0
A,orig,layers_64,pread,1,128,152.59,,152.59,0,100.0,5766.91,5919.50,0.0
A,orig,layers_8,async,5,128,330.91,368.20,329.85,18.76,100.0,249.63,581.01,0.0
A,orig,layers_8,pread,1,128,153.04,,153.04,0,100.0,966.15,1119.19,0.0
A,orig,layers_92,async,5,128,337.37,369.86,334.22,16.61,100.0,336.81,673.85,0.0
A,orig,layers_92,pread,1,128,754.19,,754.19,0,100.0,8639.33,9393.52,0.0
