workload,db,strategy,arm,ra_kb,rep,warmup,cold_pct,delivery_pct,first_query_us,preproc_us,e2e_us,avg_us,majflt,minflt,load,memavail_kb
A,orig,baseline,baseline,128,1,1,0.00,0.00,503.15,0.00,503.15,2.16,180.00,270.00,1.00,53968472
A,vacuum,baseline,baseline,128,1,1,0.00,0.00,701.23,0.00,701.23,2.03,142.00,219.00,1.08,53975164
A,ta,baseline,baseline,128,1,1,0.00,0.00,658.01,0.00,658.01,2.18,177.00,277.00,1.08,53976240
B,orig,baseline,baseline,128,1,1,0.00,0.00,738.18,0.00,738.18,2.23,181.00,273.00,1.08,53977388
B,vacuum,baseline,baseline,128,1,1,0.00,0.00,1022.03,0.00,1022.03,2.15,144.00,237.00,1.08,53980556
B,ta,baseline,baseline,128,1,1,0.00,0.00,789.42,0.00,789.42,2.27,182.00,277.00,1.08,53982332
C,orig,baseline,baseline,128,1,1,0.00,0.00,1063.82,0.00,1063.82,1.59,24.00,25.00,1.08,53983336
C,vacuum,baseline,baseline,128,1,1,0.00,0.00,1006.20,0.00,1006.20,1.53,14.00,33.00,1.08,53983912
C,ta,baseline,baseline,128,1,1,0.00,0.00,868.85,0.00,868.85,1.62,25.00,27.00,1.08,53986748
Z,orig,baseline,baseline,128,1,1,0.00,0.00,435.03,0.00,435.03,1.47,2.00,10.00,1.08,53987604
Z,vacuum,baseline,baseline,128,1,1,0.00,0.00,709.26,0.00,709.26,1.49,2.00,11.00,1.08,53987676
Z,ta,baseline,baseline,128,1,1,0.00,0.00,728.34,0.00,728.34,1.49,3.00,13.00,1.08,54089080
A,orig,layers_1,pread,128,1,1,0.00,100.00,671.67,385.12,1056.79,2.19,180.00,269.00,1.08,53983080
A,orig,layers_1,async,128,1,1,0.00,100.00,642.08,303.96,946.04,2.18,180.00,269.00,1.08,53983932
A,orig,layers_2,pread,128,1,1,0.00,100.00,634.84,481.42,1116.26,2.20,180.00,269.00,1.08,53990656
A,orig,layers_2,async,128,1,1,0.00,100.00,642.41,300.77,943.18,2.15,180.00,269.00,1.08,53985724
A,orig,layers_3,pread,128,1,1,0.00,100.00,453.56,457.60,911.16,2.21,180.00,269.00,1.08,53986736
A,orig,layers_3,async,128,1,1,0.00,100.00,640.26,288.73,928.99,2.18,180.00,269.00,1.08,53986920
A,orig,layers_4,pread,128,1,1,0.00,100.00,156.07,583.26,739.33,2.16,180.00,270.00,1.15,53987804
A,orig,layers_4,async,128,1,1,0.00,100.00,382.88,293.08,675.96,2.13,180.00,270.00,1.15,53989068
A,orig,layers_5,pread,128,1,1,0.00,100.00,154.13,671.30,825.43,2.17,180.00,271.00,1.15,53989400
A,orig,layers_5,async,128,1,1,0.00,100.00,337.04,300.72,637.76,2.17,180.00,271.00,1.15,53989916
A,orig,layers_6,pread,128,1,1,0.00,100.00,157.88,654.22,812.10,2.18,180.00,271.00,1.15,53990316
A,orig,layers_6,async,128,1,1,0.00,100.00,340.56,268.50,609.06,2.13,180.00,271.00,1.15,53990284
A,orig,layers_8,pread,128,1,1,0.00,100.00,157.42,914.07,1071.49,2.18,180.00,272.00,1.15,53991376
A,orig,layers_8,async,128,1,1,0.00,100.00,341.09,307.81,648.90,2.19,180.00,271.00,1.15,53992288
A,orig,layers_12,pread,128,1,1,0.00,100.00,160.13,1391.67,1551.80,2.15,178.00,276.00,1.15,53991984
A,orig,layers_12,async,128,1,1,0.00,100.00,309.70,276.92,586.62,2.17,179.00,273.00,1.15,53992924
A,orig,layers_16,pread,128,1,1,0.00,100.00,158.37,1720.96,1879.33,2.19,178.00,284.00,1.15,53993832
A,orig,layers_16,async,128,1,1,0.00,100.00,306.53,279.21,585.74,2.14,179.00,281.00,1.15,53994248
A,orig,layers_24,pread,128,1,1,0.00,100.00,156.54,2315.04,2471.58,2.17,177.00,286.00,1.15,53995284
A,orig,layers_24,async,128,1,1,0.00,100.00,394.17,294.60,688.77,2.18,178.00,283.00,1.15,53995732
A,orig,layers_32,pread,128,1,1,0.00,100.00,166.32,3061.30,3227.62,2.17,177.00,286.00,1.15,53995840
A,orig,layers_32,async,128,1,1,0.00,100.00,339.54,309.60,649.14,2.19,178.00,283.00,1.15,53988644
A,orig,layers_46,pread,128,1,1,0.00,100.00,149.85,4200.02,4349.87,2.19,177.00,286.00,1.38,54007616
A,orig,layers_46,async,128,1,1,0.00,100.00,341.49,304.21,645.70,2.13,178.00,283.00,1.38,54008348
A,orig,layers_64,pread,128,1,1,0.00,100.00,157.58,5654.44,5812.02,2.17,177.00,286.00,1.38,54008708
A,orig,layers_64,async,128,1,1,0.00,100.00,331.61,385.88,717.49,2.14,178.00,283.00,1.38,54008992
A,orig,layers_92,pread,128,1,1,0.00,100.00,158.22,8210.53,8368.75,2.20,177.00,286.00,1.38,54009388
A,orig,layers_92,async,128,1,1,0.00,100.00,340.37,429.38,769.75,2.20,178.00,283.00,1.38,54009952
A,vacuum,layers_1,pread,128,1,1,0.00,100.00,966.84,266.91,1233.75,2.04,142.00,218.00,1.38,54009660
A,vacuum,layers_1,async,128,1,1,0.00,100.00,965.67,300.38,1266.05,2.03,142.00,218.00,1.38,54010848
A,vacuum,layers_2,pread,128,1,1,0.00,100.00,891.71,435.53,1327.24,2.04,142.00,218.00,1.38,54010024
A,vacuum,layers_2,async,128,1,1,0.00,100.00,977.27,296.17,1273.44,2.05,142.00,218.00,1.38,54009888
A,vacuum,layers_3,pread,128,1,1,0.00,100.00,593.25,430.02,1023.27,2.03,142.00,219.00,1.38,54009512
A,vacuum,layers_3,async,128,1,1,0.00,100.00,964.33,257.53,1221.86,2.06,142.00,218.00,1.38,54010332
A,vacuum,layers_4,pread,128,1,1,0.00,100.00,190.04,512.14,702.18,2.07,142.00,220.00,1.38,54010880
A,vacuum,layers_4,async,128,1,1,0.00,100.00,555.45,303.58,859.03,2.06,142.00,219.00,1.38,54011112
A,vacuum,layers_5,pread,128,1,1,0.00,100.00,194.41,704.23,898.64,2.04,143.00,221.00,1.38,54010308
A,vacuum,layers_5,async,128,1,1,0.00,100.00,558.32,306.25,864.57,2.05,143.00,219.00,1.38,54011040
A,vacuum,layers_6,pread,128,1,1,0.00,100.00,189.41,838.22,1027.63,2.05,143.00,222.00,1.43,54010796
A,vacuum,layers_6,async,128,1,1,0.00,100.00,555.53,258.32,813.85,2.00,143.00,220.00,1.43,54012352
A,vacuum,layers_8,pread,128,1,1,0.00,100.00,190.26,1048.08,1238.34,2.03,144.00,224.00,1.43,54011544
A,vacuum,layers_8,async,128,1,1,0.00,100.00,556.43,297.24,853.67,2.05,144.00,222.00,1.43,54024456
A,vacuum,layers_12,pread,128,1,1,0.00,100.00,187.91,1425.79,1613.70,2.05,142.00,231.00,1.43,54025116
A,vacuum,layers_12,async,128,1,1,0.00,100.00,496.11,306.42,802.53,2.01,142.00,229.00,1.43,54025164
A,vacuum,layers_16,pread,128,1,1,0.00,100.00,188.56,1704.60,1893.16,2.04,142.00,231.00,1.43,54025776
A,vacuum,layers_16,async,128,1,1,0.00,100.00,561.26,290.63,851.89,2.04,142.00,229.00,1.43,54399288
A,vacuum,layers_24,pread,128,1,1,0.00,100.00,183.78,2626.22,2810.00,2.07,142.00,231.00,1.43,53999660
A,vacuum,layers_24,async,128,1,1,0.00,100.00,503.71,317.36,821.07,2.00,142.00,229.00,1.43,53999684
A,vacuum,layers_32,pread,128,1,1,0.00,100.00,189.41,3024.74,3214.15,2.04,142.00,231.00,1.43,53999788
A,vacuum,layers_32,async,128,1,1,0.00,100.00,552.27,298.36,850.63,2.04,142.00,229.00,1.43,53999948
A,vacuum,layers_46,pread,128,1,1,0.00,100.00,186.62,4208.40,4395.02,2.05,142.00,231.00,1.43,53999592
A,vacuum,layers_46,async,128,1,1,0.00,100.00,549.54,308.43,857.97,2.02,142.00,229.00,1.43,53999924
A,vacuum,layers_64,pread,128,1,1,0.00,100.00,188.39,5753.05,5941.44,2.04,142.00,231.00,1.43,54000400
A,vacuum,layers_64,async,128,1,1,0.00,100.00,491.83,379.38,871.21,2.00,142.00,229.00,1.43,54000208
A,vacuum,layers_92,pread,128,1,1,0.00,100.00,190.47,7639.52,7829.99,2.04,142.00,231.00,1.48,54000200
A,vacuum,layers_92,async,128,1,1,0.00,100.00,489.66,370.56,860.22,2.00,142.00,229.00,1.48,54000292
A,ta,layers_1,pread,128,1,1,0.00,100.00,860.77,339.59,1200.36,2.17,177.00,276.00,1.48,54000564
A,ta,layers_1,async,128,1,1,0.00,100.00,825.56,260.29,1085.85,2.18,177.00,276.00,1.48,54000492
A,ta,layers_2,pread,128,1,1,0.00,100.00,490.63,472.66,963.29,2.16,177.00,276.00,1.48,54000260
A,ta,layers_2,async,128,1,1,0.00,100.00,864.89,292.93,1157.82,2.18,177.00,276.00,1.48,53999700
A,ta,layers_3,pread,128,1,1,0.00,100.00,483.75,440.02,923.77,2.20,177.00,277.00,1.48,53994416
A,ta,layers_3,async,128,1,1,0.00,100.00,795.26,260.92,1056.18,2.17,177.00,276.00,1.48,53996408
A,ta,layers_4,pread,128,1,1,0.00,100.00,486.20,483.44,969.64,2.17,177.00,278.00,1.48,53996800
A,ta,layers_4,async,128,1,1,0.00,100.00,483.68,295.67,779.35,2.20,177.00,276.00,1.48,53997644
A,ta,layers_5,pread,128,1,1,0.00,100.00,478.53,476.41,954.94,2.14,177.00,277.00,1.48,53998040
A,ta,layers_5,async,128,1,1,0.00,100.00,498.81,260.15,758.96,2.16,177.00,276.00,1.48,53998508
A,ta,layers_6,pread,128,1,1,0.00,100.00,503.66,632.57,1136.23,2.17,177.00,276.00,1.48,53998944
A,ta,layers_6,async,128,1,1,0.00,100.00,496.55,274.25,770.80,2.15,177.00,276.00,1.48,53998476
