workload,db,strategy,arm,ra_kb,rep,warmup,cold_pct,delivery_pct,first_query_us,preproc_us,e2e_us,avg_us,majflt,minflt,load,memavail_kb
A,orig,baseline,baseline,128,1,1,0.00,0.00,3885.11,0.00,3885.11,2.26,222.00,307.00,1.01,53984176
A,vacuum,baseline,baseline,128,1,1,0.00,0.00,702.48,0.00,702.48,2.04,142.00,219.00,1.01,53989288
A,ta,baseline,baseline,128,1,1,0.00,0.00,686.86,0.00,686.86,2.31,236.00,316.00,1.01,53990400
B,orig,baseline,baseline,128,1,1,0.00,0.00,727.18,0.00,727.18,2.38,216.00,315.00,1.01,53992252
B,vacuum,baseline,baseline,128,1,1,0.00,0.00,1026.13,0.00,1026.13,2.11,144.00,237.00,1.01,53994628
B,ta,baseline,baseline,128,1,1,0.00,0.00,826.95,0.00,826.95,2.43,206.00,301.00,1.01,53990952
C,orig,baseline,baseline,128,1,1,0.00,0.00,1067.04,0.00,1067.04,1.60,24.00,25.00,1.17,53990464
C,vacuum,baseline,baseline,128,1,1,0.00,0.00,1007.78,0.00,1007.78,1.51,14.00,33.00,1.17,53992544
C,ta,baseline,baseline,128,1,1,0.00,0.00,869.76,0.00,869.76,1.61,25.00,27.00,1.17,53993448
A,orig,layers_5,pread,128,1,1,0.00,100.00,153.34,589.25,742.59,2.26,236.00,299.00,1.17,53995352
A,orig,layers_5,async,128,1,1,0.00,100.00,362.15,219.69,581.84,2.31,245.00,307.00,1.17,53995864
A,orig,layers_92,pread,128,1,1,0.00,100.00,162.03,8117.59,8279.62,2.28,217.00,316.00,1.17,53998752
A,orig,layers_92,async,128,1,1,0.00,100.00,334.43,355.36,689.79,2.26,219.00,309.00,1.17,54000516
A,orig,2d,pread,128,1,1,0.00,100.00,153.20,1814.68,1967.88,2.21,200.00,310.00,1.17,53999112
A,orig,2d,async,128,1,1,0.00,100.00,336.20,264.54,600.74,2.27,227.00,304.00,1.17,53994660
A,orig,2e_K10,pread,128,1,1,0.00,100.00,153.64,2710.55,2864.19,2.23,219.00,320.00,1.17,53997720
A,orig,2e_K10,async,128,1,1,0.00,100.00,304.25,277.34,581.59,2.38,266.00,331.00,1.17,53999972
A,orig,2e_K500,pread,128,1,1,0.00,100.00,163.76,21857.71,22021.47,2.20,218.00,462.00,1.17,54001560
A,orig,2e_K500,async,128,1,1,0.00,100.00,157.48,1081.52,1239.00,2.27,249.00,461.00,1.17,54003012
