workload,db,strategy,arm,n,ra_kb,fq_median,fq_p95,fq_min,fq_stdev,delivery_pct_median,preproc_us_median,e2e_median,cold_pct_max
A,orig,2d,async,5,128,335.42,372.80,303.74,24.49,100.0,314.26,653.42,0.0
A,orig,2d,pread,1,128,153.60,,153.60,0,100.0,1954.79,2108.39,0.0
A,orig,2e_K10,async,5,128,331.97,339.91,302.09,16.26,100.0,330.46,662.43,0.0
A,orig,2e_K10,pread,1,128,154.92,,154.92,0,100.0,2655.88,2810.80,0.0
A,orig,2e_K500,async,5,128,155.33,161.97,152.32,3.94,100.0,1110.61,1265.01,0.0
A,orig,2e_K500,pread,1,128,158.47,,158.47,0,100.0,21297.55,21456.02,0.0
A,orig,2f_slru,async,5,128,109.90,350.30,106.99,118.10,100.0,7576.63,7720.43,0.0
A,orig,2f_slru,pread,1,128,112.45,,112.45,0,100.0,18402.98,18515.43,0.0
A,orig,baseline,baseline,10,128,493.93,499.86,490.39,3.27,0.0,0.00,493.93,0.0
A,orig,layers_5,async,5,128,367.37,384.63,329.62,19.38,100.0,267.84,639.05,0.0
A,orig,layers_5,pread,1,128,152.80,,152.80,0,100.0,637.14,789.94,0.0
A,orig,layers_92,async,5,128,339.02,341.53,332.93,3.37,100.0,401.81,740.83,0.0
A,orig,layers_92,pread,1,128,156.43,,156.43,0,100.0,8214.42,8370.85,0.0
A,ta,2d,async,5,128,440.34,455.55,432.32,8.65,60.5,312.68,756.88,0.0
A,ta,2d,pread,1,128,195.97,,195.97,0,100.0,1031.04,1227.01,0.0
A,ta,2e_K10,async,5,128,398.15,431.83,378.15,20.71,100.0,328.70,726.82,0.0
A,ta,2e_K10,pread,1,128,198.13,,198.13,0,100.0,2032.96,2231.09,0.0
A,ta,2e_K500,async,5,128,195.35,200.32,194.60,2.44,36.6,1002.25,1199.18,0.0
A,ta,2e_K500,pread,1,128,197.62,,197.62,0,100.0,17717.05,17914.67,0.0
A,ta,2f_slru,async,5,128,107.84,112.71,103.78,3.39,100.0,7529.14,7642.46,0.0
A,ta,2f_slru,pread,1,128,112.29,,112.29,0,100.0,17944.98,18057.27,0.0
A,ta,baseline,baseline,10,128,713.70,746.77,623.67,40.18,0.0,0.00,713.70,0.0
