workload,db,strategy,arm,ra_kb,rep,warmup,cold_pct,delivery_pct,first_query_us,preproc_us,e2e_us,avg_us,majflt,minflt,load,memavail_kb
Z,orig,baseline,baseline,128,1,1,0.00,0.00,544.62,0.00,544.62,1.44,2.00,10.00,0.18,55175212
Z,vacuum,baseline,baseline,128,1,1,0.00,0.00,711.55,0.00,711.55,1.44,2.00,11.00,0.25,55183836
Z,ta,baseline,baseline,128,1,1,0.00,0.00,789.57,0.00,789.57,1.46,3.00,13.00,0.25,55184348
Z,orig,layers_5,pread,128,1,1,0.00,100.00,210.73,579.94,790.67,1.46,1.00,11.00,0.25,55183696
Z,orig,layers_5,async,128,1,1,0.00,100.00,414.29,211.37,625.66,1.42,2.00,10.00,0.25,55184536
Z,orig,layers_92,pread,128,1,1,0.00,100.00,217.59,7976.29,8193.88,1.43,1.00,11.00,0.25,55184568
Z,orig,layers_92,async,128,1,1,0.00,100.00,426.90,337.82,764.72,1.43,2.00,10.00,0.25,55184184
Z,orig,2d,pread,128,1,1,0.00,100.00,218.64,585.93,804.57,1.42,1.00,11.00,0.25,55184724
Z,orig,2d,async,128,1,1,0.00,100.00,418.06,206.15,624.21,1.43,2.00,10.00,0.25,55184852
Z,orig,2e_K10,pread,128,1,1,0.00,100.00,208.86,964.99,1173.85,1.42,1.00,12.00,0.25,55185528
Z,orig,2e_K10,async,128,1,1,0.00,100.00,207.03,219.36,426.39,1.42,2.00,11.00,0.25,55185072
Z,orig,2e_K500,pread,128,1,1,0.00,100.00,203.28,1449.01,1652.29,1.42,0.00,10.00,0.25,55184808
Z,orig,2e_K500,async,128,1,1,0.00,31.60,204.14,232.04,436.18,1.43,0.00,10.00,0.25,55185492
Z,orig,2f_slru,pread,128,1,1,0.00,100.00,123.76,2227.88,2351.64,1.42,0.00,10.00,0.25,55184704
Z,orig,2f_slru,async,128,1,1,0.00,80.40,121.77,328.00,449.77,1.44,0.00,10.00,0.25,55185100
