workload,db,strategy,arm,n,ra_kb,fq_median,fq_p95,fq_min,fq_stdev,delivery_pct_median,preproc_us_median,e2e_median,cold_pct_max
Z,orig,2d,async,10,128,411.34,424.97,378.79,15.04,100.0,242.23,654.67,0.0
Z,orig,2d,pread,5,128,216.95,218.10,215.65,0.95,100.0,615.26,830.91,0.0
Z,orig,2e_K10,async,10,128,203.12,207.17,200.32,2.13,100.0,252.56,455.63,0.0
Z,orig,2e_K10,pread,5,128,205.87,208.27,204.72,1.40,100.0,1000.53,1206.40,0.0
Z,orig,2e_K500,async,10,128,204.38,206.07,202.37,1.29,47.4,277.85,482.20,0.0
Z,orig,2e_K500,pread,5,128,203.20,211.80,199.31,5.00,100.0,1482.55,1686.13,0.0
Z,orig,2f_slru,async,10,128,118.68,121.18,115.88,1.62,78.6,358.52,476.75,0.0
Z,orig,2f_slru,pread,5,128,118.07,121.59,117.48,1.75,100.0,2310.51,2428.04,0.0
Z,orig,baseline,baseline,10,128,525.33,534.59,521.54,4.80,0.0,0.00,525.33,0.0
Z,orig,layers_5,async,10,128,409.45,428.12,346.12,28.84,100.0,242.33,648.87,0.0
Z,orig,layers_5,pread,5,128,213.56,215.12,212.20,1.20,100.0,610.96,824.35,0.0
Z,orig,layers_92,async,10,128,382.57,405.31,372.95,12.50,100.0,368.36,750.42,0.0
Z,orig,layers_92,pread,5,128,216.03,218.90,215.76,1.34,100.0,8026.32,8242.24,0.0
Z,ta,2d,async,10,128,467.14,473.70,401.83,26.06,68.9,284.84,749.93,0.0
Z,ta,2d,pread,5,128,202.18,204.74,195.44,3.26,100.0,1023.92,1226.46,0.0
Z,ta,2e_K10,async,10,128,203.00,208.16,202.17,2.24,56.4,293.27,497.26,0.0
Z,ta,2e_K10,pread,5,128,205.06,207.07,202.85,1.49,100.0,1043.48,1248.54,0.0
Z,ta,2e_K500,async,10,128,203.19,206.40,201.29,1.68,39.7,320.97,524.15,0.0
Z,ta,2e_K500,pread,5,128,206.84,209.71,201.65,3.03,100.0,1076.07,1282.91,0.0
Z,ta,2f_slru,async,10,128,116.77,120.02,114.94,1.94,74.4,368.70,485.20,0.0
Z,ta,2f_slru,pread,5,128,115.63,118.15,114.30,1.57,100.0,1502.62,1619.26,0.0
Z,ta,baseline,baseline,10,128,737.34,779.41,686.12,34.19,0.0,0.00,737.34,0.0
Z,ta,layers_5,async,10,128,598.26,602.83,573.86,8.07,100.0,241.94,841.38,0.0
Z,ta,layers_5,pread,5,128,571.35,575.33,570.78,1.89,100.0,421.12,993.70,0.0
Z,ta,layers_92,async,10,128,459.81,481.32,401.31,22.54,79.3,337.31,803.79,0.0
Z,ta,layers_92,pread,5,128,203.26,207.99,202.41,2.58,100.0,1020.35,1223.66,0.0
Z,vacuum,2d,async,10,128,570.57,574.27,511.90,17.80,100.0,243.06,812.98,0.0
Z,vacuum,2d,pread,5,128,211.85,216.74,209.98,2.58,100.0,754.40,965.88,0.0
Z,vacuum,2e_K10,async,10,128,205.49,209.44,201.18,2.99,76.7,252.28,455.17,0.0
Z,vacuum,2e_K10,pread,5,128,201.55,204.63,198.70,2.22,100.0,1019.34,1218.04,0.0
Z,vacuum,2e_K500,async,10,128,203.40,206.45,200.16,2.19,23.7,276.97,479.26,0.0
Z,vacuum,2e_K500,pread,5,128,202.29,205.27,200.96,1.72,100.0,1233.81,1436.26,0.0
Z,vacuum,2f_slru,async,10,128,117.31,119.72,116.16,1.28,98.5,339.51,457.46,0.0
Z,vacuum,2f_slru,pread,5,128,115.51,116.58,114.38,0.88,100.0,2020.41,2137.26,0.0
Z,vacuum,baseline,baseline,10,128,704.60,709.17,640.70,29.66,0.0,0.00,704.60,0.0
Z,vacuum,layers_5,async,10,128,569.50,572.79,507.33,18.79,100.0,242.60,810.45,0.0
Z,vacuum,layers_5,pread,5,128,213.33,214.48,212.27,0.85,100.0,752.72,966.58,0.0
Z,vacuum,layers_92,async,10,128,571.69,574.30,567.10,2.30,100.0,358.25,930.20,0.0
Z,vacuum,layers_92,pread,5,128,212.61,216.82,210.00,2.57,100.0,7413.33,7627.28,0.0
