workload,db,strategy,rep,first_query_us,avg_us,majflt,minflt
A,orig,base,1,302.08,1.78,180,270
A,orig,base,2,299.69,1.76,180,270
A,orig,base,3,295.07,1.80,180,270
A,orig,2d,1,222.49,1.76,178,281
A,orig,2d,2,217.33,1.75,178,281
A,orig,2d,3,221.99,1.77,178,281
A,vacuum,base,1,329.07,1.68,142,219
A,vacuum,base,2,332.24,1.69,142,219
A,vacuum,base,3,344.82,1.71,142,219
A,vacuum,2d,1,237.78,1.71,142,228
A,vacuum,2d,2,282.62,1.70,142,228
A,vacuum,2d,3,235.95,1.70,142,228
A,ta,base,1,395.90,1.81,177,276
A,ta,base,2,416.41,1.79,177,276
A,ta,base,3,455.50,1.79,177,276
A,ta,2d,1,131.20,1.78,176,275
A,ta,2d,2,141.48,1.76,176,275
A,ta,2d,3,138.62,1.77,176,275
B,orig,base,1,464.38,1.86,181,273
B,orig,base,2,476.77,1.82,181,273
B,orig,base,3,459.45,1.81,181,273
B,orig,2d,1,244.70,1.81,181,277
B,orig,2d,2,247.75,1.81,181,277
B,orig,2d,3,244.76,1.83,181,277
B,vacuum,base,1,514.60,1.77,144,237
B,vacuum,base,2,507.90,1.75,144,237
B,vacuum,base,3,500.02,1.77,144,237
B,vacuum,2d,1,246.36,1.76,145,235
B,vacuum,2d,2,248.66,1.79,145,235
B,vacuum,2d,3,247.62,1.77,145,235
B,ta,base,1,403.95,1.85,182,277
B,ta,base,2,400.87,1.80,182,277
B,ta,base,3,397.54,1.85,182,277
B,ta,2d,1,402.32,1.84,181,275
B,ta,2d,2,398.45,1.87,181,275
B,ta,2d,3,392.72,1.83,181,275
C,orig,base,1,469.50,1.49,24,25
C,orig,base,2,455.25,1.49,24,25
C,orig,base,3,467.97,1.48,24,25
C,orig,2d,1,244.05,1.51,24,25
C,orig,2d,2,245.44,1.51,24,25
C,orig,2d,3,269.09,1.51,24,25
C,vacuum,base,1,446.16,1.42,14,33
C,vacuum,base,2,474.51,1.44,14,33
C,vacuum,base,3,433.21,1.45,14,33
C,vacuum,2d,1,242.53,1.42,14,36
C,vacuum,2d,2,243.99,1.45,14,36
C,vacuum,2d,3,243.25,1.45,14,36
C,ta,base,1,453.98,1.53,25,27
C,ta,base,2,454.44,1.51,25,27
C,ta,base,3,460.59,1.53,25,27
C,ta,2d,1,424.09,1.49,24,28
C,ta,2d,2,478.13,1.49,24,28
C,ta,2d,3,244.71,1.51,24,28
