workload,db,strategy,rep,first_query_us,avg_us,majflt,minflt
A,orig,2e_K10,1,248.77,1.74,181,285
A,orig,2e_K10,2,227.74,1.74,181,285
A,orig,2e_K10,3,221.66,1.74,181,285
A,orig,2e_K10,4,223.47,1.74,181,285
A,orig,2e_K10,5,219.45,1.74,181,285
A,orig,2e_K10,6,219.87,1.75,181,285
A,orig,2e_K50,1,223.31,1.77,182,305
A,orig,2e_K50,2,235.60,1.77,182,306
A,orig,2e_K50,3,248.75,1.75,182,306
A,orig,2e_K50,4,235.96,1.75,182,306
A,orig,2e_K50,5,227.29,1.77,182,305
A,orig,2e_K50,6,230.88,1.77,182,305
A,orig,2e_K100,1,215.05,1.77,183,323
A,orig,2e_K100,2,212.44,1.80,183,323
A,orig,2e_K100,3,211.42,1.78,183,324
A,orig,2e_K100,4,207.18,1.76,183,323
A,orig,2e_K100,5,211.13,1.79,183,323
A,orig,2e_K100,6,211.71,1.80,183,324
A,orig,2e_K500,1,85.20,1.80,179,404
A,orig,2e_K500,2,79.48,1.79,179,409
A,orig,2e_K500,3,79.73,1.80,179,406
A,orig,2e_K500,4,80.26,1.81,179,406
A,orig,2e_K500,5,81.83,1.80,179,402
A,orig,2e_K500,6,111.72,1.80,179,406
A,vacuum,2e_K10,1,238.17,1.71,143,235
A,vacuum,2e_K10,2,240.26,1.71,143,234
A,vacuum,2e_K10,3,237.37,1.73,143,234
A,vacuum,2e_K10,4,242.19,1.72,143,234
A,vacuum,2e_K10,5,243.14,1.70,143,234
A,vacuum,2e_K10,6,243.83,1.70,143,234
A,vacuum,2e_K50,1,236.05,1.72,148,239
A,vacuum,2e_K50,2,242.10,1.72,148,238
A,vacuum,2e_K50,3,241.86,1.76,148,238
A,vacuum,2e_K50,4,249.76,1.76,148,239
A,vacuum,2e_K50,5,271.28,1.72,148,238
A,vacuum,2e_K50,6,241.22,1.77,148,238
A,vacuum,2e_K100,1,253.25,1.72,147,259
A,vacuum,2e_K100,2,259.07,1.69,147,259
A,vacuum,2e_K100,3,254.81,1.78,147,260
A,vacuum,2e_K100,4,261.55,1.69,147,259
A,vacuum,2e_K100,5,213.92,1.72,147,259
A,vacuum,2e_K100,6,261.66,1.70,147,260
A,vacuum,2e_K500,1,82.35,1.71,145,325
