workload,db,strategy,mem_limit,rep,first_query_us,avg_us,majflt,minflt
A,orig,base,20M,1,303.94,1.85,217,353
A,orig,2d,20M,1,225.59,1.86,232,311
A,orig,2e_K10,20M,1,218.21,1.84,212,325
A,orig,2e_K50,20M,1,227.68,1.84,229,373
A,orig,2e_K100,20M,1,212.58,1.89,244,414
A,orig,2e_K500,20M,1,81.50,1.82,221,449
A,orig,2f_SLRU,20M,1,15.39,1.79,177,490
A,orig,base,20M,2,309.03,1.82,205,326
A,orig,2d,20M,2,221.79,1.79,208,288
A,orig,2e_K10,20M,2,226.50,1.87,222,374
A,orig,2e_K50,20M,2,237.55,1.80,222,318
A,orig,2e_K100,20M,2,209.56,1.89,248,423
A,orig,2e_K500,20M,2,82.19,1.87,256,459
A,orig,2f_SLRU,20M,2,19.72,1.79,172,493
A,orig,base,20M,3,296.62,1.80,203,327
A,orig,2d,20M,3,233.21,1.79,205,296
A,orig,2e_K10,20M,3,227.28,1.86,226,376
A,orig,2e_K50,20M,3,223.45,1.84,223,375
A,orig,2e_K100,20M,3,212.46,1.87,247,424
A,orig,2e_K500,20M,3,79.55,1.83,235,442
A,orig,2f_SLRU,20M,3,16.01,1.79,174,522
A,orig,base,20M,4,299.25,1.82,211,290
A,orig,2d,20M,4,247.15,1.86,202,290
A,orig,2e_K10,20M,4,227.92,1.77,196,293
A,orig,2e_K50,20M,4,226.96,1.80,222,376
A,orig,2e_K100,20M,4,217.32,1.82,231,403
A,orig,2e_K500,20M,4,82.96,1.88,254,477
A,orig,2f_SLRU,20M,4,19.46,1.79,170,495
A,orig,base,20M,5,301.31,1.82,206,282
A,orig,2d,20M,5,223.62,1.80,192,290
A,orig,2e_K10,20M,5,220.41,1.78,194,295
A,orig,2e_K50,20M,5,226.34,1.85,250,332
A,orig,2e_K100,20M,5,209.95,1.87,258,362
A,orig,2e_K500,20M,5,87.67,1.85,227,445
A,orig,2f_SLRU,20M,5,16.54,1.77,172,490
A,orig,base,20M,6,346.94,1.84,213,350
A,orig,2d,20M,6,226.64,1.82,211,360
A,orig,2e_K10,20M,6,222.50,1.84,226,370
A,orig,2e_K50,20M,6,225.23,1.81,216,311
A,orig,2e_K100,20M,6,220.91,1.84,239,419
A,orig,2e_K500,20M,6,76.94,1.86,228,445
A,orig,2f_SLRU,20M,6,16.30,1.77,173,502
A,orig,base,none,1,296.03,1.79,180,270
A,orig,2d,none,1,232.60,1.79,178,281
A,orig,2e_K10,none,1,223.10,1.80,181,286
A,orig,2e_K50,none,1,227.20,1.78,182,305
A,orig,2e_K100,none,1,216.92,1.77,183,322
A,orig,2e_K500,none,1,86.92,1.81,179,404
A,orig,2f_SLRU,none,1,17.38,1.48,0,279
A,orig,base,none,2,306.27,1.77,180,270
A,orig,2d,none,2,222.85,1.79,178,280
A,orig,2e_K10,none,2,229.03,1.78,181,285
A,orig,2e_K50,none,2,226.06,1.75,182,305
A,orig,2e_K100,none,2,208.84,1.76,183,322
A,orig,2e_K500,none,2,77.99,1.81,179,408
A,orig,2f_SLRU,none,2,14.99,1.51,0,279
A,orig,base,none,3,313.37,1.79,180,270
A,orig,2d,none,3,222.38,1.78,178,281
A,orig,2e_K10,none,3,228.83,1.79,181,285
A,orig,2e_K50,none,3,235.65,1.78,182,305
A,orig,2e_K100,none,3,212.50,1.79,183,324
A,orig,2e_K500,none,3,81.08,1.84,179,407
A,orig,2f_SLRU,none,3,20.40,1.50,0,279
A,orig,base,none,4,306.53,1.77,180,270
A,orig,2d,none,4,220.21,1.77,178,281
A,orig,2e_K10,none,4,221.01,1.78,181,285
A,orig,2e_K50,none,4,222.32,1.77,182,306
A,orig,2e_K100,none,4,211.04,1.78,183,324
A,orig,2e_K500,none,4,78.34,1.79,179,409
A,orig,2f_SLRU,none,4,16.21,1.50,0,279
A,orig,base,none,5,292.60,1.78,180,270
A,orig,2d,none,5,222.90,1.80,178,281
A,orig,2e_K10,none,5,227.40,1.78,181,285
A,orig,2e_K50,none,5,232.98,1.77,182,305
A,orig,2e_K100,none,5,209.50,1.77,183,323
A,orig,2e_K500,none,5,76.75,1.79,179,410
A,orig,2f_SLRU,none,5,18.55,1.49,0,279
A,orig,base,none,6,308.69,1.75,180,270
A,orig,2d,none,6,219.91,1.75,178,281
A,orig,2e_K10,none,6,222.29,1.76,181,285
A,orig,2e_K50,none,6,227.43,1.76,182,303
A,orig,2e_K100,none,6,211.43,1.77,183,321
A,orig,2e_K500,none,6,75.66,1.79,179,408
A,orig,2f_SLRU,none,6,16.31,1.50,0,279
