workload,db,strategy,mem_limit,rep,first_query_us,avg_us,majflt,minflt
A,orig,base,20M,1,307.57,1.84,225,367
A,orig,2d,20M,1,230.62,1.82,220,391
A,orig,2f_SLRU,20M,1,16.65,1.76,183,509
A,orig,base,20M,2,324.86,1.84,217,318
A,orig,2d,20M,2,219.28,1.83,220,374
A,orig,2f_SLRU,20M,2,16.15,1.79,180,521
A,orig,base,20M,3,294.91,1.82,206,333
A,orig,2d,20M,3,222.55,1.83,217,368
A,orig,2f_SLRU,20M,3,17.93,1.83,192,541
A,orig,base,20M,4,291.98,1.80,203,282
A,orig,2d,20M,4,220.78,1.82,218,369
A,orig,2f_SLRU,20M,4,22.39,1.77,177,503
A,orig,base,20M,5,296.60,1.80,209,342
A,orig,2d,20M,5,224.11,1.81,196,291
A,orig,2f_SLRU,20M,5,16.24,1.77,186,487
A,orig,base,20M,6,293.66,1.84,205,344
A,orig,2d,20M,6,214.66,1.87,221,368
A,orig,2f_SLRU,20M,6,15.47,1.76,180,516
A,orig,base,none,1,299.17,1.80,180,270
A,orig,2d,none,1,223.46,1.78,178,281
A,orig,2f_SLRU,none,1,17.13,1.51,0,279
A,orig,base,none,2,318.46,1.77,180,270
A,orig,2d,none,2,225.09,1.79,178,281
A,orig,2f_SLRU,none,2,15.34,1.50,0,279
A,orig,base,none,3,298.37,1.75,180,270
A,orig,2d,none,3,223.38,1.77,178,281
A,orig,2f_SLRU,none,3,18.73,1.51,0,279
A,orig,base,none,4,293.90,1.83,180,270
A,orig,2d,none,4,234.38,1.76,178,281
A,orig,2f_SLRU,none,4,16.10,1.49,0,279
A,orig,base,none,5,305.25,1.76,180,270
A,orig,2d,none,5,217.06,1.78,178,281
A,orig,2f_SLRU,none,5,16.58,1.48,0,279
A,orig,base,none,6,315.76,1.76,180,270
A,orig,2d,none,6,226.12,1.80,178,281
A,orig,2f_SLRU,none,6,17.12,1.53,0,279
A,orig,2e_K500,20M,1,89.53,1.84,249,463
A,orig,2e_K500,20M,2,80.54,1.84,245,450
A,orig,2e_K500,20M,3,79.55,1.82,225,457
A,orig,2e_K500,20M,4,83.78,1.87,265,451
A,orig,2e_K500,20M,5,73.47,1.85,245,452
A,orig,2e_K500,20M,6,79.82,1.83,234,458
A,orig,2e_K500,none,1,79.60,1.81,179,405
A,orig,2e_K500,none,2,79.81,1.79,179,407
A,orig,2e_K500,none,3,83.15,1.81,179,404
A,orig,2e_K500,none,4,79.55,1.81,179,408
A,orig,2e_K500,none,5,81.73,1.80,179,405
A,orig,2e_K500,none,6,79.81,1.83,179,402
