N,avg_first_q_us,n_checkpoints
0,290.50,10
1,261.98,10
2,269.28,10
3,248.35,10
4,22.15,10
5,22.48,10
6,23.55,10
7,18.69,10
8,23.26,10
9,21.02,10
10,20.73,10
11,24.46,10
12,24.15,10
13,18.63,10
14,21.45,10
15,21.21,10
16,23.49,10
17,23.73,10
18,21.68,10
19,16.09,10
20,21.97,10
21,20.32,10
22,23.54,10
23,25.47,10
24,21.56,10
25,23.46,10
26,23.05,10
27,20.83,10
28,23.08,10
29,22.21,10
30,22.40,10
31,23.06,10
32,20.41,10
33,22.57,10
34,21.34,10
35,24.76,10
36,21.54,10
37,18.84,10
38,20.75,10
39,20.14,10
40,20.90,10
41,22.56,10
42,20.09,10
43,19.94,10
44,22.12,10
45,20.46,10
46,20.95,10
47,22.91,10
48,21.11,10
49,17.90,10
50,24.06,10
51,27.10,10
52,23.85,10
53,22.28,10
54,22.59,10
55,22.77,10
56,23.73,10
57,20.87,10
58,20.73,10
59,24.07,10
60,21.16,10
61,21.61,10
62,21.05,10
63,20.95,10
64,22.74,10
65,17.90,10
66,22.55,10
67,20.77,10
68,20.34,10
69,23.72,10
70,19.46,10
71,19.79,10
72,19.48,10
73,21.87,10
74,22.88,10
75,22.28,10
76,22.92,10
77,21.59,10
78,24.62,10
79,23.38,10
80,24.43,10
81,23.35,10
82,22.69,10
83,21.32,10
84,18.40,10
85,20.48,10
86,20.31,10
87,24.34,10
88,21.85,10
89,19.26,10
90,23.13,10
91,20.11,10
92,21.18,10
