label,operation_count,inserted_total,deleted_total,row_count,page_size,page_count,freelist_count_header,interior_total,interior_table,interior_index,leaf_total,leaf_table,leaf_index,freelist_total_classified,overflow,interior_pct,new_interior_count,removed_interior_count,new_min_page,new_max_page,new_appended_count,new_in_file_count,new_reused_freelist_count,new_pages_preview,removed_pages_preview
baseline,0,0,0,600000,4096,26331,0,92,51,41,26239,19984,6255,0,0,0.34939804792829743,,,,,,,,,
checkpoint_001,5000,1000,1000,600000,4096,26402,0,93,51,42,26309,20021,6288,0,0,0.3522460419665177,1,0,26393,26393,1,0,0,26393,
checkpoint_002,10000,2000,2000,600000,4096,26466,0,93,51,42,26373,20058,6315,0,0,0.3513942416685559,0,0,,,0,0,0,,
checkpoint_003,15000,3000,3000,600000,4096,26544,0,94,51,43,26450,20106,6344,0,0,0.3541289933694997,1,0,26474,26474,1,0,0,26474,
checkpoint_004,20000,4000,4000,600000,4096,26630,0,95,52,43,26535,20161,6374,0,0,0.35674051821254227,1,0,26623,26623,1,0,0,26623,
checkpoint_005,25000,5000,5000,600000,4096,26709,0,96,52,44,26613,20211,6402,0,0,0.3594294058182635,1,0,26699,26699,1,0,0,26699,
checkpoint_006,30000,6000,6000,600000,4096,26780,0,96,52,44,26684,20255,6429,0,0,0.35847647498132934,0,0,,,0,0,0,,
checkpoint_007,35000,7000,7000,600000,4096,26852,0,96,52,44,26756,20297,6459,0,0,0.35751526888127516,0,0,,,0,0,0,,
checkpoint_008,40000,8000,8000,600000,4096,26918,0,96,52,44,26822,20336,6486,0,0,0.3566386804368824,0,0,,,0,0,0,,
checkpoint_009,45000,9000,9000,600000,4096,26990,0,96,52,44,26894,20379,6515,0,0,0.3556872915894776,0,0,,,0,0,0,,
checkpoint_010,50000,10000,10000,600000,4096,27056,0,97,52,45,26959,20417,6542,0,0,0.3585156712004731,1,0,27030,27030,1,0,0,27030,
