N,avg_first_q_us,n_checkpoints
0,523.61,10
1,529.15,10
2,476.11,10
3,470.17,10
4,271.82,10
5,260.21,10
6,269.00,10
7,274.94,10
8,258.00,10
9,258.36,10
10,276.90,10
11,277.19,10
12,257.60,10
13,266.70,10
14,253.18,10
15,259.24,10
16,255.72,10
17,265.60,10
18,257.00,10
19,257.06,10
20,254.76,10
21,270.52,10
22,252.53,10
23,272.17,10
24,263.96,10
25,247.90,10
26,264.10,10
27,260.76,10
28,287.36,10
29,254.18,10
30,259.82,10
31,273.95,10
32,255.03,10
33,270.31,10
34,282.70,10
35,264.30,10
36,266.91,10
37,275.70,10
38,279.14,10
39,256.23,10
40,274.40,10
41,267.69,10
42,271.65,10
43,270.77,10
44,268.00,10
45,260.31,10
46,258.29,10
47,254.92,10
48,270.33,10
49,258.64,10
50,250.30,10
51,270.63,10
52,266.33,10
53,276.74,10
54,262.59,10
55,298.03,10
56,261.52,10
57,259.44,10
58,261.80,10
59,259.42,10
60,269.44,10
61,282.27,10
62,278.93,10
63,293.54,10
64,257.95,10
65,265.28,10
66,260.35,10
67,275.12,10
68,288.48,10
69,273.53,10
70,258.47,10
71,273.62,10
72,259.38,10
73,265.27,10
74,275.63,10
75,272.56,10
76,265.56,10
77,278.19,10
78,269.62,10
79,283.50,10
80,263.95,10
81,254.21,10
82,275.71,10
83,266.65,10
84,265.36,10
85,288.13,10
86,261.20,10
87,278.14,10
88,281.58,10
89,266.99,10
90,262.19,10
91,288.61,10
92,260.09,10
