N,avg_first_q_us,n_checkpoints
0,497.76,10
1,437.98,10
2,511.91,10
3,452.96,10
4,428.25,10
5,442.50,10
6,443.35,10
7,452.82,10
8,547.01,10
9,545.71,10
10,545.39,10
11,430.38,10
12,425.61,10
13,440.82,10
14,422.35,10
15,417.46,10
16,434.05,10
17,436.82,10
18,423.44,10
19,443.13,10
20,425.21,10
21,449.37,10
22,417.39,10
23,426.92,10
24,399.44,10
25,415.25,10
26,439.85,10
27,431.44,10
28,434.03,10
29,417.20,10
30,469.92,10
31,475.15,10
32,429.02,10
33,447.81,10
34,427.43,10
35,433.23,10
36,406.81,10
37,421.67,10
38,414.08,10
39,423.91,10
40,421.33,10
41,429.23,10
42,446.06,10
43,463.08,10
44,408.30,10
45,409.71,10
46,436.07,10
47,434.54,10
48,429.62,10
49,440.28,10
50,412.94,10
51,408.57,10
52,437.89,10
53,434.97,10
54,432.07,10
55,427.96,10
56,443.25,10
57,427.31,10
58,448.81,10
59,420.16,10
60,435.21,10
61,423.99,10
62,460.40,10
63,450.97,10
64,436.76,10
65,427.98,10
66,444.25,10
67,412.14,10
68,416.94,10
69,427.80,10
70,432.03,10
71,440.53,10
72,440.90,10
73,413.11,10
74,436.87,10
75,437.69,10
76,459.04,10
77,446.62,10
78,422.91,10
79,408.72,10
80,430.99,10
81,462.86,10
82,423.28,10
83,449.38,10
84,437.83,10
85,428.79,10
86,439.14,10
87,441.88,10
88,451.52,10
89,415.40,10
90,432.58,10
91,441.59,10
92,208.21,10
