label,operation_count,page_number,page_type
baseline,0,3,interior_index
baseline,0,4,interior_index
baseline,0,1588,interior_index
baseline,0,1589,interior_index
baseline,0,1640,interior_index
baseline,0,1641,interior_index
baseline,0,3071,interior_index
baseline,0,3183,interior_index
baseline,0,4552,interior_index
baseline,0,4699,interior_index
baseline,0,5598,interior_index
baseline,0,5864,interior_index
baseline,0,6729,interior_index
baseline,0,7155,interior_index
baseline,0,7959,interior_index
baseline,0,8471,interior_index
baseline,0,9756,interior_index
baseline,0,10626,interior_index
baseline,0,11052,interior_index
baseline,0,12175,interior_index
baseline,0,12243,interior_index
baseline,0,12385,interior_index
baseline,0,13674,interior_index
baseline,0,14374,interior_index
baseline,0,15068,interior_index
baseline,0,15685,interior_index
baseline,0,16363,interior_index
baseline,0,16555,interior_index
baseline,0,17552,interior_index
baseline,0,18853,interior_index
baseline,0,18963,interior_index
baseline,0,20128,interior_index
baseline,0,20346,interior_index
baseline,0,21422,interior_index
baseline,0,22737,interior_index
baseline,0,22894,interior_index
baseline,0,23042,interior_index
baseline,0,23203,interior_index
baseline,0,24092,interior_index
baseline,0,24552,interior_index
baseline,0,25412,interior_index
baseline,0,2,interior_table
baseline,0,674,interior_table
baseline,0,675,interior_table
baseline,0,1267,interior_table
baseline,0,1866,interior_table
baseline,0,2390,interior_table
baseline,0,2909,interior_table
baseline,0,3433,interior_table
baseline,0,3964,interior_table
baseline,0,4479,interior_table
baseline,0,4998,interior_table
baseline,0,5532,interior_table
baseline,0,6053,interior_table
baseline,0,6570,interior_table
baseline,0,7092,interior_table
baseline,0,7622,interior_table
baseline,0,8150,interior_table
baseline,0,8673,interior_table
baseline,0,9178,interior_table
baseline,0,9711,interior_table
baseline,0,10227,interior_table
baseline,0,10758,interior_table
baseline,0,11284,interior_table
baseline,0,11808,interior_table
baseline,0,12357,interior_table
baseline,0,12873,interior_table
baseline,0,13392,interior_table
baseline,0,13925,interior_table
baseline,0,14499,interior_table
baseline,0,15060,interior_table
baseline,0,15596,interior_table
baseline,0,16117,interior_table
baseline,0,16605,interior_table
baseline,0,17083,interior_table
baseline,0,17565,interior_table
baseline,0,18071,interior_table
