op_no,op_type,target_id,rows_returned,bytes_returned,elapsed_ns,majflt_delta,minflt_delta
1,read,186380,1,100,204484,1,6
2,read,934,1,100,329319,2,0
3,read,9427,1,100,167895,1,0
4,read,142492,1,100,342795,2,0
5,read,3855,1,100,168627,1,0
6,read,7,1,100,2164,0,0
7,read,377961,1,100,306607,2,0
8,read,510820,1,100,344087,2,0
9,read,68,1,100,2184,0,0
10,read,191,1,100,1913,0,0
11,read,1,1,100,1683,0,0
12,read,74,1,100,1633,0,0
13,read,142398,1,100,2164,0,0
14,read,553,1,100,148790,1,0
15,read,62337,1,100,342384,2,0
16,read,1,1,100,1633,0,0
17,read,8238,1,100,169408,1,0
18,read,1,1,100,1643,0,0
19,read,84484,1,100,340540,2,0
20,read,495,1,100,2033,0,0
21,read,4762,1,100,167224,1,0
22,read,108056,1,100,327055,2,0
23,read,397023,1,100,326694,2,0
24,read,203686,1,100,333577,2,0
25,read,5218,1,100,156935,1,0
26,read,60,1,100,2264,0,0
27,read,1,1,100,1593,0,0
28,read,96565,1,100,334879,2,0
29,read,1056,1,100,2735,0,1
30,read,178148,1,100,337664,2,0
31,read,6,1,100,1643,0,0
32,read,2138,1,100,170020,1,0
33,read,1,1,100,1603,0,0
34,read,165233,1,100,335942,2,0
35,read,5,1,100,1653,0,0
36,read,5186,1,100,2064,0,0
37,read,89,1,100,1733,0,0
38,read,2,1,100,1603,0,0
39,read,50908,1,100,337164,2,0
40,read,7,1,100,1633,0,0
41,read,12865,1,100,159670,1,0
42,read,56944,1,100,175049,1,0
43,read,1,1,100,1623,0,0
44,read,348183,1,100,323879,2,0
45,read,115559,1,100,325632,2,0
46,read,1,1,100,1633,0,0
47,read,269,1,100,2134,0,0
48,read,236,1,100,1803,0,0
49,read,2463,1,100,2765,0,1
50,read,57130,1,100,13926,0,1
51,read,1,1,100,1603,0,0
52,read,107479,1,100,186029,1,0
53,read,8,1,100,1623,0,0
54,read,166373,1,100,173336,1,0
55,read,389859,1,100,321304,2,0
56,read,5564,1,100,2935,0,1
57,read,71,1,100,1964,0,0
58,read,14025,1,100,167595,1,0
59,read,18,1,100,2134,0,0
60,read,9411,1,100,2785,0,1
61,read,62,1,100,1623,0,0
62,read,43921,1,100,328087,2,0
63,read,1,1,100,1643,0,0
64,read,272,1,100,1643,0,0
65,read,122,1,100,2154,0,0
66,read,7,1,100,1573,0,0
67,read,62,1,100,1553,0,0
68,read,2,1,100,1553,0,0
69,read,110,1,100,1683,0,0
70,read,464531,1,100,345189,2,0
71,read,11721,1,100,162485,1,0
72,read,3410,1,100,151906,1,0
73,read,29,1,100,1663,0,0
74,read,12,1,100,1603,0,0
75,read,11530,1,100,3096,0,1
76,read,34,1,100,1723,0,0
77,read,39,1,100,1603,0,0
78,read,2,1,100,1543,0,0
79,read,2720,1,100,153719,1,0
80,read,36946,1,100,321114,2,0
81,read,128669,1,100,340339,2,0
82,read,1,1,100,1623,0,0
83,read,73,1,100,1593,0,0
84,read,223,1,100,1713,0,0
85,read,112,1,100,1613,0,0
86,read,24330,1,100,177663,1,0
87,read,32296,1,100,167916,1,0
88,read,2143,1,100,1953,0,0
89,read,3693,1,100,1814,0,0
90,read,1,1,100,1553,0,0
91,read,246599,1,100,309652,2,0
92,read,2,1,100,1623,0,0
93,read,85061,1,100,158728,1,0
94,read,26752,1,100,169829,1,0
95,read,44,1,100,1853,0,0
96,read,1540,1,100,156294,1,0
97,read,1205,1,100,2274,0,0
98,read,801,1,100,2024,0,0
99,read,21191,1,100,163618,1,0
100,read,282350,1,100,333086,2,0
101,read,2,1,100,1623,0,0
102,read,7541,1,100,166823,1,0
103,read,5512,1,100,2014,0,0
104,read,46480,1,100,169549,1,0
105,read,74,1,100,1643,0,0
106,read,238,1,100,1653,0,0
107,read,49,1,100,1643,0,0
108,read,32,1,100,1663,0,0
109,read,3,1,100,1552,0,0
110,read,21,1,100,1733,0,0
111,read,2638,1,100,2024,0,0
112,read,3,1,100,1563,0,0
113,read,1845,1,100,1813,0,0
114,read,423876,1,100,340830,2,0
115,read,3108,1,100,2856,0,1
116,read,7658,1,100,2014,0,0
117,read,284796,1,100,167364,1,0
118,read,73680,1,100,163387,1,0
119,read,3046,1,100,1984,0,0
120,read,53221,1,100,173015,1,0
121,read,37543,1,100,157005,1,0
122,read,8723,1,100,152857,1,0
123,read,30699,1,100,160802,1,0
124,read,49,1,100,1653,0,0
125,read,3,1,100,1583,0,0
126,read,98,1,100,1703,0,0
127,read,24100,1,100,2234,0,0
128,read,2,1,100,1563,0,0
129,read,71341,1,100,172735,1,0
130,read,406122,1,100,169649,1,0
131,read,1,1,100,1603,0,0
132,read,826,1,100,2184,0,0
133,read,110499,1,100,174027,1,0
134,read,2243,1,100,2184,0,0
135,read,9,1,100,1663,0,0
136,read,17007,1,100,161413,1,0
137,read,79073,1,100,2475,0,0
138,read,4,1,100,1583,0,0
139,read,9,1,100,1553,0,0
140,read,353207,1,100,318609,2,0
141,read,51128,1,100,2635,0,1
142,read,180628,1,100,169388,1,0
143,read,4,1,100,1653,0,0
144,read,1018,1,100,2054,0,0
145,read,5,1,100,1523,0,0
146,read,330924,1,100,333658,2,0
147,read,23270,1,100,176512,1,0
148,read,46361,1,100,2906,0,1
149,read,20,1,100,1593,0,0
150,read,3,1,100,1553,0,0
151,read,53,1,100,1613,0,0
152,read,544584,1,100,168977,1,0
153,read,51,1,100,1723,0,0
154,read,442271,1,100,335631,2,0
155,read,15014,1,100,170480,1,0
156,read,4,1,100,1623,0,0
157,read,16008,1,100,2114,0,0
158,read,8684,1,100,1883,0,0
159,read,346374,1,100,166142,1,0
160,read,32,1,100,1653,0,0
161,read,1,1,100,1553,0,0
162,read,10,1,100,1583,0,0
163,read,249,1,100,1723,0,0
164,read,24,1,100,1543,0,0
165,read,32,1,100,1543,0,0
166,read,32303,1,100,2004,0,0
167,read,35303,1,100,169889,1,0
168,read,1426,1,100,3006,0,1
169,read,180275,1,100,2555,0,1
170,read,1,1,100,1553,0,0
171,read,55419,1,100,2194,0,0
172,read,3669,1,100,1943,0,0
173,read,334,1,100,1924,0,0
174,read,16,1,100,1553,0,0
175,read,497485,1,100,328267,2,0
176,read,118,1,100,1804,0,0
177,read,70340,1,100,167064,1,0
178,read,6987,1,100,162686,1,0
179,read,31290,1,100,163487,1,0
180,read,199321,1,100,167996,1,0
181,read,131136,1,100,167965,1,0
182,read,49,1,100,1664,0,0
183,read,5341,1,100,2164,0,0
184,read,6,1,100,1573,0,0
185,read,171941,1,100,179738,1,0
186,read,9463,1,100,2084,0,0
187,read,7813,1,100,1794,0,0
188,read,120,1,100,1563,0,0
189,read,80,1,100,1653,0,0
190,read,34268,1,100,168577,1,0
191,read,598,1,100,2304,0,0
192,read,3755,1,100,1923,0,0
193,read,342,1,100,1763,0,0
194,read,3,1,100,1533,0,0
195,read,4,1,100,1533,0,0
196,read,31,1,100,1633,0,0
197,read,6,1,100,1523,0,0
198,read,15,1,100,1563,0,0
199,read,56,1,100,1573,0,0
200,read,418264,1,100,317998,2,0
201,read,34595,1,100,2935,0,1
202,read,37,1,100,1643,0,0
203,read,491769,1,100,344127,2,0
204,read,151,1,100,2204,0,0
205,read,23,1,100,1583,0,0
206,read,23,1,100,1523,0,0
207,read,338,1,100,1643,0,0
208,read,7642,1,100,1823,0,0
209,read,1,1,100,1553,0,0
210,read,301277,1,100,329058,2,0
211,read,8,1,100,1623,0,0
212,read,1,1,100,1543,0,0
213,read,45708,1,100,170310,1,0
214,read,503,1,100,2124,0,0
215,read,416816,1,100,165772,1,0
216,read,679,1,100,2084,0,0
217,read,2,1,100,1542,0,0
218,read,8,1,100,1583,0,0
219,read,26,1,100,1633,0,0
220,read,28361,1,100,173837,1,0
221,read,82886,1,100,167085,1,0
222,read,582815,1,100,331143,2,0
223,read,3980,1,100,2033,0,0
224,read,7782,1,100,1894,0,0
225,read,46,1,100,1613,0,0
226,read,26101,1,100,173336,1,0
227,read,159162,1,100,167705,1,0
228,read,2092,1,100,2184,0,0
229,read,366045,1,100,312487,2,0
230,read,16157,1,100,2004,0,0
231,read,111,1,100,1653,0,0
232,read,341911,1,100,2354,0,0
233,read,2,1,100,1533,0,0
234,read,372,1,100,1763,0,0
235,read,47,1,100,1533,0,0
236,read,334,1,100,1553,0,0
237,read,5671,1,100,150643,1,0
238,read,47079,1,100,169579,1,0
239,read,3484,1,100,2304,0,0
240,read,49253,1,100,167475,1,0
241,read,235,1,100,1733,0,0
242,read,10423,1,100,172023,1,0
243,read,421,1,100,2184,0,0
244,read,1655,1,100,1993,0,0
245,read,27,1,100,1613,0,0
246,read,277,1,100,2144,0,0
247,read,1269,1,100,1934,0,0
248,read,427640,1,100,168186,1,0
249,read,83972,1,100,162696,1,0
250,read,6,1,100,1633,0,0
251,read,3,1,100,1563,0,0
252,read,20508,1,100,162055,1,0
253,read,4,1,100,1653,0,0
254,read,1,1,100,1543,0,0
255,read,73,1,100,1573,0,0
256,read,2,1,100,1543,0,0
257,read,759,1,100,2124,0,0
258,read,762,1,100,1683,0,0
259,read,1015,1,100,1853,0,0
260,read,15,1,100,1563,0,0
261,read,27,1,100,1532,0,0
262,read,26,1,100,1563,0,0
263,read,9,1,100,1533,0,0
264,read,2,1,100,1552,0,0
265,read,51552,1,100,173967,1,0
266,read,5,1,100,1633,0,0
267,read,6583,1,100,140314,1,0
268,read,653,1,100,1884,0,0
269,read,438,1,100,1913,0,0
270,read,1093,1,100,2094,0,0
271,read,138171,1,100,158798,1,0
272,read,2222,1,100,2334,0,0
273,read,6,1,100,1573,0,0
274,read,22401,1,100,173726,1,0
275,read,399,1,100,2004,0,0
276,read,24720,1,100,134893,1,0
277,read,50,1,100,1703,0,0
278,read,155140,1,100,338567,2,0
279,read,71682,1,100,2625,0,1
280,read,383,1,100,1743,0,0
281,read,4879,1,100,1954,0,0
282,read,16627,1,100,2825,0,1
283,read,12,1,100,1643,0,0
284,read,33,1,100,1583,0,0
285,read,349412,1,100,181682,1,0
286,read,1,1,100,1603,0,0
287,read,18,1,100,1562,0,0
288,read,20002,1,100,147858,1,0
289,read,5,1,100,1623,0,0
290,read,362,1,100,1823,0,0
291,read,23,1,100,1533,0,0
292,read,71,1,100,1573,0,0
293,read,587,1,100,1834,0,0
294,read,12031,1,100,2805,0,1
295,read,30132,1,100,153478,1,0
296,read,96480,1,100,2224,0,0
297,read,1302,1,100,1773,0,0
298,read,3,1,100,1583,0,0
299,read,31652,1,100,2755,0,1
300,read,2,1,100,1533,0,0
301,read,7,1,100,1563,0,0
302,read,98380,1,100,161624,1,0
303,read,1458,1,100,2074,0,0
304,read,309,1,100,1713,0,0
305,read,7125,1,100,2895,0,1
306,read,949,1,100,2034,0,0
307,read,18686,1,100,166653,1,0
308,read,54,1,100,1663,0,0
309,read,1,1,100,1553,0,0
310,read,197731,1,100,175129,1,0
311,read,310139,1,100,171152,1,0
312,read,68194,1,100,165090,1,0
313,read,2,1,100,1623,0,0
314,read,2,1,100,1583,0,0
315,read,6174,1,100,124695,1,0
316,read,10551,1,100,2604,0,1
317,read,27,1,100,1583,0,0
318,read,148,1,100,1663,0,0
319,read,2067,1,100,1994,0,0
320,read,7,1,100,1532,0,0
321,read,10575,1,100,2264,0,0
322,read,1235,1,100,1894,0,0
323,read,808,1,100,1613,0,0
324,read,436,1,100,1603,0,0
325,read,333,1,100,1714,0,0
326,read,1,1,100,1533,0,0
327,read,15,1,100,1553,0,0
328,read,20526,1,100,1953,0,0
329,read,282,1,100,1763,0,0
330,read,3,1,100,1543,0,0
331,read,13,1,100,1603,0,0
332,read,196190,1,100,161223,1,0
