op_no,op_type,target_id,rows_returned,bytes_returned,elapsed_ns,majflt_delta,minflt_delta
1,scan,110,50,5000,254348,1,10
2,scan,194,50,5000,10791,0,0
3,scan,6,50,5000,6412,0,1
4,scan,11060,50,5000,173516,1,0
5,scan,7719,50,5000,175490,1,0
6,scan,1,50,5000,4399,0,0
7,scan,7,50,5000,3978,0,0
8,scan,19,50,5000,4127,0,0
9,scan,4759,50,5000,169890,1,0
10,scan,261861,50,5000,339758,2,0
11,scan,8,50,5000,4359,0,0
12,scan,76909,50,5000,336403,2,0
13,scan,2720,50,5000,165502,1,0
14,scan,42246,50,5000,338897,2,0
15,scan,29721,50,5000,165080,1,0
16,scan,44,50,5000,4168,0,0
17,scan,59,50,5000,4418,0,0
18,scan,41,50,5000,3977,0,0
19,scan,2010,50,5000,174448,1,0
20,scan,282214,50,5000,182302,1,1
21,scan,341,50,5000,151144,1,0
22,scan,3,50,5000,4008,0,0
23,scan,65,50,5000,4008,0,0
24,scan,2,50,5000,3907,0,0
25,scan,462,50,5000,18555,0,1
26,scan,14746,50,5000,170731,1,1
27,scan,3,50,5000,4318,0,0
28,scan,28883,50,5000,169869,1,0
29,scan,7066,50,5000,170581,1,1
30,scan,196166,50,5000,341281,2,0
31,scan,4,50,5000,3937,0,0
32,scan,4,50,5000,3927,0,0
33,scan,257077,50,5000,173055,1,0
34,scan,58,50,5000,4118,0,0
35,scan,355602,50,5000,340920,2,0
36,scan,18642,50,5000,171422,1,0
37,scan,1,50,5000,3978,0,0
38,scan,452,50,5000,4649,0,0
39,scan,606,50,5000,5681,0,0
40,scan,1,50,5000,3908,0,0
41,scan,697,50,5000,12424,0,2
42,scan,3,50,5000,3887,0,0
43,scan,6206,50,5000,178986,1,0
44,scan,2,50,5000,3967,0,0
45,scan,3293,50,5000,162245,1,1
46,scan,309,50,5000,5180,0,0
47,scan,4316,50,5000,164339,1,0
48,scan,14,50,5000,4078,0,0
49,scan,454304,50,5000,346211,2,0
50,scan,1209,50,5000,6252,0,1
51,scan,173,50,5000,4779,0,0
52,scan,169700,50,5000,346131,2,0
53,scan,1606,50,5000,6342,0,1
54,scan,105556,50,5000,336062,2,0
55,scan,296082,50,5000,343355,2,0
56,scan,1,50,5000,4067,0,0
57,scan,972,50,5000,5330,0,0
58,scan,775,50,5000,5140,0,0
59,scan,2,50,5000,3938,0,0
60,scan,56,50,5000,4087,0,0
61,scan,86738,50,5000,344097,2,0
62,scan,3,50,5000,3997,0,0
63,scan,167091,50,5000,333216,2,0
64,scan,4100,50,5000,5400,0,0
65,scan,871,50,5000,5310,0,0
66,scan,685,50,5000,4448,0,0
67,scan,145748,50,5000,334719,2,0
68,scan,1,50,5000,4047,0,0
69,scan,2893,50,5000,5510,0,0
70,scan,272,50,5000,4809,0,0
71,scan,37451,50,5000,175089,1,0
72,scan,4,50,5000,3927,0,0
73,scan,14221,50,5000,166273,1,0
74,scan,10439,50,5000,166554,1,0
75,scan,369564,50,5000,337635,2,0
76,scan,9648,50,5000,178585,1,0
77,scan,2545,50,5000,5120,0,0
78,scan,24916,50,5000,165982,1,0
79,scan,18,50,5000,4128,0,0
80,scan,10,50,5000,3977,0,0
81,scan,4423,50,5000,5681,0,0
82,scan,149,50,5000,4819,0,0
83,scan,1,50,5000,3887,0,0
84,scan,236825,50,5000,353114,2,0
85,scan,17,50,5000,4638,0,0
86,scan,564,50,5000,5110,0,0
87,scan,1471,50,5000,7484,0,1
88,scan,34,50,5000,3947,0,0
89,scan,9238,50,5000,150673,1,0
90,scan,36191,50,5000,168967,1,1
91,scan,497964,50,5000,337775,2,0
92,scan,1605,50,5000,4448,0,0
93,scan,1855,50,5000,5270,0,0
94,scan,16,50,5000,3987,0,0
95,scan,1,50,5000,3947,0,0
96,scan,3775,50,5000,142849,1,0
97,scan,638,50,5000,4098,0,0
98,scan,2339,50,5000,6412,0,1
99,scan,438142,50,5000,329008,2,0
100,scan,1297,50,5000,5891,0,0
101,scan,8442,50,5000,171472,1,0
102,scan,1,50,5000,3957,0,0
103,scan,4,50,5000,3897,0,0
104,scan,424137,50,5000,341021,2,0
105,scan,236,50,5000,4899,0,0
106,scan,45849,50,5000,173636,1,0
107,scan,11201,50,5000,20318,0,1
108,scan,3470,50,5000,7514,0,1
109,scan,573,50,5000,6332,0,0
110,scan,352,50,5000,4378,0,0
111,scan,173627,50,5000,193794,1,0
112,scan,276,50,5000,4108,0,0
113,scan,590414,50,5000,329579,2,0
114,scan,1042,50,5000,5570,0,0
115,scan,1537,50,5000,5200,0,0
116,scan,101,50,5000,4128,0,0
117,scan,2544,50,5000,4048,0,0
118,scan,100,50,5000,3967,0,0
119,scan,5,50,5000,3937,0,0
120,scan,31012,50,5000,165511,1,0
121,scan,5,50,5000,3987,0,0
122,scan,54,50,5000,4088,0,0
123,scan,15,50,5000,3997,0,0
124,scan,1,50,5000,3907,0,0
125,scan,226501,50,5000,350499,2,0
126,scan,152,50,5000,4117,0,0
127,scan,25024,50,5000,13526,0,1
128,scan,56,50,5000,4068,0,0
129,scan,1,50,5000,3887,0,0
130,scan,1,50,5000,3897,0,0
131,scan,446,50,5000,4539,0,0
132,scan,249225,50,5000,335010,2,0
