op_no,op_type,target_id,rows_returned,bytes_returned,elapsed_ns,majflt_delta,minflt_delta
1,scan,122918,50,5000,432323,2,10
2,scan,425898,50,5000,337164,2,0
3,scan,4,50,5000,8055,0,2
4,scan,42,50,5000,4749,0,0
5,scan,813,50,5000,173737,1,0
6,scan,48709,50,5000,329840,2,0
7,scan,1075,50,5000,7274,0,1
8,scan,3,50,5000,4027,0,0
9,scan,208,50,5000,122651,1,0
10,scan,179,50,5000,4920,0,0
11,scan,7970,50,5000,169048,1,0
12,scan,682,50,5000,5460,0,0
13,scan,622,50,5000,5530,0,0
14,scan,228482,50,5000,347423,2,1
15,scan,74628,50,5000,342985,2,0
16,scan,2463,50,5000,172334,1,0
17,scan,1,50,5000,4018,0,0
18,scan,3799,50,5000,166954,1,0
19,scan,18632,50,5000,174618,1,0
20,scan,6,50,5000,4038,0,0
21,scan,262920,50,5000,336723,2,0
22,scan,1244,50,5000,153218,1,0
23,scan,718,50,5000,4438,0,0
24,scan,27,50,5000,4088,0,0
25,scan,400,50,5000,5811,0,0
26,scan,75,50,5000,4248,0,0
27,scan,718,50,5000,3947,0,0
28,scan,53344,50,5000,337715,2,0
29,scan,123423,50,5000,156103,1,0
30,scan,319310,50,5000,333186,2,0
31,scan,17800,50,5000,178926,1,0
32,scan,7,50,5000,3997,0,0
33,scan,1131,50,5000,5320,0,0
34,scan,16431,50,5000,174247,1,0
35,scan,714,50,5000,4038,0,0
36,scan,391,50,5000,4769,0,0
37,scan,711,50,5000,4038,0,0
38,scan,1,50,5000,3937,0,0
39,scan,4,50,5000,3907,0,0
40,scan,2,50,5000,3907,0,0
41,scan,155365,50,5000,348886,2,0
42,scan,52,50,5000,4237,0,0
43,scan,29167,50,5000,314802,2,1
44,scan,33,50,5000,4007,0,0
45,scan,22694,50,5000,174949,1,0
46,scan,42,50,5000,3977,0,0
47,scan,40992,50,5000,167094,1,0
48,scan,504,50,5000,5019,0,0
49,scan,72037,50,5000,341873,2,0
50,scan,5471,50,5000,165341,1,0
51,scan,17170,50,5000,169799,1,0
52,scan,29284,50,5000,6001,0,0
53,scan,110,50,5000,4568,0,0
54,scan,114768,50,5000,167325,1,0
55,scan,264828,50,5000,171842,1,0
56,scan,24,50,5000,4078,0,0
57,scan,1584,50,5000,6161,0,1
58,scan,25,50,5000,4098,0,0
59,scan,72638,50,5000,166302,1,1
60,scan,91784,50,5000,340830,2,1
