op_no,op_type,target_id,rows_returned,bytes_returned,elapsed_ns,majflt_delta,minflt_delta
1,scan,122918,50,5000,1160391,2,10
2,scan,425898,50,5000,1047278,2,0
3,scan,4,50,5000,9197,0,2
4,scan,42,50,5000,4589,0,0
5,scan,813,50,5000,599316,1,0
6,scan,48709,50,5000,1053380,2,0
7,scan,1075,50,5000,9528,0,1
8,scan,3,50,5000,4088,0,0
9,scan,208,50,5000,378522,1,0
10,scan,179,50,5000,4649,0,0
11,scan,7970,50,5000,613233,1,0
12,scan,682,50,5000,5401,0,0
13,scan,622,50,5000,4429,0,0
14,scan,228482,50,5000,911534,2,1
15,scan,74628,50,5000,1057868,2,0
16,scan,2463,50,5000,423776,1,0
17,scan,1,50,5000,4018,0,0
18,scan,3799,50,5000,606970,1,0
19,scan,18632,50,5000,473711,1,0
20,scan,6,50,5000,22673,0,0
21,scan,262920,50,5000,1012593,2,0
22,scan,1244,50,5000,599277,1,0
23,scan,718,50,5000,5641,0,0
24,scan,27,50,5000,4449,0,0
25,scan,400,50,5000,5841,0,0
26,scan,75,50,5000,4568,0,0
27,scan,718,50,5000,3967,0,0
28,scan,53344,50,5000,1015739,2,0
29,scan,123423,50,5000,435308,1,0
30,scan,319310,50,5000,1055514,2,0
31,scan,17800,50,5000,619364,1,0
32,scan,7,50,5000,4408,0,0
33,scan,1131,50,5000,5601,0,0
34,scan,16431,50,5000,424458,1,0
35,scan,714,50,5000,4158,0,0
36,scan,391,50,5000,5059,0,0
37,scan,711,50,5000,4128,0,0
38,scan,1,50,5000,3947,0,0
39,scan,4,50,5000,3938,0,0
40,scan,2,50,5000,3868,0,0
41,scan,155365,50,5000,1010029,2,0
42,scan,52,50,5000,5370,0,0
43,scan,29167,50,5000,1032661,2,1
44,scan,33,50,5000,5330,0,0
45,scan,22694,50,5000,603774,1,0
46,scan,42,50,5000,4519,0,0
47,scan,40992,50,5000,425931,1,0
48,scan,504,50,5000,5761,0,0
49,scan,72037,50,5000,1035457,2,0
50,scan,5471,50,5000,619806,1,0
51,scan,17170,50,5000,438223,1,0
52,scan,29284,50,5000,5590,0,0
53,scan,110,50,5000,4739,0,0
54,scan,114768,50,5000,600338,1,0
55,scan,264828,50,5000,448142,1,0
56,scan,24,50,5000,4328,0,0
57,scan,1584,50,5000,5921,0,1
58,scan,25,50,5000,4018,0,0
59,scan,72638,50,5000,602353,1,1
60,scan,91784,50,5000,946609,2,1
61,scan,3141,50,5000,417334,1,0
62,scan,24677,50,5000,611609,1,0
63,scan,184,50,5000,6022,0,0
64,scan,3980,50,5000,15760,0,1
65,scan,6,50,5000,3967,0,0
66,scan,88316,50,5000,456198,1,0
67,scan,44,50,5000,4208,0,0
68,scan,6052,50,5000,603404,1,0
69,scan,12,50,5000,4168,0,0
70,scan,329,50,5000,5641,0,0
71,scan,1,50,5000,3867,0,0
72,scan,278,50,5000,4849,0,0
73,scan,116,50,5000,4308,0,0
74,scan,2022,50,5000,368001,1,0
75,scan,9,50,5000,4128,0,0
76,scan,318,50,5000,3937,0,0
77,scan,422367,50,5000,593906,1,1
78,scan,68,50,5000,4398,0,0
79,scan,4,50,5000,3917,0,0
80,scan,26445,50,5000,439997,1,0
81,scan,4,50,5000,4168,0,0
82,scan,509227,50,5000,1015578,2,0
83,scan,5709,50,5000,6392,0,1
84,scan,42549,50,5000,600829,1,0
85,scan,7,50,5000,4198,0,0
86,scan,77511,50,5000,431942,1,0
87,scan,3885,50,5000,5570,0,0
88,scan,8196,50,5000,5180,0,0
89,scan,570,50,5000,4809,0,0
90,scan,6305,50,5000,5430,0,0
91,scan,916,50,5000,5791,0,0
92,scan,145328,50,5000,943884,2,0
93,scan,14525,50,5000,621167,1,0
94,scan,11,50,5000,4188,0,0
95,scan,5,50,5000,3927,0,0
96,scan,1,50,5000,3917,0,0
97,scan,150553,50,5000,7043,0,0
98,scan,1,50,5000,3908,0,0
99,scan,244,50,5000,4729,0,0
100,scan,68253,50,5000,384984,1,0
101,scan,9,50,5000,4147,0,0
102,scan,224,50,5000,4388,0,0
103,scan,10475,50,5000,603945,1,0
104,scan,10,50,5000,4178,0,0
105,scan,22,50,5000,4027,0,0
106,scan,26469,50,5000,4979,0,0
107,scan,4,50,5000,3978,0,0
108,scan,15,50,5000,3938,0,0
109,scan,157894,50,5000,1018173,2,0
110,scan,36014,50,5000,439697,1,0
111,scan,546799,50,5000,1068087,2,0
112,scan,2695,50,5000,7314,0,1
113,scan,4,50,5000,3918,0,0
114,scan,5,50,5000,3907,0,0
115,scan,37547,50,5000,510409,1,0
116,scan,73,50,5000,4288,0,0
117,scan,1,50,5000,3927,0,0
118,scan,46508,50,5000,447702,1,0
119,scan,17352,50,5000,23795,0,1
120,scan,1569,50,5000,9378,0,0
121,scan,279,50,5000,6341,0,0
122,scan,10611,50,5000,27672,0,2
123,scan,20060,50,5000,584699,1,0
124,scan,24269,50,5000,12814,0,1
125,scan,437,50,5000,7404,0,0
126,scan,373,50,5000,7173,0,0
127,scan,1,50,5000,6102,0,0
128,scan,1,50,5000,5991,0,0
129,scan,55643,50,5000,378752,1,0
130,scan,3997,50,5000,7434,0,0
131,scan,2050,50,5000,5370,0,0
132,scan,115,50,5000,4649,0,0
133,scan,3,50,5000,4108,0,0
134,scan,13,50,5000,3978,0,0
135,scan,1,50,5000,3887,0,0
136,scan,42896,50,5000,7694,0,1
137,scan,20,50,5000,3978,0,0
