op_no,op_type,target_id,rows_returned,bytes_returned,elapsed_ns,majflt_delta,minflt_delta
1,scan,1174,50,5000,233288,1,10
2,scan,2566,50,5000,190157,1,0
3,scan,862,50,5000,11822,0,2
4,scan,135115,50,5000,193544,1,1
5,scan,56,50,5000,9097,0,0
6,scan,125,50,5000,4889,0,0
7,scan,45,50,5000,4439,0,0
8,scan,28,50,5000,4298,0,0
9,scan,81,50,5000,4228,0,0
10,scan,314842,50,5000,192612,1,2
11,scan,84,50,5000,9187,0,0
12,scan,243553,50,5000,180409,1,2
13,scan,64429,50,5000,173657,1,1
14,scan,117,50,5000,4458,0,0
15,scan,744,50,5000,143089,1,0
16,scan,254991,50,5000,186520,1,1
17,scan,1,50,5000,4348,0,0
18,scan,42,50,5000,4198,0,0
19,scan,1417,50,5000,6943,0,1
20,scan,7084,50,5000,177784,1,1
21,scan,266,50,5000,108383,1,0
22,scan,427263,50,5000,180349,1,1
23,scan,32,50,5000,4268,0,0
24,scan,2931,50,5000,155222,1,0
25,scan,1589,50,5000,145183,1,0
26,scan,16,50,5000,4238,0,0
27,scan,149929,50,5000,183345,1,1
28,scan,109032,50,5000,178957,1,1
29,scan,51268,50,5000,177864,1,1
30,scan,10,50,5000,4178,0,0
31,scan,239288,50,5000,168567,1,2
32,scan,37,50,5000,4188,0,0
33,scan,29,50,5000,4338,0,0
34,scan,7549,50,5000,176011,1,0
35,scan,2,50,5000,4238,0,0
36,scan,1190,50,5000,4258,0,0
37,scan,1,50,5000,4168,0,0
38,scan,2349,50,5000,6783,0,1
39,scan,2,50,5000,4137,0,0
40,scan,5336,50,5000,174678,1,0
41,scan,195,50,5000,4409,0,0
42,scan,105,50,5000,4188,0,0
43,scan,2900,50,5000,5470,0,0
44,scan,2738,50,5000,17072,0,1
45,scan,37,50,5000,4198,0,0
46,scan,129,50,5000,4168,0,0
47,scan,111629,50,5000,223349,1,1
48,scan,69975,50,5000,176993,1,0
49,scan,3858,50,5000,6873,0,1
50,scan,30,50,5000,4258,0,0
51,scan,11901,50,5000,176823,1,0
52,scan,4,50,5000,4167,0,0
53,scan,750,50,5000,4238,0,0
54,scan,115,50,5000,4218,0,0
55,scan,3962,50,5000,5891,0,0
56,scan,410821,50,5000,169969,1,1
57,scan,6,50,5000,4238,0,0
58,scan,10,50,5000,4158,0,0
59,scan,65791,50,5000,198433,1,0
60,scan,29322,50,5000,167114,1,1
61,scan,593951,50,5000,178937,1,1
62,scan,32,50,5000,4178,0,0
63,scan,359722,50,5000,167084,1,1
64,scan,50,50,5000,4258,0,0
65,scan,78,50,5000,4248,0,0
66,scan,34,50,5000,4117,0,0
67,scan,30,50,5000,4188,0,0
68,scan,359,50,5000,5801,0,0
69,scan,80068,50,5000,172734,1,1
70,scan,177409,50,5000,172024,1,1
71,scan,8,50,5000,4178,0,0
72,scan,3,50,5000,4188,0,0
73,scan,13266,50,5000,176902,1,0
74,scan,561679,50,5000,177915,1,1
75,scan,1,50,5000,4198,0,0
76,scan,36,50,5000,4168,0,0
77,scan,111641,50,5000,5600,0,1
78,scan,3,50,5000,4168,0,0
79,scan,131440,50,5000,180098,1,1
80,scan,625,50,5000,5771,0,0
81,scan,68,50,5000,4198,0,0
82,scan,72,50,5000,4128,0,0
83,scan,2,50,5000,4148,0,0
84,scan,286,50,5000,4328,0,0
85,scan,453,50,5000,6281,0,0
86,scan,10,50,5000,4108,0,0
87,scan,61,50,5000,4208,0,0
88,scan,50,50,5000,4157,0,0
89,scan,321,50,5000,4288,0,0
90,scan,57,50,5000,4138,0,0
91,scan,211402,50,5000,178836,1,1
92,scan,1286,50,5000,10860,0,1
93,scan,150652,50,5000,165751,1,1
94,scan,2873,50,5000,5951,0,0
95,scan,487794,50,5000,179838,1,1
96,scan,3314,50,5000,7254,0,1
97,scan,2380,50,5000,4468,0,0
98,scan,53,50,5000,4198,0,0
99,scan,263,50,5000,4308,0,0
100,scan,44065,50,5000,183165,1,1
101,scan,497480,50,5000,175590,1,1
102,scan,885,50,5000,4649,0,0
103,scan,390557,50,5000,184948,1,1
104,scan,19,50,5000,4318,0,0
105,scan,106,50,5000,4178,0,0
106,scan,6449,50,5000,173967,1,0
107,scan,12267,50,5000,141486,1,0
108,scan,2,50,5000,4208,0,0
109,scan,30,50,5000,4258,0,0
110,scan,8546,50,5000,175159,1,0
111,scan,2,50,5000,4208,0,0
112,scan,2,50,5000,4118,0,0
113,scan,4518,50,5000,185198,1,0
114,scan,1,50,5000,4167,0,0
115,scan,1,50,5000,4208,0,0
116,scan,1,50,5000,4138,0,0
117,scan,10,50,5000,4147,0,0
118,scan,6623,50,5000,6512,0,1
119,scan,73861,50,5000,179558,1,0
120,scan,6945,50,5000,5610,0,0
121,scan,180542,50,5000,185989,1,0
122,scan,67,50,5000,4218,0,0
123,scan,9,50,5000,4178,0,0
124,scan,169343,50,5000,180168,1,1
125,scan,5864,50,5000,139362,1,0
126,scan,90794,50,5000,173817,1,1
127,scan,3,50,5000,4167,0,0
128,scan,267621,50,5000,177163,1,1
129,scan,127559,50,5000,184246,1,0
130,scan,267,50,5000,4328,0,0
131,scan,1,50,5000,4228,0,0
132,scan,14777,50,5000,178656,1,0
133,scan,2,50,5000,4348,0,0
134,scan,156,50,5000,4258,0,0
135,scan,99,50,5000,4228,0,0
136,scan,7,50,5000,4128,0,0
137,scan,310409,50,5000,184416,1,1
138,scan,14,50,5000,4238,0,0
139,scan,16598,50,5000,165641,1,0
140,scan,1607,50,5000,4519,0,0
141,scan,220,50,5000,4248,0,0
142,scan,9,50,5000,4108,0,0
143,scan,396,50,5000,4809,0,0
144,scan,1,50,5000,4128,0,0
145,scan,2,50,5000,4118,0,0
146,scan,529,50,5000,5440,0,0
147,scan,5,50,5000,4148,0,0
148,scan,40,50,5000,4107,0,0
149,scan,540,50,5000,4178,0,0
150,scan,1,50,5000,4098,0,0
151,scan,2840,50,5000,4738,0,0
152,scan,29,50,5000,4158,0,0
153,scan,3537,50,5000,5721,0,0
154,scan,1,50,5000,4108,0,0
155,scan,1,50,5000,4118,0,0
156,scan,1568,50,5000,5259,0,0
157,scan,66983,50,5000,149291,1,0
158,scan,23257,50,5000,172594,1,1
159,scan,77,50,5000,4308,0,0
160,scan,1575,50,5000,4218,0,0
161,scan,48,50,5000,4238,0,0
162,scan,48,50,5000,4197,0,0
163,scan,23,50,5000,4228,0,0
164,scan,51204,50,5000,5480,0,0
165,scan,88482,50,5000,183205,1,0
166,scan,273,50,5000,4268,0,0
167,scan,67,50,5000,4178,0,0
168,scan,34285,50,5000,174277,1,0
169,scan,22,50,5000,4248,0,0
170,scan,2,50,5000,4108,0,0
171,scan,6,50,5000,4127,0,0
172,scan,4,50,5000,4118,0,0
173,scan,8,50,5000,4108,0,0
174,scan,5962,50,5000,6292,0,1
175,scan,2,50,5000,4148,0,0
176,scan,256117,50,5000,178996,1,0
177,scan,444,50,5000,4328,0,0
178,scan,23115,50,5000,6041,0,0
179,scan,1027,50,5000,4960,0,0
180,scan,107069,50,5000,176202,1,0
181,scan,41209,50,5000,193093,1,0
182,scan,3,50,5000,4148,0,0
183,scan,102,50,5000,4208,0,0
184,scan,7973,50,5000,131116,1,0
185,scan,18835,50,5000,173145,1,0
186,scan,3,50,5000,4158,0,0
187,scan,3817,50,5000,5390,0,0
188,scan,32159,50,5000,167094,1,0
189,scan,437688,50,5000,175930,1,1
190,scan,96,50,5000,4218,0,0
191,scan,866,50,5000,4418,0,0
192,scan,26,50,5000,4218,0,0
193,scan,1432,50,5000,4318,0,0
194,scan,222914,50,5000,181000,1,1
195,scan,59846,50,5000,167865,1,1
196,scan,11817,50,5000,5100,0,0
197,scan,96715,50,5000,176341,1,1
198,scan,26024,50,5000,183595,1,0
199,scan,491,50,5000,4318,0,0
200,scan,15,50,5000,4208,0,0
201,scan,924,50,5000,4389,0,0
202,scan,911,50,5000,4137,0,0
203,scan,20,50,5000,4268,0,0
204,scan,21110,50,5000,180770,1,0
205,scan,6,50,5000,4198,0,0
206,scan,246198,50,5000,161494,1,0
207,scan,152,50,5000,4338,0,0
208,scan,162367,50,5000,164108,1,0
209,scan,2567,50,5000,4378,0,0
210,scan,2578,50,5000,5350,0,0
211,scan,43,50,5000,4168,0,0
212,scan,2,50,5000,4118,0,0
213,scan,40,50,5000,4177,0,0
214,scan,26,50,5000,4178,0,0
215,scan,3,50,5000,4168,0,0
216,scan,2828,50,5000,4398,0,0
217,scan,28701,50,5000,177243,1,0
218,scan,7022,50,5000,5159,0,0
219,scan,9,50,5000,4138,0,0
220,scan,216,50,5000,4258,0,0
221,scan,5518,50,5000,5290,0,0
222,scan,29655,50,5000,164229,1,1
223,scan,35,50,5000,4198,0,0
224,scan,5227,50,5000,6863,0,1
225,scan,23653,50,5000,152516,1,0
226,scan,5,50,5000,4138,0,0
227,scan,1025,50,5000,4438,0,0
228,scan,5253,50,5000,4368,0,0
229,scan,2303,50,5000,5470,0,0
230,scan,2,50,5000,4078,0,0
231,scan,66,50,5000,4168,0,0
232,scan,205814,50,5000,180209,1,0
233,scan,124,50,5000,4288,0,0
234,scan,6225,50,5000,5971,0,0
