op_no,op_type,target_id,rows_returned,bytes_returned,elapsed_ns,majflt_delta,minflt_delta
1,scan,194875,50,5000,245942,1,11
2,scan,1,50,5000,12172,0,1
3,scan,6,50,5000,5210,0,1
4,scan,1,50,5000,4108,0,0
5,scan,93,50,5000,5189,0,0
6,scan,216382,50,5000,170721,1,1
7,scan,53593,50,5000,170040,1,2
8,scan,588,50,5000,159560,1,0
9,scan,3822,50,5000,175109,1,0
10,scan,67751,50,5000,173556,1,1
11,scan,1,50,5000,4138,0,0
12,scan,20476,50,5000,170270,1,0
13,scan,16226,50,5000,172976,1,0
14,scan,10208,50,5000,170621,1,0
15,scan,110,50,5000,4739,0,0
16,scan,2901,50,5000,167265,1,1
17,scan,110,50,5000,4057,0,0
18,scan,11,50,5000,3978,0,0
19,scan,1,50,5000,3958,0,0
20,scan,28,50,5000,3977,0,0
21,scan,281,50,5000,5069,0,0
22,scan,17207,50,5000,171853,1,0
23,scan,779,50,5000,6362,0,1
24,scan,186,50,5000,5179,0,0
25,scan,196636,50,5000,177293,1,0
26,scan,39,50,5000,4088,0,0
27,scan,2129,50,5000,167394,1,1
28,scan,18,50,5000,4048,0,0
29,scan,3248,50,5000,127960,1,0
30,scan,4,50,5000,3987,0,0
31,scan,345977,50,5000,175861,1,1
32,scan,3,50,5000,4007,0,0
33,scan,16590,50,5000,128481,1,1
34,scan,169,50,5000,4318,0,0
35,scan,24,50,5000,4048,0,0
36,scan,227,50,5000,4349,0,0
37,scan,1288,50,5000,164279,1,0
38,scan,150,50,5000,4108,0,0
39,scan,34864,50,5000,173757,1,1
40,scan,2713,50,5000,5390,0,0
41,scan,18,50,5000,4148,0,0
42,scan,7,50,5000,3998,0,0
43,scan,68,50,5000,3967,0,0
44,scan,5,50,5000,4007,0,0
45,scan,1691,50,5000,79850,1,0
46,scan,1,50,5000,3968,0,0
47,scan,1,50,5000,3958,0,0
48,scan,11,50,5000,3958,0,0
49,scan,953,50,5000,6101,0,1
50,scan,173310,50,5000,171562,1,2
51,scan,721,50,5000,7434,0,1
52,scan,37,50,5000,4017,0,0
53,scan,39,50,5000,3948,0,0
54,scan,1840,50,5000,5039,0,0
55,scan,988,50,5000,4548,0,0
56,scan,1620,50,5000,4539,0,0
57,scan,85,50,5000,4057,0,0
58,scan,5,50,5000,3947,0,0
59,scan,6,50,5000,3958,0,0
60,scan,7466,50,5000,168036,1,1
61,scan,21621,50,5000,174979,1,0
62,scan,29532,50,5000,150603,1,1
63,scan,32,50,5000,4058,0,0
64,scan,1,50,5000,4879,0,0
65,scan,52391,50,5000,171081,1,0
66,scan,12,50,5000,3988,0,0
67,scan,797,50,5000,4439,0,0
68,scan,40415,50,5000,176111,1,1
69,scan,13273,50,5000,167465,1,0
70,scan,12,50,5000,3977,0,0
71,scan,1357,50,5000,5611,0,0
72,scan,26261,50,5000,174568,1,0
73,scan,18142,50,5000,177815,1,0
74,scan,99,50,5000,4087,0,0
75,scan,5,50,5000,3937,0,0
76,scan,6,50,5000,3928,0,0
77,scan,7,50,5000,3918,0,0
78,scan,1,50,5000,3928,0,0
79,scan,166,50,5000,4117,0,0
80,scan,329,50,5000,4739,0,0
81,scan,1601,50,5000,5029,0,0
82,scan,7440,50,5000,4669,0,0
83,scan,1,50,5000,3927,0,0
84,scan,5,50,5000,3907,0,0
85,scan,345,50,5000,3957,0,0
86,scan,62,50,5000,4068,0,0
87,scan,38879,50,5000,174719,1,0
88,scan,2,50,5000,3957,0,0
89,scan,31,50,5000,3987,0,0
90,scan,6,50,5000,3917,0,0
91,scan,216506,50,5000,5480,0,0
92,scan,617,50,5000,4729,0,0
