op_no,op_type,target_id,rows_returned,bytes_returned,elapsed_ns,majflt_delta,minflt_delta
1,scan,529691,50,5000,378221,2,10
2,scan,5396,50,5000,176382,1,1
3,scan,5275,50,5000,6753,0,1
4,scan,194,50,5000,4498,0,0
5,scan,5128,50,5000,6592,0,1
6,scan,184,50,5000,4749,0,0
7,scan,16,50,5000,4689,0,0
8,scan,5,50,5000,4288,0,0
9,scan,8,50,5000,4198,0,0
10,scan,8,50,5000,4208,0,0
11,scan,11930,50,5000,185769,1,0
12,scan,2,50,5000,4278,0,0
13,scan,91,50,5000,4969,0,0
14,scan,13075,50,5000,175560,1,0
15,scan,3,50,5000,4268,0,0
16,scan,1840,50,5000,167735,1,0
17,scan,284,50,5000,151905,1,0
18,scan,7743,50,5000,178466,1,0
19,scan,457135,50,5000,344939,2,0
20,scan,147058,50,5000,337173,2,1
21,scan,261339,50,5000,345430,2,0
22,scan,9,50,5000,4509,0,0
23,scan,2,50,5000,4177,0,0
24,scan,35,50,5000,4218,0,0
25,scan,3619,50,5000,171723,1,0
26,scan,62273,50,5000,351390,2,0
27,scan,48324,50,5000,321775,2,0
28,scan,4,50,5000,4208,0,0
29,scan,3576,50,5000,5210,0,0
30,scan,10,50,5000,4158,0,0
31,scan,56256,50,5000,348175,2,0
32,scan,33652,50,5000,337835,2,0
33,scan,1184,50,5000,162967,1,0
34,scan,1,50,5000,4268,0,0
35,scan,74,50,5000,4198,0,0
36,scan,8,50,5000,4158,0,0
37,scan,476081,50,5000,347673,2,1
38,scan,4,50,5000,4268,0,0
39,scan,108,50,5000,4388,0,0
40,scan,7,50,5000,4148,0,0
41,scan,11,50,5000,4398,0,0
42,scan,7432,50,5000,6332,0,1
43,scan,1,50,5000,4128,0,0
44,scan,1688,50,5000,6272,0,1
45,scan,2952,50,5000,164559,1,0
46,scan,13,50,5000,4198,0,0
47,scan,8118,50,5000,147297,1,0
48,scan,1604,50,5000,6031,0,0
49,scan,14785,50,5000,170270,1,0
50,scan,203,50,5000,4689,0,0
51,scan,9271,50,5000,170350,1,0
52,scan,41179,50,5000,181130,1,1
53,scan,129,50,5000,4258,0,0
54,scan,789,50,5000,113764,1,0
55,scan,100626,50,5000,333547,2,0
56,scan,11,50,5000,4228,0,0
57,scan,2465,50,5000,145363,1,0
58,scan,141754,50,5000,345930,2,0
59,scan,2,50,5000,4198,0,0
60,scan,42,50,5000,4378,0,0
61,scan,5,50,5000,4107,0,0
62,scan,14809,50,5000,4689,0,0
63,scan,161320,50,5000,335741,2,0
64,scan,644,50,5000,6271,0,0
65,scan,24954,50,5000,181672,1,0
66,scan,11670,50,5000,6181,0,0
67,scan,18213,50,5000,167324,1,0
68,scan,4152,50,5000,165822,1,0
69,scan,50599,50,5000,173225,1,0
70,scan,79582,50,5000,339117,2,0
71,scan,36123,50,5000,174027,1,0
72,scan,12506,50,5000,125496,1,0
73,scan,5,50,5000,4188,0,0
74,scan,3430,50,5000,5871,0,0
75,scan,337,50,5000,5070,0,0
76,scan,33013,50,5000,160541,1,0
77,scan,9,50,5000,4248,0,0
78,scan,2,50,5000,4148,0,0
79,scan,10,50,5000,4348,0,0
80,scan,9,50,5000,4137,0,0
81,scan,3,50,5000,4098,0,0
82,scan,70192,50,5000,171161,1,0
83,scan,21398,50,5000,165291,1,1
84,scan,1,50,5000,4158,0,0
85,scan,1,50,5000,4128,0,0
86,scan,2462,50,5000,4268,0,0
87,scan,1,50,5000,4087,0,0
88,scan,37,50,5000,4188,0,0
89,scan,120,50,5000,4348,0,0
90,scan,43523,50,5000,164389,1,1
91,scan,382600,50,5000,341902,2,0
92,scan,9,50,5000,4198,0,0
93,scan,59,50,5000,4208,0,0
94,scan,19,50,5000,4217,0,0
95,scan,7336,50,5000,143189,1,0
96,scan,3,50,5000,4178,0,0
97,scan,3950,50,5000,6682,0,1
98,scan,1,50,5000,4368,0,0
99,scan,270,50,5000,4699,0,0
100,scan,119082,50,5000,338506,2,0
101,scan,3,50,5000,4208,0,0
102,scan,76742,50,5000,165020,1,0
103,scan,5,50,5000,4167,0,0
104,scan,5,50,5000,4168,0,0
105,scan,79477,50,5000,6803,0,1
106,scan,75552,50,5000,175479,1,1
107,scan,1572,50,5000,5050,0,0
108,scan,144,50,5000,4278,0,0
109,scan,69940,50,5000,7074,0,1
110,scan,3938,50,5000,4689,0,0
111,scan,357,50,5000,4669,0,0
112,scan,1,50,5000,4127,0,0
113,scan,3772,50,5000,6122,0,0
114,scan,41,50,5000,4177,0,0
115,scan,7,50,5000,4128,0,0
116,scan,134728,50,5000,164649,1,0
117,scan,341646,50,5000,182002,1,1
118,scan,447,50,5000,6683,0,1
119,scan,565364,50,5000,332986,2,0
120,scan,43,50,5000,4198,0,0
121,scan,79873,50,5000,5710,0,0
122,scan,4,50,5000,4098,0,0
123,scan,29,50,5000,4178,0,0
124,scan,82,50,5000,4198,0,0
125,scan,133,50,5000,4168,0,0
126,scan,71,50,5000,4138,0,0
127,scan,31,50,5000,4178,0,0
128,scan,5,50,5000,4108,0,0
129,scan,1,50,5000,4097,0,0
130,scan,13,50,5000,4078,0,0
131,scan,41,50,5000,4108,0,0
132,scan,1,50,5000,4138,0,0
133,scan,45681,50,5000,173145,1,0
134,scan,15,50,5000,4228,0,0
135,scan,1,50,5000,4208,0,0
136,scan,26263,50,5000,169499,1,0
137,scan,44355,50,5000,172795,1,0
138,scan,100467,50,5000,5932,0,0
139,scan,337836,50,5000,178316,1,0
140,scan,90761,50,5000,171483,1,0
141,scan,117,50,5000,4308,0,0
142,scan,20,50,5000,4248,0,0
143,scan,24686,50,5000,6513,0,1
144,scan,617,50,5000,4980,0,0
145,scan,38341,50,5000,175310,1,0
146,scan,2373,50,5000,6101,0,0
147,scan,44,50,5000,4118,0,0
148,scan,1,50,5000,4147,0,0
149,scan,234872,50,5000,331984,2,0
150,scan,7212,50,5000,5661,0,0
151,scan,140059,50,5000,164679,1,1
152,scan,441,50,5000,4318,0,0
153,scan,13,50,5000,4168,0,0
154,scan,38922,50,5000,167936,1,0
155,scan,400442,50,5000,346201,2,0
156,scan,2,50,5000,4258,0,0
157,scan,110,50,5000,4238,0,0
158,scan,721,50,5000,5911,0,0
159,scan,2,50,5000,4118,0,0
160,scan,1030,50,5000,5891,0,0
161,scan,115,50,5000,4157,0,0
162,scan,6809,50,5000,144261,1,0
163,scan,41395,50,5000,5370,0,0
164,scan,167343,50,5000,173176,1,0
165,scan,1623,50,5000,4318,0,0
166,scan,12347,50,5000,6532,0,1
167,scan,137389,50,5000,163567,1,0
168,scan,65999,50,5000,177343,1,1
169,scan,14,50,5000,4208,0,0
