op_no,op_type,target_id,rows_returned,bytes_returned,elapsed_ns,majflt_delta,minflt_delta
1,scan,194875,50,5000,367591,2,10
2,scan,1,50,5000,9217,0,1
3,scan,6,50,5000,5100,0,1
4,scan,1,50,5000,4228,0,0
5,scan,93,50,5000,4909,0,0
6,scan,216382,50,5000,352492,2,0
7,scan,53593,50,5000,344488,2,1
8,scan,588,50,5000,171853,1,0
9,scan,3822,50,5000,173176,1,0
10,scan,67751,50,5000,346501,2,0
11,scan,1,50,5000,4318,0,0
12,scan,20476,50,5000,171482,1,0
13,scan,16226,50,5000,174077,1,0
14,scan,10208,50,5000,183765,1,0
15,scan,110,50,5000,4519,0,0
16,scan,2901,50,5000,180349,1,1
17,scan,110,50,5000,4248,0,0
18,scan,11,50,5000,4158,0,0
19,scan,1,50,5000,4148,0,0
20,scan,28,50,5000,4218,0,0
21,scan,281,50,5000,5320,0,0
22,scan,17207,50,5000,188023,1,0
23,scan,779,50,5000,6753,0,1
24,scan,186,50,5000,4428,0,0
25,scan,196636,50,5000,180880,1,0
26,scan,39,50,5000,4228,0,0
27,scan,2129,50,5000,170461,1,1
28,scan,18,50,5000,4238,0,0
29,scan,3248,50,5000,129624,1,0
30,scan,4,50,5000,4198,0,0
31,scan,345977,50,5000,344708,2,0
32,scan,3,50,5000,4218,0,0
33,scan,16590,50,5000,129233,1,1
34,scan,169,50,5000,4388,0,0
35,scan,24,50,5000,4238,0,0
36,scan,227,50,5000,4909,0,0
37,scan,1288,50,5000,171091,1,0
38,scan,150,50,5000,4238,0,0
39,scan,34864,50,5000,340881,2,0
40,scan,2713,50,5000,5651,0,0
41,scan,18,50,5000,4358,0,0
42,scan,7,50,5000,4118,0,0
43,scan,68,50,5000,4188,0,0
44,scan,5,50,5000,4248,0,0
45,scan,1691,50,5000,85841,1,0
46,scan,1,50,5000,4609,0,0
47,scan,1,50,5000,4147,0,0
48,scan,11,50,5000,5240,0,0
49,scan,953,50,5000,6633,0,1
50,scan,173310,50,5000,346721,2,1
51,scan,721,50,5000,8316,0,1
52,scan,37,50,5000,4208,0,0
53,scan,39,50,5000,4148,0,0
54,scan,1840,50,5000,5591,0,0
55,scan,988,50,5000,4589,0,0
56,scan,1620,50,5000,5630,0,0
57,scan,85,50,5000,4318,0,0
58,scan,5,50,5000,4098,0,0
59,scan,6,50,5000,4157,0,0
60,scan,7466,50,5000,179327,1,1
61,scan,21621,50,5000,183535,1,0
62,scan,29532,50,5000,7043,0,1
63,scan,32,50,5000,4218,0,0
64,scan,1,50,5000,4127,0,0
65,scan,52391,50,5000,176332,1,0
66,scan,12,50,5000,4197,0,0
67,scan,797,50,5000,4569,0,0
68,scan,40415,50,5000,350609,2,0
69,scan,13273,50,5000,193424,1,0
70,scan,12,50,5000,4208,0,0
71,scan,1357,50,5000,5289,0,0
72,scan,26261,50,5000,168607,1,0
73,scan,18142,50,5000,176342,1,0
74,scan,99,50,5000,4268,0,0
75,scan,5,50,5000,4208,0,0
76,scan,6,50,5000,4138,0,0
77,scan,7,50,5000,4127,0,0
78,scan,1,50,5000,4148,0,0
79,scan,166,50,5000,4258,0,0
80,scan,329,50,5000,4960,0,0
81,scan,1601,50,5000,5179,0,0
82,scan,7440,50,5000,4829,0,0
83,scan,1,50,5000,4138,0,0
84,scan,5,50,5000,4087,0,0
85,scan,345,50,5000,4258,0,0
86,scan,62,50,5000,4258,0,0
87,scan,38879,50,5000,180178,1,0
88,scan,2,50,5000,4218,0,0
89,scan,31,50,5000,4288,0,0
90,scan,6,50,5000,4077,0,0
91,scan,216506,50,5000,5751,0,0
92,scan,617,50,5000,4679,0,0
93,scan,1,50,5000,4137,0,0
94,scan,460,50,5000,5881,0,0
95,scan,5759,50,5000,201408,1,0
96,scan,3,50,5000,4248,0,0
97,scan,83804,50,5000,344267,2,1
98,scan,51,50,5000,4338,0,0
99,scan,33,50,5000,4178,0,0
100,scan,2,50,5000,4068,0,0
101,scan,175,50,5000,4208,0,0
102,scan,1,50,5000,4117,0,0
103,scan,15163,50,5000,176041,1,0
104,scan,46868,50,5000,177644,1,0
105,scan,518,50,5000,4839,0,0
106,scan,142173,50,5000,336322,2,0
107,scan,4030,50,5000,16140,0,1
108,scan,12541,50,5000,177994,1,0
109,scan,15,50,5000,4308,0,0
110,scan,9,50,5000,4188,0,0
111,scan,5021,50,5000,142418,1,0
112,scan,129778,50,5000,352202,2,0
113,scan,3,50,5000,4198,0,0
114,scan,20814,50,5000,153699,1,1
115,scan,381,50,5000,4358,0,0
116,scan,14815,50,5000,160041,1,0
117,scan,1,50,5000,4188,0,0
118,scan,93990,50,5000,340631,2,0
119,scan,374,50,5000,4207,0,0
120,scan,26294,50,5000,4679,0,0
121,scan,192527,50,5000,363433,2,0
122,scan,28255,50,5000,170100,1,0
123,scan,213,50,5000,4399,0,0
124,scan,13995,50,5000,167033,1,0
125,scan,135772,50,5000,180139,1,0
126,scan,128786,50,5000,177844,1,0
127,scan,2,50,5000,4208,0,0
128,scan,27587,50,5000,182933,1,0
129,scan,93,50,5000,4298,0,0
130,scan,19,50,5000,4228,0,0
131,scan,349538,50,5000,333276,2,0
132,scan,79317,50,5000,154531,1,1
133,scan,2088,50,5000,4980,0,0
134,scan,11600,50,5000,171613,1,0
135,scan,10,50,5000,4288,0,0
136,scan,4,50,5000,4218,0,0
137,scan,353489,50,5000,5921,0,0
138,scan,325,50,5000,4278,0,0
139,scan,1,50,5000,4088,0,0
140,scan,195034,50,5000,17152,0,2
141,scan,289694,50,5000,353524,2,0
142,scan,4,50,5000,4228,0,0
143,scan,2812,50,5000,5380,0,0
144,scan,8,50,5000,4128,0,0
145,scan,8343,50,5000,175109,1,0
146,scan,10,50,5000,4208,0,0
147,scan,276,50,5000,4288,0,0
148,scan,29,50,5000,4207,0,0
149,scan,1,50,5000,4148,0,0
150,scan,1003,50,5000,4228,0,0
151,scan,70,50,5000,4188,0,0
152,scan,14,50,5000,4168,0,0
153,scan,4,50,5000,4098,0,0
154,scan,141159,50,5000,181020,1,1
155,scan,52,50,5000,4308,0,0
156,scan,79653,50,5000,6442,0,1
157,scan,25390,50,5000,183705,1,0
158,scan,178072,50,5000,174438,1,0
159,scan,1341,50,5000,4369,0,0
160,scan,67968,50,5000,6563,0,1
161,scan,46,50,5000,4218,0,0
162,scan,18485,50,5000,158568,1,1
163,scan,1,50,5000,4178,0,0
164,scan,78,50,5000,4248,0,0
165,scan,130,50,5000,4308,0,0
166,scan,3,50,5000,4107,0,0
167,scan,343358,50,5000,173076,1,1
168,scan,138000,50,5000,187603,1,0
169,scan,775,50,5000,4378,0,0
170,scan,2,50,5000,4158,0,0
171,scan,36,50,5000,4178,0,0
172,scan,3078,50,5000,5741,0,0
173,scan,109,50,5000,4238,0,0
174,scan,82080,50,5000,169578,1,0
175,scan,3034,50,5000,5781,0,0
176,scan,4987,50,5000,5210,0,0
177,scan,2775,50,5000,4709,0,0
178,scan,36890,50,5000,168758,1,0
179,scan,13481,50,5000,7084,0,1
180,scan,72,50,5000,4208,0,0
181,scan,7,50,5000,4158,0,0
182,scan,1626,50,5000,4358,0,0
183,scan,16870,50,5000,5951,0,0
