op_no,op_type,target_id,rows_returned,bytes_returned,elapsed_ns,majflt_delta,minflt_delta
1,scan,122918,50,5000,561486,1,11
2,scan,425898,50,5000,575602,1,1
3,scan,4,50,5000,10680,0,2
4,scan,42,50,5000,4949,0,0
5,scan,813,50,5000,412375,1,0
6,scan,48709,50,5000,601671,1,1
7,scan,1075,50,5000,7333,0,1
8,scan,3,50,5000,4068,0,0
9,scan,208,50,5000,124804,1,0
10,scan,179,50,5000,4929,0,0
11,scan,7970,50,5000,409089,1,0
12,scan,682,50,5000,5430,0,0
13,scan,622,50,5000,5731,0,0
14,scan,228482,50,5000,608303,1,2
15,scan,74628,50,5000,454665,1,1
16,scan,2463,50,5000,606670,1,0
17,scan,1,50,5000,4168,0,0
18,scan,3799,50,5000,424918,1,0
19,scan,18632,50,5000,613713,1,0
20,scan,6,50,5000,7013,0,0
21,scan,262920,50,5000,180519,1,1
22,scan,1244,50,5000,401966,1,0
23,scan,718,50,5000,4478,0,0
24,scan,27,50,5000,4729,0,0
25,scan,400,50,5000,5470,0,0
26,scan,75,50,5000,4218,0,0
27,scan,718,50,5000,3938,0,0
28,scan,53344,50,5000,577144,1,1
29,scan,123423,50,5000,432413,1,0
30,scan,319310,50,5000,613483,1,1
31,scan,17800,50,5000,437733,1,0
32,scan,7,50,5000,4288,0,0
33,scan,1131,50,5000,5140,0,0
34,scan,16431,50,5000,604466,1,0
35,scan,714,50,5000,11442,0,0
36,scan,391,50,5000,7544,0,0
37,scan,711,50,5000,6652,0,0
38,scan,1,50,5000,6493,0,0
39,scan,4,50,5000,6081,0,0
40,scan,2,50,5000,4789,0,0
41,scan,155365,50,5000,423456,1,1
42,scan,52,50,5000,4338,0,0
43,scan,29167,50,5000,609836,1,2
44,scan,33,50,5000,5370,0,0
45,scan,22694,50,5000,443043,1,0
46,scan,42,50,5000,3987,0,0
47,scan,40992,50,5000,603444,1,0
48,scan,504,50,5000,6712,0,0
49,scan,72037,50,5000,170661,1,1
50,scan,5471,50,5000,454364,1,0
51,scan,17170,50,5000,615948,1,0
52,scan,29284,50,5000,25658,0,1
53,scan,110,50,5000,4929,0,0
54,scan,114768,50,5000,417605,1,1
55,scan,264828,50,5000,615717,1,0
56,scan,24,50,5000,4328,0,0
57,scan,1584,50,5000,6182,0,1
58,scan,25,50,5000,4018,0,0
59,scan,72638,50,5000,429798,1,1
60,scan,91784,50,5000,616149,1,2
61,scan,3141,50,5000,433115,1,0
62,scan,24677,50,5000,613584,1,0
63,scan,184,50,5000,6993,0,0
64,scan,3980,50,5000,17693,0,1
65,scan,6,50,5000,4057,0,0
66,scan,88316,50,5000,466597,1,0
67,scan,44,50,5000,4308,0,0
68,scan,6052,50,5000,526619,1,0
69,scan,12,50,5000,4950,0,0
70,scan,329,50,5000,5690,0,0
71,scan,1,50,5000,3947,0,0
72,scan,278,50,5000,4769,0,0
73,scan,116,50,5000,4218,0,0
74,scan,2022,50,5000,400092,1,0
75,scan,9,50,5000,4127,0,0
76,scan,318,50,5000,3948,0,0
77,scan,422367,50,5000,607843,1,1
78,scan,68,50,5000,4097,0,0
79,scan,4,50,5000,4028,0,0
80,scan,26445,50,5000,430489,1,0
81,scan,4,50,5000,3947,0,0
82,scan,509227,50,5000,605197,1,1
83,scan,5709,50,5000,17092,0,1
84,scan,42549,50,5000,417305,1,0
85,scan,7,50,5000,4448,0,0
86,scan,77511,50,5000,610818,1,0
87,scan,3885,50,5000,6392,0,0
88,scan,8196,50,5000,5941,0,0
89,scan,570,50,5000,5590,0,0
90,scan,6305,50,5000,5160,0,0
91,scan,916,50,5000,6262,0,0
92,scan,145328,50,5000,413096,1,1
93,scan,14525,50,5000,602963,1,0
94,scan,11,50,5000,4789,0,0
95,scan,5,50,5000,3968,0,0
96,scan,1,50,5000,3938,0,0
97,scan,150553,50,5000,420149,1,0
98,scan,1,50,5000,4188,0,0
99,scan,244,50,5000,4338,0,0
100,scan,68253,50,5000,604245,1,0
101,scan,9,50,5000,13415,0,0
102,scan,224,50,5000,5431,0,0
103,scan,10475,50,5000,438774,1,0
104,scan,10,50,5000,4218,0,0
105,scan,22,50,5000,4038,0,0
106,scan,26469,50,5000,4699,0,0
107,scan,4,50,5000,3917,0,0
108,scan,15,50,5000,4048,0,0
109,scan,157894,50,5000,585871,1,1
110,scan,36014,50,5000,438193,1,0
111,scan,546799,50,5000,615287,1,1
112,scan,2695,50,5000,9287,0,1
113,scan,4,50,5000,4007,0,0
114,scan,5,50,5000,3928,0,0
115,scan,37547,50,5000,420401,1,0
116,scan,73,50,5000,4188,0,0
117,scan,1,50,5000,3928,0,0
118,scan,46508,50,5000,617090,1,0
119,scan,17352,50,5000,15539,0,1
120,scan,1569,50,5000,5901,0,0
121,scan,279,50,5000,4198,0,0
122,scan,10611,50,5000,16571,0,2
123,scan,20060,50,5000,412565,1,0
124,scan,24269,50,5000,6663,0,1
125,scan,437,50,5000,5079,0,0
126,scan,373,50,5000,4468,0,0
127,scan,1,50,5000,3958,0,0
128,scan,1,50,5000,3908,0,0
129,scan,55643,50,5000,593766,1,0
130,scan,3997,50,5000,6201,0,0
131,scan,2050,50,5000,5040,0,0
132,scan,115,50,5000,4208,0,0
133,scan,3,50,5000,4017,0,0
134,scan,13,50,5000,3937,0,0
135,scan,1,50,5000,3867,0,0
136,scan,42896,50,5000,392989,1,0
137,scan,20,50,5000,4258,0,0
138,scan,119429,50,5000,624173,1,0
139,scan,111263,50,5000,420580,1,0
140,scan,4,50,5000,4308,0,0
141,scan,30076,50,5000,7194,0,1
142,scan,111020,50,5000,6301,0,0
143,scan,78604,50,5000,595790,1,0
144,scan,186,50,5000,11361,0,0
145,scan,17,50,5000,6682,0,0
146,scan,7,50,5000,14287,0,0
147,scan,8,50,5000,21992,0,0
148,scan,466290,50,5000,260099,1,1
149,scan,2316,50,5000,19116,0,0
150,scan,42394,50,5000,11452,0,0
151,scan,483,50,5000,9268,0,0
152,scan,1,50,5000,8135,0,0
153,scan,2,50,5000,8165,0,0
154,scan,43653,50,5000,363414,1,0
155,scan,27487,50,5000,619645,1,0
156,scan,5886,50,5000,10449,0,0
157,scan,40214,50,5000,432944,1,0
158,scan,10,50,5000,15639,0,0
159,scan,5,50,5000,8817,0,0
160,scan,4237,50,5000,12964,0,1
161,scan,21692,50,5000,575983,1,0
162,scan,1,50,5000,15719,0,0
163,scan,31,50,5000,9077,0,0
164,scan,80095,50,5000,392919,1,0
165,scan,252519,50,5000,608633,1,1
166,scan,1,50,5000,8546,0,0
167,scan,30451,50,5000,487577,1,0
168,scan,3,50,5000,4237,0,0
169,scan,18,50,5000,4048,0,0
170,scan,1425,50,5000,8316,0,1
171,scan,5,50,5000,3938,0,0
172,scan,2141,50,5000,5300,0,0
173,scan,67,50,5000,4178,0,0
174,scan,92,50,5000,4388,0,0
175,scan,562831,50,5000,565192,1,1
176,scan,14768,50,5000,6412,0,1
177,scan,2,50,5000,4008,0,0
178,scan,8446,50,5000,416733,1,0
179,scan,1023,50,5000,7684,0,1
180,scan,1,50,5000,3988,0,0
181,scan,65,50,5000,3957,0,0
182,scan,2116,50,5000,5220,0,0
183,scan,978,50,5000,5360,0,0
184,scan,276,50,5000,4228,0,0
185,scan,2,50,5000,3927,0,0
186,scan,3945,50,5000,5069,0,0
187,scan,2,50,5000,3867,0,0
188,scan,40,50,5000,3928,0,0
189,scan,11852,50,5000,560714,1,0
190,scan,210977,50,5000,418006,1,1
191,scan,6293,50,5000,5280,0,0
192,scan,31,50,5000,4057,0,0
193,scan,1,50,5000,3927,0,0
194,scan,3,50,5000,3898,0,0
195,scan,385,50,5000,4349,0,0
196,scan,1,50,5000,3938,0,0
197,scan,2,50,5000,3947,0,0
198,scan,9,50,5000,3887,0,0
199,scan,350,50,5000,4819,0,0
200,scan,22,50,5000,3997,0,0
201,scan,63,50,5000,3947,0,0
202,scan,8,50,5000,3888,0,0
203,scan,141923,50,5000,549473,1,0
204,scan,3,50,5000,6002,0,0
205,scan,257062,50,5000,170731,1,0
206,scan,39584,50,5000,443484,1,0
207,scan,3030,50,5000,6271,0,0
208,scan,428185,50,5000,572546,1,0
209,scan,38,50,5000,4228,0,0
210,scan,475,50,5000,4468,0,0
211,scan,13129,50,5000,425700,1,0
212,scan,16107,50,5000,7424,0,1
213,scan,36420,50,5000,601921,1,0
214,scan,70041,50,5000,444676,1,1
215,scan,15401,50,5000,612140,1,0
216,scan,7510,50,5000,411955,1,0
217,scan,17,50,5000,4148,0,0
218,scan,2,50,5000,3967,0,0
219,scan,2,50,5000,3857,0,0
220,scan,21052,50,5000,590751,1,1
221,scan,120610,50,5000,442421,1,0
222,scan,23491,50,5000,609476,1,0
223,scan,2928,50,5000,5911,0,0
224,scan,1,50,5000,3958,0,0
225,scan,176876,50,5000,420400,1,1
226,scan,7,50,5000,4148,0,0
227,scan,7,50,5000,3937,0,0
228,scan,39390,50,5000,4899,0,0
229,scan,8806,50,5000,581162,1,0
230,scan,14103,50,5000,208191,1,0
231,scan,2,50,5000,3978,0,0
232,scan,9,50,5000,3938,0,0
233,scan,285169,50,5000,586853,1,2
234,scan,76765,50,5000,219373,1,0
235,scan,1,50,5000,4137,0,0
236,scan,449353,50,5000,605178,1,1
237,scan,70629,50,5000,425039,1,0
238,scan,2601,50,5000,7474,0,1
239,scan,939,50,5000,5601,0,0
240,scan,11069,50,5000,8075,0,1
241,scan,3,50,5000,3978,0,0
242,scan,4996,50,5000,583807,1,0
243,scan,8559,50,5000,6101,0,0
244,scan,126299,50,5000,417134,1,0
245,scan,5,50,5000,4228,0,0
246,scan,1,50,5000,4007,0,0
247,scan,7,50,5000,3948,0,0
248,scan,301977,50,5000,584860,1,1
249,scan,3,50,5000,4137,0,0
250,scan,9,50,5000,3907,0,0
251,scan,262,50,5000,4389,0,0
252,scan,4,50,5000,3928,0,0
253,scan,2,50,5000,3897,0,0
254,scan,2,50,5000,3897,0,0
255,scan,3616,50,5000,7925,0,1
256,scan,281,50,5000,4028,0,0
257,scan,245,50,5000,4338,0,0
258,scan,7077,50,5000,399881,1,1
259,scan,78760,50,5000,27392,0,1
260,scan,13,50,5000,4007,0,0
261,scan,604,50,5000,5640,0,0
262,scan,6,50,5000,3928,0,0
263,scan,359,50,5000,4799,0,0
264,scan,85,50,5000,4649,0,0
265,scan,66135,50,5000,572125,1,0
266,scan,9093,50,5000,7093,0,1
267,scan,1,50,5000,3978,0,0
268,scan,5576,50,5000,5690,0,0
269,scan,552351,50,5000,407135,1,1
270,scan,70485,50,5000,5541,0,0
271,scan,269210,50,5000,605999,1,1
272,scan,2,50,5000,4218,0,0
273,scan,32,50,5000,4018,0,0
274,scan,4207,50,5000,5721,0,0
275,scan,10522,50,5000,5410,0,0
