experiment_id,cell_id,status,workload_type,layout,memory_condition,memory_limit_enabled,memory_max_bytes,strategy_key,backend,n,interior_k,leaf_k,measurement_file,repetition,selected_interior,selected_leaf,syscall_count,prefetch_elapsed_us,first_query_latency_us,average_latency_us,major_page_faults,minor_page_faults,resident_after_cold_pages,requested_selected_resident_ratio,successful_selected_resident_ratio
smoke-scan,b5b116188197d1492ae293640571fe3ab56c4a39e74be346f1f1bb4e9579118b,completed,scan_zipf_full,original,unlimited,false,,baseline,,,,,scan_zipf_full_034.txt,1,,,,,443.82,46.11,241,118,16,,
smoke-scan,b3ca62ac6bd316023212f93dcde5a4d6b203ea31fc2cf4a759f0f79910da22c3,completed,scan_zipf_full,original,unlimited,false,,baseline,,,,,scan_zipf_full_046.txt,1,,,,,428.81,49.26,274,102,16,,
smoke-scan,610287777237213f686519f0e46b51d7aaa646e3621139aca6a34544f37ac6ba,completed,scan_zipf_full,original,unlimited,false,,baseline,,,,,scan_zipf_full_027.txt,1,,,,,430.55,50.69,281,98,16,,
smoke-scan,ff360b92400db171d7c5cad543604df39f7874372541e03dc2303b7efbb32b30,completed,scan_zipf_full,original,unlimited,false,,baseline,,,,,scan_zipf_full_033.txt,1,,,,,433.35,72.2,264,107,16,,
smoke-scan,f5d8a7fb1fb0cdd0b82aef508bdd5999d39786bd4cd45eae452fd979e13ce9d5,completed,scan_zipf_full,original,unlimited,false,,baseline,,,,,scan_zipf_full_036.txt,1,,,,,403.93,46.57,252,110,16,,
smoke-scan,c8f261b8cb00d7c5b3bc6143c9c6dc5bf0de3b065547ad9f9f590b0c049964e6,completed,scan_zipf_full,original,unlimited,false,,range_interior,madvise,,,,scan_zipf_full_034.txt,1,92,0,87,118,259.01,40.26,214,155,105,1.0,1.0
smoke-scan,88f3b34ff32ed2a9effe3428c501123f10ed69dbcbf5a6128a9e81d3806c8d7e,completed,scan_zipf_full,original,unlimited,false,,range_interior,madvise,,,,scan_zipf_full_046.txt,1,92,0,87,141,251.54,45.33,239,139,105,1.0,1.0
smoke-scan,b45da8cfc18b21e3d628b7fa070fea35e44dccb8d5d43e950864aff29ee0df7e,completed,scan_zipf_full,original,unlimited,false,,range_interior,madvise,,,,scan_zipf_full_027.txt,1,92,0,87,111,561.49,91.81,239,153,105,1.0,1.0
smoke-scan,ed2e740a4a1db3badccd54d7a86440b5609018936741f8ef4b036d54635e5a38,completed,scan_zipf_full,original,unlimited,false,,range_interior,madvise,,,,scan_zipf_full_033.txt,1,92,0,87,112,214.08,43.59,234,147,105,1.0,1.0
smoke-scan,7e9edf5ad62b8fab332949af23c5c2996ce8dd06075bb58fa8da5c43a12d24c6,completed,scan_zipf_full,original,unlimited,false,,range_interior,madvise,,,,scan_zipf_full_036.txt,1,92,0,87,141,233.29,41.56,220,151,105,1.0,1.0
smoke-scan,91f4f18148578ae397875b473ed25c2aea050691dd89795ead3e540b7d75b9db,completed,scan_zipf_full,original,unlimited,false,,range_interior,pread,,,,scan_zipf_full_034.txt,1,92,0,87,4828,245.94,39.85,214,154,105,1.0,1.0
smoke-scan,65beb9fce5829c812fd4948106e9064e8e297815be393b1409ddabfc756b6051,completed,scan_zipf_full,original,unlimited,false,,range_interior,pread,,,,scan_zipf_full_046.txt,1,92,0,87,35737,275.14,75.45,239,138,105,1.0,1.0
smoke-scan,8b57ff1883028acfdcfe06c58b5f3b7ddde43c66cd704ab4a91834d43cac0434,completed,scan_zipf_full,original,unlimited,false,,range_interior,pread,,,,scan_zipf_full_027.txt,1,92,0,87,4792,218.63,43.86,239,154,105,1.0,1.0
smoke-scan,d080d33d8f2e47f527c26deec6a2d64ddc6b73636ea8f3623ddd28d5c4f997be,completed,scan_zipf_full,original,unlimited,false,,range_interior,pread,,,,scan_zipf_full_033.txt,1,92,0,87,4817,266.76,44.03,234,147,105,1.0,1.0
smoke-scan,f0e22beccf31abda7a96dcf91412bd674c2a04527e082305b998f8259b706d82,completed,scan_zipf_full,original,unlimited,false,,range_interior,pread,,,,scan_zipf_full_036.txt,1,92,0,87,4809,234.12,41.87,220,152,105,1.0,1.0
smoke-scan,3e6f6dc3482cec6d6c3b37df357e97eb3a8cc75cd35a4cc828d9943c25d1c8e0,completed,scan_zipf_full,original,unlimited,false,,offset_topk_interior_n5,madvise,5,,,scan_zipf_full_034.txt,1,5,0,5,6,850.23,96.88,241,118,18,1.0,1.0
smoke-scan,9aa1b4cd3c7ffa789c9b273af31ddc96263c2e0e9d5fde47d488810310de2ed0,completed,scan_zipf_full,original,unlimited,false,,offset_topk_interior_n5,madvise,5,,,scan_zipf_full_046.txt,1,5,0,5,7,400.74,49.61,274,103,18,1.0,1.0
smoke-scan,cc1cacec9ad2e4db5baea5c4eb646b1c0631b05466a549a3c6e7efd1a505876b,completed,scan_zipf_full,original,unlimited,false,,offset_topk_interior_n5,madvise,5,,,scan_zipf_full_027.txt,1,5,0,5,6,402.92,51.23,281,103,18,1.0,1.0
smoke-scan,614ed9895a77aa35e63dbd55f8bd0389711260053561fa931f4407a9ffa6bcf9,completed,scan_zipf_full,original,unlimited,false,,offset_topk_interior_n5,madvise,5,,,scan_zipf_full_033.txt,1,5,0,5,14,375.0,48.77,264,110,18,1.0,1.0
smoke-scan,6c2d7e4016139302a2389285437dfa68f86bd25a726b6c1c6fd1fce812c1584b,completed,scan_zipf_full,original,unlimited,false,,offset_topk_interior_n5,madvise,5,,,scan_zipf_full_036.txt,1,5,0,5,7,681.97,106.4,252,111,18,1.0,1.0
smoke-scan,b2a119167d46b521acbec9bdbeb04105b830fcbd37c79d0da2a05baf792d69ed,completed,scan_zipf_full,original,unlimited,false,,offset_topk_interior_n5,pread,5,,,scan_zipf_full_034.txt,1,5,0,5,315,367.59,45.39,241,119,21,1.0,1.0
smoke-scan,cfa80631bf22701fcf16e3087a93ecf521228639479ec1c42ad9c5664b07af8c,completed,scan_zipf_full,original,unlimited,false,,offset_topk_interior_n5,pread,5,,,scan_zipf_full_046.txt,1,5,0,5,129,368.45,49.67,274,104,21,1.0,1.0
smoke-scan,073301342b392da5aa25bac622ed2937b2ec766ac7f619d2723491942b0dfdae,completed,scan_zipf_full,original,unlimited,false,,offset_topk_interior_n5,pread,5,,,scan_zipf_full_027.txt,1,5,0,5,129,376.79,50.73,281,101,21,1.0,1.0
smoke-scan,41d6ebb3e96fa47cc7b4aba8d0509cdcf23153ae2b1e7c04c9fd2d67f2b9be93,completed,scan_zipf_full,original,unlimited,false,,offset_topk_interior_n5,pread,5,,,scan_zipf_full_033.txt,1,5,0,5,581,896.09,100.12,264,109,21,1.0,1.0
smoke-scan,f2873432c00ce838b2bb0ce9b735626c10156ab598235ec45dba683bf9fb911e,completed,scan_zipf_full,original,unlimited,false,,offset_topk_interior_n5,pread,5,,,scan_zipf_full_036.txt,1,5,0,5,129,221.82,46.3,252,111,21,1.0,1.0
smoke-scan,cc7503f3edd3d5f4598649a3a984646e16a5b50eb3906f2f8e2e795643eba04e,completed,scan_zipf_full,original,unlimited,false,,residency_topk_interior5_leaf0_i5_l0,madvise,,5,0,scan_zipf_full_034.txt,1,5,0,5,7,370.78,44.64,241,120,18,1.0,1.0
smoke-scan,9334718f543d49ae3f1638cc77edddcd91b0a911c18a7b321c197ef058e2808e,completed,scan_zipf_full,original,unlimited,false,,residency_topk_interior5_leaf0_i5_l0,madvise,,5,0,scan_zipf_full_046.txt,1,5,0,5,5,378.22,49.43,274,104,18,1.0,1.0
smoke-scan,2ce7ee9f85b87fbc7cdf38a4aedb7856009677b37fffdc7a23c9fb908d925580,completed,scan_zipf_full,original,unlimited,false,,residency_topk_interior5_leaf0_i5_l0,madvise,,5,0,scan_zipf_full_027.txt,1,5,0,5,5,1160.39,101.87,281,101,18,1.0,1.0
smoke-scan,6bcd870f32ce670605ef775bbfd0ec0327a743ed2f46a93ef65e9adbb56769e7,completed,scan_zipf_full,original,unlimited,false,,residency_topk_interior5_leaf0_i5_l0,madvise,,5,0,scan_zipf_full_033.txt,1,5,0,5,5,443.82,47.96,264,109,18,1.0,1.0
smoke-scan,c1c70390be71e7bf33a72aefc14f5dfdfb073fe2c4920823c937a695538916d6,completed,scan_zipf_full,original,unlimited,false,,residency_topk_interior5_leaf0_i5_l0,madvise,,5,0,scan_zipf_full_036.txt,1,5,0,5,5,269.51,47.91,252,111,18,1.0,1.0
smoke-scan,d058b9a903f9ba572a1f0bef800535bf16c7ecac4d0d9a504cb14cd6270ca9f7,completed,scan_zipf_full,original,unlimited,false,,residency_topk_interior5_leaf0_i5_l0,pread,,5,0,scan_zipf_full_034.txt,1,5,0,5,135,447.08,45.36,241,118,21,1.0,1.0
smoke-scan,324e09c180f9c6e65211cbcbcc53afcb138f6dbc525c2f2d9f49cb4db1157bdb,completed,scan_zipf_full,original,unlimited,false,,residency_topk_interior5_leaf0_i5_l0,pread,,5,0,scan_zipf_full_046.txt,1,5,0,5,512,1075.68,111.61,274,105,21,1.0,1.0
smoke-scan,0eccf67edc3b1370cfdf18d8ac79a460e47f3d681cb67e4b81af5268e54ec2fa,completed,scan_zipf_full,original,unlimited,false,,residency_topk_interior5_leaf0_i5_l0,pread,,5,0,scan_zipf_full_027.txt,1,5,0,5,133,432.32,50.94,281,101,21,1.0,1.0
smoke-scan,dc7a5283afc887720315d1a1feb12d8562c99370c26314ca72407baed8db6bc6,completed,scan_zipf_full,original,unlimited,false,,residency_topk_interior5_leaf0_i5_l0,pread,,5,0,scan_zipf_full_033.txt,1,5,0,5,134,378.94,48.25,264,109,21,1.0,1.0
smoke-scan,7d5f80ac356b510f8512ae8bba6642923409b5cc62c7563439f9d1bcf58a4ac6,completed,scan_zipf_full,original,unlimited,false,,residency_topk_interior5_leaf0_i5_l0,pread,,5,0,scan_zipf_full_036.txt,1,5,0,5,294,210.22,102.22,252,110,21,1.0,1.0
smoke-scan,30ea220f3fcf9888b41877f5addbf83fb3013c58ed4ebab0471fbb79e341d4fe,completed,scan_zipf_full,original,unlimited,false,,residency_topk_interior5_leaf5_i5_l5,madvise,,5,5,scan_zipf_full_034.txt,1,5,5,10,7,408.77,44.47,241,118,18,1.0,1.0
