memory_condition,backend,strategy_key,metric,sample_count,mean,median,p25,p75,p99,min,max,reference_mean,change_percent
unlimited,,baseline,first_query_latency_us,5,428.092,430.55,428.81,433.35,443.82,403.93,443.82,428.092,0.0
unlimited,,baseline,effective_first_query_latency_us,5,428.092,430.55,428.81,433.35,443.82,403.93,443.82,428.092,0.0
unlimited,,baseline,average_latency_us,5,52.965999999999994,49.26,46.57,50.69,72.2,46.11,72.2,52.965999999999994,0.0
unlimited,,baseline,major_page_faults,5,262.4,264.0,252.0,274.0,281.0,241.0,281.0,262.4,0.0
unlimited,,baseline,minor_page_faults,5,107.0,107.0,102.0,110.0,118.0,98.0,118.0,107.0,0.0
unlimited,,baseline,resident_after_cold_pages,5,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,0.0
unlimited,madvise,range_interior,prefetch_elapsed_us,5,124.6,118.0,112.0,141.0,141.0,111.0,141.0,124.6,0.0
unlimited,madvise,range_interior,first_query_latency_us,5,303.882,251.54,233.29,259.01,561.49,214.08,561.49,303.882,0.0
unlimited,madvise,range_interior,effective_first_query_latency_us,5,428.48199999999997,377.01,374.28999999999996,392.53999999999996,672.49,326.08000000000004,672.49,428.48199999999997,0.0
unlimited,madvise,range_interior,average_latency_us,5,52.510000000000005,43.59,41.56,45.33,91.81,40.26,91.81,52.510000000000005,0.0
unlimited,madvise,range_interior,major_page_faults,5,229.2,234.0,220.0,239.0,239.0,214.0,239.0,229.2,0.0
unlimited,madvise,range_interior,minor_page_faults,5,149.0,151.0,147.0,153.0,155.0,139.0,155.0,149.0,0.0
unlimited,madvise,range_interior,resident_after_cold_pages,5,105.0,105.0,105.0,105.0,105.0,105.0,105.0,105.0,0.0
unlimited,madvise,range_interior,requested_selected_resident_ratio,5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
unlimited,madvise,range_interior,successful_selected_resident_ratio,5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
unlimited,madvise,offset_topk_interior_n5,prefetch_elapsed_us,5,8.0,7.0,6.0,7.0,14.0,6.0,14.0,8.0,0.0
unlimited,madvise,offset_topk_interior_n5,first_query_latency_us,5,542.172,402.92,400.74,681.97,850.23,375.0,850.23,542.172,0.0
unlimited,madvise,offset_topk_interior_n5,effective_first_query_latency_us,5,550.172,408.92,407.74,688.97,856.23,389.0,856.23,550.172,0.0
unlimited,madvise,offset_topk_interior_n5,average_latency_us,5,70.578,51.23,49.61,96.88,106.4,48.77,106.4,70.578,0.0
unlimited,madvise,offset_topk_interior_n5,major_page_faults,5,262.4,264.0,252.0,274.0,281.0,241.0,281.0,262.4,0.0
unlimited,madvise,offset_topk_interior_n5,minor_page_faults,5,109.0,110.0,103.0,111.0,118.0,103.0,118.0,109.0,0.0
unlimited,madvise,offset_topk_interior_n5,resident_after_cold_pages,5,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,0.0
unlimited,madvise,offset_topk_interior_n5,requested_selected_resident_ratio,5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
unlimited,madvise,offset_topk_interior_n5,successful_selected_resident_ratio,5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
unlimited,madvise,residency_topk_interior5_leaf0_i5_l0,prefetch_elapsed_us,5,5.4,5.0,5.0,5.0,7.0,5.0,7.0,5.4,0.0
unlimited,madvise,residency_topk_interior5_leaf0_i5_l0,first_query_latency_us,5,524.5440000000001,378.22,370.78,443.82,1160.39,269.51,1160.39,524.5440000000001,0.0
unlimited,madvise,residency_topk_interior5_leaf0_i5_l0,effective_first_query_latency_us,5,529.9440000000001,383.22,377.78,448.82,1165.39,274.51,1165.39,529.9440000000001,0.0
unlimited,madvise,residency_topk_interior5_leaf0_i5_l0,average_latency_us,5,58.362,47.96,47.91,49.43,101.87,44.64,101.87,58.362,0.0
unlimited,madvise,residency_topk_interior5_leaf0_i5_l0,major_page_faults,5,262.4,264.0,252.0,274.0,281.0,241.0,281.0,262.4,0.0
unlimited,madvise,residency_topk_interior5_leaf0_i5_l0,minor_page_faults,5,109.0,109.0,104.0,111.0,120.0,101.0,120.0,109.0,0.0
unlimited,madvise,residency_topk_interior5_leaf0_i5_l0,resident_after_cold_pages,5,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,0.0
unlimited,madvise,residency_topk_interior5_leaf0_i5_l0,requested_selected_resident_ratio,5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
unlimited,madvise,residency_topk_interior5_leaf0_i5_l0,successful_selected_resident_ratio,5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
unlimited,madvise,residency_topk_interior5_leaf5_i5_l5,prefetch_elapsed_us,5,6.6,7.0,6.0,7.0,8.0,5.0,8.0,6.6,0.0
unlimited,madvise,residency_topk_interior5_leaf5_i5_l5,first_query_latency_us,5,364.65,387.46,373.15,390.88,408.77,262.99,408.77,364.65,0.0
unlimited,madvise,residency_topk_interior5_leaf5_i5_l5,effective_first_query_latency_us,5,371.25,394.46,381.15,396.88,415.77,267.99,415.77,371.25,0.0
unlimited,madvise,residency_topk_interior5_leaf5_i5_l5,average_latency_us,5,62.882000000000005,50.42,45.99,51.56,121.97,44.47,121.97,62.882000000000005,0.0
unlimited,madvise,residency_topk_interior5_leaf5_i5_l5,major_page_faults,5,262.4,264.0,252.0,274.0,281.0,241.0,281.0,262.4,0.0
unlimited,madvise,residency_topk_interior5_leaf5_i5_l5,minor_page_faults,5,108.6,109.0,103.0,111.0,118.0,102.0,118.0,108.6,0.0
unlimited,madvise,residency_topk_interior5_leaf5_i5_l5,resident_after_cold_pages,5,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,0.0
unlimited,madvise,residency_topk_interior5_leaf5_i5_l5,requested_selected_resident_ratio,5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
unlimited,madvise,residency_topk_interior5_leaf5_i5_l5,successful_selected_resident_ratio,5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
unlimited,pread,range_interior,prefetch_elapsed_us,5,10996.6,4817.0,4809.0,4828.0,35737.0,4792.0,35737.0,10996.6,0.0
unlimited,pread,range_interior,first_query_latency_us,5,248.118,245.94,234.12,266.76,275.14,218.63,275.14,248.118,0.0
unlimited,pread,range_interior,effective_first_query_latency_us,5,11244.717999999999,5073.94,5043.12,5083.76,36012.14,5010.63,36012.14,11244.717999999999,0.0
unlimited,pread,range_interior,average_latency_us,5,49.012,43.86,41.87,44.03,75.45,39.85,75.45,49.012,0.0
unlimited,pread,range_interior,major_page_faults,5,229.2,234.0,220.0,239.0,239.0,214.0,239.0,229.2,0.0
unlimited,pread,range_interior,minor_page_faults,5,149.0,152.0,147.0,154.0,154.0,138.0,154.0,149.0,0.0
unlimited,pread,range_interior,resident_after_cold_pages,5,105.0,105.0,105.0,105.0,105.0,105.0,105.0,105.0,0.0
unlimited,pread,range_interior,requested_selected_resident_ratio,5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
unlimited,pread,range_interior,successful_selected_resident_ratio,5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
unlimited,pread,offset_topk_interior_n5,prefetch_elapsed_us,5,256.6,129.0,129.0,315.0,581.0,129.0,581.0,256.6,0.0
unlimited,pread,offset_topk_interior_n5,first_query_latency_us,5,446.14799999999997,368.45,367.59,376.79,896.09,221.82,896.09,446.14799999999997,0.0
unlimited,pread,offset_topk_interior_n5,effective_first_query_latency_us,5,702.748,505.79,497.45,682.5899999999999,1477.0900000000001,350.82,1477.0900000000001,702.748,0.0
unlimited,pread,offset_topk_interior_n5,average_latency_us,5,58.44199999999999,49.67,46.3,50.73,100.12,45.39,100.12,58.44199999999999,0.0
unlimited,pread,offset_topk_interior_n5,major_page_faults,5,262.4,264.0,252.0,274.0,281.0,241.0,281.0,262.4,0.0
unlimited,pread,offset_topk_interior_n5,minor_page_faults,5,108.8,109.0,104.0,111.0,119.0,101.0,119.0,108.8,0.0
unlimited,pread,offset_topk_interior_n5,resident_after_cold_pages,5,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,0.0
unlimited,pread,offset_topk_interior_n5,requested_selected_resident_ratio,5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
unlimited,pread,offset_topk_interior_n5,successful_selected_resident_ratio,5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
unlimited,pread,residency_topk_interior5_leaf0_i5_l0,prefetch_elapsed_us,5,241.6,135.0,134.0,294.0,512.0,133.0,512.0,241.6,0.0
unlimited,pread,residency_topk_interior5_leaf0_i5_l0,first_query_latency_us,5,508.84800000000007,432.32,378.94,447.08,1075.68,210.22,1075.68,508.84800000000007,0.0
unlimited,pread,residency_topk_interior5_leaf0_i5_l0,effective_first_query_latency_us,5,750.448,565.3199999999999,512.94,582.0799999999999,1587.68,504.22,1587.68,750.448,0.0
unlimited,pread,residency_topk_interior5_leaf0_i5_l0,average_latency_us,5,71.676,50.94,48.25,102.22,111.61,45.36,111.61,71.676,0.0
unlimited,pread,residency_topk_interior5_leaf0_i5_l0,major_page_faults,5,262.4,264.0,252.0,274.0,281.0,241.0,281.0,262.4,0.0
unlimited,pread,residency_topk_interior5_leaf0_i5_l0,minor_page_faults,5,108.6,109.0,105.0,110.0,118.0,101.0,118.0,108.6,0.0
unlimited,pread,residency_topk_interior5_leaf0_i5_l0,resident_after_cold_pages,5,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,0.0
unlimited,pread,residency_topk_interior5_leaf0_i5_l0,requested_selected_resident_ratio,5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
