scope,measurement_file,metric,sample_count,mean,median,p25,p75,p99,min,max,comparison_basis,improvement_percent
measurement,scan_zipf_full_034.txt,prefetch_elapsed_us,1,6.0,6.0,6.0,6.0,6.0,6.0,6.0,,
measurement,scan_zipf_full_034.txt,first_query_latency_us,1,850.23,850.23,850.23,850.23,850.23,850.23,850.23,same-layout paired baseline,-91.57090712450994
measurement,scan_zipf_full_034.txt,first_query_improvement_percent,1,-91.57090712450994,-91.57090712450994,-91.57090712450994,-91.57090712450994,-91.57090712450994,-91.57090712450994,-91.57090712450994,same-layout paired baseline,-91.57090712450994
measurement,scan_zipf_full_034.txt,effective_first_query_latency_us,1,856.23,856.23,856.23,856.23,856.23,856.23,856.23,same-layout paired baseline,-92.92280654319319
measurement,scan_zipf_full_034.txt,effective_first_query_improvement_percent,1,-92.92280654319319,-92.92280654319319,-92.92280654319319,-92.92280654319319,-92.92280654319319,-92.92280654319319,-92.92280654319319,same-layout paired baseline,-92.92280654319319
measurement,scan_zipf_full_034.txt,average_latency_us,1,96.88,96.88,96.88,96.88,96.88,96.88,96.88,same-layout paired baseline,-110.10626762090652
measurement,scan_zipf_full_034.txt,average_improvement_percent,1,-110.10626762090652,-110.10626762090652,-110.10626762090652,-110.10626762090652,-110.10626762090652,-110.10626762090652,-110.10626762090652,same-layout paired baseline,-110.10626762090652
measurement,scan_zipf_full_034.txt,major_page_faults,1,241.0,241.0,241.0,241.0,241.0,241.0,241.0,,
measurement,scan_zipf_full_034.txt,minor_page_faults,1,118.0,118.0,118.0,118.0,118.0,118.0,118.0,,
measurement,scan_zipf_full_034.txt,resident_after_cold_pages,1,18.0,18.0,18.0,18.0,18.0,18.0,18.0,,
measurement,scan_zipf_full_034.txt,requested_selected_resident_ratio,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,
measurement,scan_zipf_full_034.txt,successful_selected_resident_ratio,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,
measurement,scan_zipf_full_046.txt,prefetch_elapsed_us,1,7.0,7.0,7.0,7.0,7.0,7.0,7.0,,
measurement,scan_zipf_full_046.txt,first_query_latency_us,1,400.74,400.74,400.74,400.74,400.74,400.74,400.74,same-layout paired baseline,6.546022714022525
