scope,measurement_file,metric,sample_count,mean,median,p25,p75,p99,min,max,comparison_basis,improvement_percent
measurement,scan_zipf_full_034.txt,prefetch_elapsed_us,1,7.0,7.0,7.0,7.0,7.0,7.0,7.0,,
measurement,scan_zipf_full_034.txt,first_query_latency_us,1,370.78,370.78,370.78,370.78,370.78,370.78,370.78,same-layout paired baseline,16.457122256770766
measurement,scan_zipf_full_034.txt,first_query_improvement_percent,1,16.457122256770766,16.457122256770766,16.457122256770766,16.457122256770766,16.457122256770766,16.457122256770766,16.457122256770766,same-layout paired baseline,16.457122256770766
measurement,scan_zipf_full_034.txt,effective_first_query_latency_us,1,377.78,377.78,377.78,377.78,377.78,377.78,377.78,same-layout paired baseline,14.879906268306975
measurement,scan_zipf_full_034.txt,effective_first_query_improvement_percent,1,14.879906268306975,14.879906268306975,14.879906268306975,14.879906268306975,14.879906268306975,14.879906268306975,14.879906268306975,same-layout paired baseline,14.879906268306975
measurement,scan_zipf_full_034.txt,average_latency_us,1,44.64,44.64,44.64,44.64,44.64,44.64,44.64,same-layout paired baseline,3.188028627195834
measurement,scan_zipf_full_034.txt,average_improvement_percent,1,3.188028627195834,3.188028627195834,3.188028627195834,3.188028627195834,3.188028627195834,3.188028627195834,3.188028627195834,same-layout paired baseline,3.188028627195834
measurement,scan_zipf_full_034.txt,major_page_faults,1,241.0,241.0,241.0,241.0,241.0,241.0,241.0,,
measurement,scan_zipf_full_034.txt,minor_page_faults,1,120.0,120.0,120.0,120.0,120.0,120.0,120.0,,
measurement,scan_zipf_full_034.txt,resident_after_cold_pages,1,18.0,18.0,18.0,18.0,18.0,18.0,18.0,,
measurement,scan_zipf_full_034.txt,requested_selected_resident_ratio,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,
measurement,scan_zipf_full_034.txt,successful_selected_resident_ratio,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,
measurement,scan_zipf_full_046.txt,prefetch_elapsed_us,1,5.0,5.0,5.0,5.0,5.0,5.0,5.0,,
measurement,scan_zipf_full_046.txt,first_query_latency_us,1,378.22,378.22,378.22,378.22,378.22,378.22,378.22,same-layout paired baseline,11.797765910309922
measurement,scan_zipf_full_046.txt,first_query_improvement_percent,1,11.797765910309922,11.797765910309922,11.797765910309922,11.797765910309922,11.797765910309922,11.797765910309922,11.797765910309922,same-layout paired baseline,11.797765910309922
measurement,scan_zipf_full_046.txt,effective_first_query_latency_us,1,383.22,383.22,383.22,383.22,383.22,383.22,383.22,same-layout paired baseline,10.631748326764761
measurement,scan_zipf_full_046.txt,effective_first_query_improvement_percent,1,10.631748326764761,10.631748326764761,10.631748326764761,10.631748326764761,10.631748326764761,10.631748326764761,10.631748326764761,same-layout paired baseline,10.631748326764761
measurement,scan_zipf_full_046.txt,average_latency_us,1,49.43,49.43,49.43,49.43,49.43,49.43,49.43,same-layout paired baseline,-0.34510759236703553
measurement,scan_zipf_full_046.txt,average_improvement_percent,1,-0.34510759236703553,-0.34510759236703553,-0.34510759236703553,-0.34510759236703553,-0.34510759236703553,-0.34510759236703553,-0.34510759236703553,same-layout paired baseline,-0.34510759236703553
measurement,scan_zipf_full_046.txt,major_page_faults,1,274.0,274.0,274.0,274.0,274.0,274.0,274.0,,
