strategy_key,metric,sample_count,mean,median,p25,p75,p99,min,max,baseline_mean,improvement_percent
baseline,first_query_latency_us,5,428.092,430.55,428.81,433.35,443.82,403.93,443.82,428.092,0.0
baseline,first_query_improvement_percent,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,428.092,0.0
baseline,effective_first_query_latency_us,5,428.092,430.55,428.81,433.35,443.82,403.93,443.82,428.092,0.0
baseline,effective_first_query_improvement_percent,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,428.092,0.0
baseline,average_latency_us,5,52.965999999999994,49.26,46.57,50.69,72.2,46.11,72.2,52.965999999999994,0.0
baseline,average_improvement_percent,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.965999999999994,0.0
baseline,major_page_faults,5,262.4,264.0,252.0,274.0,281.0,241.0,281.0,262.4,
baseline,minor_page_faults,5,107.0,107.0,102.0,110.0,118.0,98.0,118.0,107.0,
baseline,resident_after_cold_pages,5,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,
range_interior,prefetch_elapsed_us,5,124.6,118.0,112.0,141.0,141.0,111.0,141.0,,
range_interior,first_query_latency_us,5,303.882,251.54,233.29,259.01,561.49,214.08,561.49,428.092,29.082449167417685
range_interior,first_query_improvement_percent,5,29.082449167417685,41.640755261141905,41.3399874070101,42.24494343079247,50.59882312218761,-30.412263384043666,50.59882312218761,428.092,29.082449167417685
range_interior,effective_first_query_latency_us,5,428.48199999999997,377.01,374.28999999999996,392.53999999999996,672.49,326.08000000000004,672.49,428.092,-0.11799624436647722
range_interior,effective_first_query_improvement_percent,5,-0.11799624436647722,8.458291551036599,7.337905082563821,15.053400027037988,24.753663320641508,-56.1932412031123,24.753663320641508,428.092,-0.11799624436647722
range_interior,average_latency_us,5,52.510000000000005,43.59,41.56,45.33,91.81,40.26,91.81,52.965999999999994,-2.0142741768964725
range_interior,average_improvement_percent,5,-2.0142741768964725,10.757998711616915,7.978075517661389,12.687052700065065,39.62603878116343,-81.12053659498916,39.62603878116343,52.965999999999994,-2.0142741768964725
range_interior,major_page_faults,5,229.2,234.0,220.0,239.0,239.0,214.0,239.0,262.4,
range_interior,minor_page_faults,5,149.0,151.0,147.0,153.0,155.0,139.0,155.0,107.0,
range_interior,resident_after_cold_pages,5,105.0,105.0,105.0,105.0,105.0,105.0,105.0,16.0,
range_interior,requested_selected_resident_ratio,5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,
range_interior,successful_selected_resident_ratio,5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,
offset_topk_interior_n5,prefetch_elapsed_us,5,8.0,7.0,6.0,7.0,14.0,6.0,14.0,,
offset_topk_interior_n5,first_query_latency_us,5,542.172,402.92,400.74,681.97,850.23,375.0,850.23,428.092,-26.795270671626007
offset_topk_interior_n5,first_query_improvement_percent,5,-26.795270671626007,6.417373127395192,-68.83370881093259,6.546022714022525,13.464866735894779,-91.57090712450994,13.464866735894779,428.092,-26.795270671626007
offset_topk_interior_n5,effective_first_query_latency_us,5,550.172,408.92,407.74,688.97,856.23,389.0,856.23,428.092,-28.663572454517304
offset_topk_interior_n5,effective_first_query_improvement_percent,5,-28.663572454517304,4.913598097059301,-70.56668234595104,5.023806758796886,10.234221760701516,-92.92280654319319,10.234221760701516,428.092,-28.663572454517304
offset_topk_interior_n5,average_latency_us,5,70.578,51.23,49.61,96.88,106.4,48.77,106.4,52.965999999999994,-41.580764926633556
offset_topk_interior_n5,average_improvement_percent,5,-41.580764926633556,-1.0652988755178519,-110.10626762090652,-0.7105156313438925,32.451523545706365,-128.47326605110587,32.451523545706365,52.965999999999994,-41.580764926633556
offset_topk_interior_n5,major_page_faults,5,262.4,264.0,252.0,274.0,281.0,241.0,281.0,262.4,
offset_topk_interior_n5,minor_page_faults,5,109.0,110.0,103.0,111.0,118.0,103.0,118.0,107.0,
offset_topk_interior_n5,resident_after_cold_pages,5,18.0,18.0,18.0,18.0,18.0,18.0,18.0,16.0,
