scope,measurement_file,metric,sample_count,mean,median,p25,p75,p99,min,max,comparison_basis,improvement_percent
measurement,scan_zipf_full_034.txt,prefetch_elapsed_us,1,315.0,315.0,315.0,315.0,315.0,315.0,315.0,,
measurement,scan_zipf_full_034.txt,first_query_latency_us,1,367.59,367.59,367.59,367.59,367.59,367.59,367.59,same-layout paired baseline,17.175882114370694
measurement,scan_zipf_full_034.txt,first_query_improvement_percent,1,17.175882114370694,17.175882114370694,17.175882114370694,17.175882114370694,17.175882114370694,17.175882114370694,17.175882114370694,same-layout paired baseline,17.175882114370694
measurement,scan_zipf_full_034.txt,effective_first_query_latency_us,1,682.5899999999999,682.5899999999999,682.5899999999999,682.5899999999999,682.5899999999999,682.5899999999999,682.5899999999999,same-layout paired baseline,-53.79883736649992
measurement,scan_zipf_full_034.txt,effective_first_query_improvement_percent,1,-53.79883736649992,-53.79883736649992,-53.79883736649992,-53.79883736649992,-53.79883736649992,-53.79883736649992,-53.79883736649992,same-layout paired baseline,-53.79883736649992
measurement,scan_zipf_full_034.txt,average_latency_us,1,45.39,45.39,45.39,45.39,45.39,45.39,45.39,same-layout paired baseline,1.5614834092387744
measurement,scan_zipf_full_034.txt,average_improvement_percent,1,1.5614834092387744,1.5614834092387744,1.5614834092387744,1.5614834092387744,1.5614834092387744,1.5614834092387744,1.5614834092387744,same-layout paired baseline,1.5614834092387744
measurement,scan_zipf_full_034.txt,major_page_faults,1,241.0,241.0,241.0,241.0,241.0,241.0,241.0,,
measurement,scan_zipf_full_034.txt,minor_page_faults,1,119.0,119.0,119.0,119.0,119.0,119.0,119.0,,
measurement,scan_zipf_full_034.txt,resident_after_cold_pages,1,21.0,21.0,21.0,21.0,21.0,21.0,21.0,,
measurement,scan_zipf_full_034.txt,requested_selected_resident_ratio,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,
measurement,scan_zipf_full_034.txt,successful_selected_resident_ratio,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,
measurement,scan_zipf_full_046.txt,prefetch_elapsed_us,1,129.0,129.0,129.0,129.0,129.0,129.0,129.0,,
measurement,scan_zipf_full_046.txt,first_query_latency_us,1,368.45,368.45,368.45,368.45,368.45,368.45,368.45,same-layout paired baseline,14.076164268557173
measurement,scan_zipf_full_046.txt,first_query_improvement_percent,1,14.076164268557173,14.076164268557173,14.076164268557173,14.076164268557173,14.076164268557173,14.076164268557173,14.076164268557173,same-layout paired baseline,14.076164268557173
measurement,scan_zipf_full_046.txt,effective_first_query_latency_us,1,497.45,497.45,497.45,497.45,497.45,497.45,497.45,same-layout paired baseline,-16.007089386907953
measurement,scan_zipf_full_046.txt,effective_first_query_improvement_percent,1,-16.007089386907953,-16.007089386907953,-16.007089386907953,-16.007089386907953,-16.007089386907953,-16.007089386907953,-16.007089386907953,same-layout paired baseline,-16.007089386907953
measurement,scan_zipf_full_046.txt,average_latency_us,1,49.67,49.67,49.67,49.67,49.67,49.67,49.67,same-layout paired baseline,-0.8323183110028496
measurement,scan_zipf_full_046.txt,average_improvement_percent,1,-0.8323183110028496,-0.8323183110028496,-0.8323183110028496,-0.8323183110028496,-0.8323183110028496,-0.8323183110028496,-0.8323183110028496,same-layout paired baseline,-0.8323183110028496
measurement,scan_zipf_full_046.txt,major_page_faults,1,274.0,274.0,274.0,274.0,274.0,274.0,274.0,,
measurement,scan_zipf_full_046.txt,minor_page_faults,1,104.0,104.0,104.0,104.0,104.0,104.0,104.0,,
measurement,scan_zipf_full_046.txt,resident_after_cold_pages,1,21.0,21.0,21.0,21.0,21.0,21.0,21.0,,
measurement,scan_zipf_full_046.txt,requested_selected_resident_ratio,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,
measurement,scan_zipf_full_046.txt,successful_selected_resident_ratio,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,
measurement,scan_zipf_full_027.txt,prefetch_elapsed_us,1,129.0,129.0,129.0,129.0,129.0,129.0,129.0,,
measurement,scan_zipf_full_027.txt,first_query_latency_us,1,376.79,376.79,376.79,376.79,376.79,376.79,376.79,same-layout paired baseline,12.486354662640805
measurement,scan_zipf_full_027.txt,first_query_improvement_percent,1,12.486354662640805,12.486354662640805,12.486354662640805,12.486354662640805,12.486354662640805,12.486354662640805,12.486354662640805,same-layout paired baseline,12.486354662640805
measurement,scan_zipf_full_027.txt,effective_first_query_latency_us,1,505.79,505.79,505.79,505.79,505.79,505.79,505.79,same-layout paired baseline,-17.47532226222274
measurement,scan_zipf_full_027.txt,effective_first_query_improvement_percent,1,-17.47532226222274,-17.47532226222274,-17.47532226222274,-17.47532226222274,-17.47532226222274,-17.47532226222274,-17.47532226222274,same-layout paired baseline,-17.47532226222274
measurement,scan_zipf_full_027.txt,average_latency_us,1,50.73,50.73,50.73,50.73,50.73,50.73,50.73,same-layout paired baseline,-0.07891102781613563
measurement,scan_zipf_full_027.txt,average_improvement_percent,1,-0.07891102781613563,-0.07891102781613563,-0.07891102781613563,-0.07891102781613563,-0.07891102781613563,-0.07891102781613563,-0.07891102781613563,same-layout paired baseline,-0.07891102781613563
measurement,scan_zipf_full_027.txt,major_page_faults,1,281.0,281.0,281.0,281.0,281.0,281.0,281.0,,
measurement,scan_zipf_full_027.txt,minor_page_faults,1,101.0,101.0,101.0,101.0,101.0,101.0,101.0,,
measurement,scan_zipf_full_027.txt,resident_after_cold_pages,1,21.0,21.0,21.0,21.0,21.0,21.0,21.0,,
measurement,scan_zipf_full_027.txt,requested_selected_resident_ratio,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,
measurement,scan_zipf_full_027.txt,successful_selected_resident_ratio,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,
measurement,scan_zipf_full_033.txt,prefetch_elapsed_us,1,581.0,581.0,581.0,581.0,581.0,581.0,581.0,,
measurement,scan_zipf_full_033.txt,first_query_latency_us,1,896.09,896.09,896.09,896.09,896.09,896.09,896.09,same-layout paired baseline,-106.78204684435212
measurement,scan_zipf_full_033.txt,first_query_improvement_percent,1,-106.78204684435212,-106.78204684435212,-106.78204684435212,-106.78204684435212,-106.78204684435212,-106.78204684435212,-106.78204684435212,same-layout paired baseline,-106.78204684435212
measurement,scan_zipf_full_033.txt,effective_first_query_latency_us,1,1477.0900000000001,1477.0900000000001,1477.0900000000001,1477.0900000000001,1477.0900000000001,1477.0900000000001,1477.0900000000001,same-layout paired baseline,-240.85381331487255
measurement,scan_zipf_full_033.txt,effective_first_query_improvement_percent,1,-240.85381331487255,-240.85381331487255,-240.85381331487255,-240.85381331487255,-240.85381331487255,-240.85381331487255,-240.85381331487255,same-layout paired baseline,-240.85381331487255
measurement,scan_zipf_full_033.txt,average_latency_us,1,100.12,100.12,100.12,100.12,100.12,100.12,100.12,same-layout paired baseline,-38.67036011080332
measurement,scan_zipf_full_033.txt,average_improvement_percent,1,-38.67036011080332,-38.67036011080332,-38.67036011080332,-38.67036011080332,-38.67036011080332,-38.67036011080332,-38.67036011080332,same-layout paired baseline,-38.67036011080332
measurement,scan_zipf_full_033.txt,major_page_faults,1,264.0,264.0,264.0,264.0,264.0,264.0,264.0,,
measurement,scan_zipf_full_033.txt,minor_page_faults,1,109.0,109.0,109.0,109.0,109.0,109.0,109.0,,
measurement,scan_zipf_full_033.txt,resident_after_cold_pages,1,21.0,21.0,21.0,21.0,21.0,21.0,21.0,,
measurement,scan_zipf_full_033.txt,requested_selected_resident_ratio,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,
measurement,scan_zipf_full_033.txt,successful_selected_resident_ratio,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,
measurement,scan_zipf_full_036.txt,prefetch_elapsed_us,1,129.0,129.0,129.0,129.0,129.0,129.0,129.0,,
measurement,scan_zipf_full_036.txt,first_query_latency_us,1,221.82,221.82,221.82,221.82,221.82,221.82,221.82,same-layout paired baseline,45.084544351744114
