scope,measurement_file,metric,sample_count,mean,median,p25,p75,p99,min,max,comparison_basis,improvement_percent
measurement,scan_zipf_full_034.txt,prefetch_elapsed_us,1,4828.0,4828.0,4828.0,4828.0,4828.0,4828.0,4828.0,,
measurement,scan_zipf_full_034.txt,first_query_latency_us,1,245.94,245.94,245.94,245.94,245.94,245.94,245.94,same-layout paired baseline,44.58564282817358
measurement,scan_zipf_full_034.txt,first_query_improvement_percent,1,44.58564282817358,44.58564282817358,44.58564282817358,44.58564282817358,44.58564282817358,44.58564282817358,44.58564282817358,same-layout paired baseline,44.58564282817358
measurement,scan_zipf_full_034.txt,effective_first_query_latency_us,1,5073.94,5073.94,5073.94,5073.94,5073.94,5073.94,5073.94,same-layout paired baseline,-1043.2427560722817
measurement,scan_zipf_full_034.txt,effective_first_query_improvement_percent,1,-1043.2427560722817,-1043.2427560722817,-1043.2427560722817,-1043.2427560722817,-1043.2427560722817,-1043.2427560722817,-1043.2427560722817,same-layout paired baseline,-1043.2427560722817
measurement,scan_zipf_full_034.txt,average_latency_us,1,39.85,39.85,39.85,39.85,39.85,39.85,39.85,same-layout paired baseline,13.576230752548248
measurement,scan_zipf_full_034.txt,average_improvement_percent,1,13.576230752548248,13.576230752548248,13.576230752548248,13.576230752548248,13.576230752548248,13.576230752548248,13.576230752548248,same-layout paired baseline,13.576230752548248
measurement,scan_zipf_full_034.txt,major_page_faults,1,214.0,214.0,214.0,214.0,214.0,214.0,214.0,,
measurement,scan_zipf_full_034.txt,minor_page_faults,1,154.0,154.0,154.0,154.0,154.0,154.0,154.0,,
measurement,scan_zipf_full_034.txt,resident_after_cold_pages,1,105.0,105.0,105.0,105.0,105.0,105.0,105.0,,
measurement,scan_zipf_full_034.txt,requested_selected_resident_ratio,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,
measurement,scan_zipf_full_034.txt,successful_selected_resident_ratio,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,
measurement,scan_zipf_full_046.txt,prefetch_elapsed_us,1,35737.0,35737.0,35737.0,35737.0,35737.0,35737.0,35737.0,,
measurement,scan_zipf_full_046.txt,first_query_latency_us,1,275.14,275.14,275.14,275.14,275.14,275.14,275.14,same-layout paired baseline,35.83638441267695
measurement,scan_zipf_full_046.txt,first_query_improvement_percent,1,35.83638441267695,35.83638441267695,35.83638441267695,35.83638441267695,35.83638441267695,35.83638441267695,35.83638441267695,same-layout paired baseline,35.83638441267695
measurement,scan_zipf_full_046.txt,effective_first_query_latency_us,1,36012.14,36012.14,36012.14,36012.14,36012.14,36012.14,36012.14,same-layout paired baseline,-8298.157692218
measurement,scan_zipf_full_046.txt,effective_first_query_improvement_percent,1,-8298.157692218,-8298.157692218,-8298.157692218,-8298.157692218,-8298.157692218,-8298.157692218,-8298.157692218,same-layout paired baseline,-8298.157692218
measurement,scan_zipf_full_046.txt,average_latency_us,1,75.45,75.45,75.45,75.45,75.45,75.45,75.45,same-layout paired baseline,-53.16686967113278
measurement,scan_zipf_full_046.txt,average_improvement_percent,1,-53.16686967113278,-53.16686967113278,-53.16686967113278,-53.16686967113278,-53.16686967113278,-53.16686967113278,-53.16686967113278,same-layout paired baseline,-53.16686967113278
measurement,scan_zipf_full_046.txt,major_page_faults,1,239.0,239.0,239.0,239.0,239.0,239.0,239.0,,
measurement,scan_zipf_full_046.txt,minor_page_faults,1,138.0,138.0,138.0,138.0,138.0,138.0,138.0,,
measurement,scan_zipf_full_046.txt,resident_after_cold_pages,1,105.0,105.0,105.0,105.0,105.0,105.0,105.0,,
measurement,scan_zipf_full_046.txt,requested_selected_resident_ratio,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,
measurement,scan_zipf_full_046.txt,successful_selected_resident_ratio,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,
measurement,scan_zipf_full_027.txt,prefetch_elapsed_us,1,4792.0,4792.0,4792.0,4792.0,4792.0,4792.0,4792.0,,
measurement,scan_zipf_full_027.txt,first_query_latency_us,1,218.63,218.63,218.63,218.63,218.63,218.63,218.63,same-layout paired baseline,49.220764138892115
measurement,scan_zipf_full_027.txt,first_query_improvement_percent,1,49.220764138892115,49.220764138892115,49.220764138892115,49.220764138892115,49.220764138892115,49.220764138892115,49.220764138892115,same-layout paired baseline,49.220764138892115
measurement,scan_zipf_full_027.txt,effective_first_query_latency_us,1,5010.63,5010.63,5010.63,5010.63,5010.63,5010.63,5010.63,same-layout paired baseline,-1063.774242248287
measurement,scan_zipf_full_027.txt,effective_first_query_improvement_percent,1,-1063.774242248287,-1063.774242248287,-1063.774242248287,-1063.774242248287,-1063.774242248287,-1063.774242248287,-1063.774242248287,same-layout paired baseline,-1063.774242248287
measurement,scan_zipf_full_027.txt,average_latency_us,1,43.86,43.86,43.86,43.86,43.86,43.86,43.86,same-layout paired baseline,13.474057999605444
measurement,scan_zipf_full_027.txt,average_improvement_percent,1,13.474057999605444,13.474057999605444,13.474057999605444,13.474057999605444,13.474057999605444,13.474057999605444,13.474057999605444,same-layout paired baseline,13.474057999605444
measurement,scan_zipf_full_027.txt,major_page_faults,1,239.0,239.0,239.0,239.0,239.0,239.0,239.0,,
measurement,scan_zipf_full_027.txt,minor_page_faults,1,154.0,154.0,154.0,154.0,154.0,154.0,154.0,,
measurement,scan_zipf_full_027.txt,resident_after_cold_pages,1,105.0,105.0,105.0,105.0,105.0,105.0,105.0,,
measurement,scan_zipf_full_027.txt,requested_selected_resident_ratio,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,
measurement,scan_zipf_full_027.txt,successful_selected_resident_ratio,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,
measurement,scan_zipf_full_033.txt,prefetch_elapsed_us,1,4817.0,4817.0,4817.0,4817.0,4817.0,4817.0,4817.0,,
measurement,scan_zipf_full_033.txt,first_query_latency_us,1,266.76,266.76,266.76,266.76,266.76,266.76,266.76,same-layout paired baseline,38.44236760124611
measurement,scan_zipf_full_033.txt,first_query_improvement_percent,1,38.44236760124611,38.44236760124611,38.44236760124611,38.44236760124611,38.44236760124611,38.44236760124611,38.44236760124611,same-layout paired baseline,38.44236760124611
measurement,scan_zipf_full_033.txt,effective_first_query_latency_us,1,5083.76,5083.76,5083.76,5083.76,5083.76,5083.76,5083.76,same-layout paired baseline,-1073.1302642206067
measurement,scan_zipf_full_033.txt,effective_first_query_improvement_percent,1,-1073.1302642206067,-1073.1302642206067,-1073.1302642206067,-1073.1302642206067,-1073.1302642206067,-1073.1302642206067,-1073.1302642206067,same-layout paired baseline,-1073.1302642206067
measurement,scan_zipf_full_033.txt,average_latency_us,1,44.03,44.03,44.03,44.03,44.03,44.03,44.03,same-layout paired baseline,39.016620498614955
measurement,scan_zipf_full_033.txt,average_improvement_percent,1,39.016620498614955,39.016620498614955,39.016620498614955,39.016620498614955,39.016620498614955,39.016620498614955,39.016620498614955,same-layout paired baseline,39.016620498614955
measurement,scan_zipf_full_033.txt,major_page_faults,1,234.0,234.0,234.0,234.0,234.0,234.0,234.0,,
measurement,scan_zipf_full_033.txt,minor_page_faults,1,147.0,147.0,147.0,147.0,147.0,147.0,147.0,,
measurement,scan_zipf_full_033.txt,resident_after_cold_pages,1,105.0,105.0,105.0,105.0,105.0,105.0,105.0,,
measurement,scan_zipf_full_033.txt,requested_selected_resident_ratio,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,
measurement,scan_zipf_full_033.txt,successful_selected_resident_ratio,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,
measurement,scan_zipf_full_036.txt,prefetch_elapsed_us,1,4809.0,4809.0,4809.0,4809.0,4809.0,4809.0,4809.0,,
measurement,scan_zipf_full_036.txt,first_query_latency_us,1,234.12,234.12,234.12,234.12,234.12,234.12,234.12,same-layout paired baseline,42.03946228306884
measurement,scan_zipf_full_036.txt,first_query_improvement_percent,1,42.03946228306884,42.03946228306884,42.03946228306884,42.03946228306884,42.03946228306884,42.03946228306884,42.03946228306884,same-layout paired baseline,42.03946228306884
measurement,scan_zipf_full_036.txt,effective_first_query_latency_us,1,5043.12,5043.12,5043.12,5043.12,5043.12,5043.12,5043.12,same-layout paired baseline,-1148.513356274602
measurement,scan_zipf_full_036.txt,effective_first_query_improvement_percent,1,-1148.513356274602,-1148.513356274602,-1148.513356274602,-1148.513356274602,-1148.513356274602,-1148.513356274602,-1148.513356274602,same-layout paired baseline,-1148.513356274602
measurement,scan_zipf_full_036.txt,average_latency_us,1,41.87,41.87,41.87,41.87,41.87,41.87,41.87,same-layout paired baseline,10.092334120678554
measurement,scan_zipf_full_036.txt,average_improvement_percent,1,10.092334120678554,10.092334120678554,10.092334120678554,10.092334120678554,10.092334120678554,10.092334120678554,10.092334120678554,same-layout paired baseline,10.092334120678554
measurement,scan_zipf_full_036.txt,major_page_faults,1,220.0,220.0,220.0,220.0,220.0,220.0,220.0,,
measurement,scan_zipf_full_036.txt,minor_page_faults,1,152.0,152.0,152.0,152.0,152.0,152.0,152.0,,
measurement,scan_zipf_full_036.txt,resident_after_cold_pages,1,105.0,105.0,105.0,105.0,105.0,105.0,105.0,,
measurement,scan_zipf_full_036.txt,requested_selected_resident_ratio,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,
measurement,scan_zipf_full_036.txt,successful_selected_resident_ratio,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,
strategy,,prefetch_elapsed_us,5,10996.6,4817.0,4809.0,4828.0,35737.0,4792.0,35737.0,,
strategy,,first_query_latency_us,5,248.118,245.94,234.12,266.76,275.14,218.63,275.14,same-layout paired baseline,42.024924252811516
strategy,,first_query_improvement_percent,5,42.024924252811516,42.03946228306884,38.44236760124611,44.58564282817358,49.220764138892115,35.83638441267695,49.220764138892115,same-layout paired baseline,42.024924252811516
strategy,,effective_first_query_latency_us,5,11244.717999999999,5073.94,5043.12,5083.76,36012.14,5010.63,36012.14,same-layout paired baseline,-2525.3636622067556
strategy,,effective_first_query_improvement_percent,5,-2525.3636622067556,-1073.1302642206067,-1148.513356274602,-1063.774242248287,-1043.2427560722817,-8298.157692218,-1043.2427560722817,same-layout paired baseline,-2525.3636622067556
strategy,,average_latency_us,5,49.012,43.86,41.87,44.03,75.45,39.85,75.45,same-layout paired baseline,4.598474740062885
strategy,,average_improvement_percent,5,4.598474740062885,13.474057999605444,10.092334120678554,13.576230752548248,39.016620498614955,-53.16686967113278,39.016620498614955,same-layout paired baseline,4.598474740062885
