scope,measurement_file,metric,sample_count,mean,median,p25,p75,p99,min,max,comparison_basis,improvement_percent
measurement,scan_zipf_full_034.txt,prefetch_elapsed_us,1,289.0,289.0,289.0,289.0,289.0,289.0,289.0,,
measurement,scan_zipf_full_034.txt,first_query_latency_us,1,371.42,371.42,371.42,371.42,371.42,371.42,371.42,same-layout paired baseline,16.31291965211121
measurement,scan_zipf_full_034.txt,first_query_improvement_percent,1,16.31291965211121,16.31291965211121,16.31291965211121,16.31291965211121,16.31291965211121,16.31291965211121,16.31291965211121,same-layout paired baseline,16.31291965211121
measurement,scan_zipf_full_034.txt,effective_first_query_latency_us,1,660.4200000000001,660.4200000000001,660.4200000000001,660.4200000000001,660.4200000000001,660.4200000000001,660.4200000000001,same-layout paired baseline,-48.80356901446534
measurement,scan_zipf_full_034.txt,effective_first_query_improvement_percent,1,-48.80356901446534,-48.80356901446534,-48.80356901446534,-48.80356901446534,-48.80356901446534,-48.80356901446534,-48.80356901446534,same-layout paired baseline,-48.80356901446534
measurement,scan_zipf_full_034.txt,average_latency_us,1,44.42,44.42,44.42,44.42,44.42,44.42,44.42,same-layout paired baseline,3.665148557796569
measurement,scan_zipf_full_034.txt,average_improvement_percent,1,3.665148557796569,3.665148557796569,3.665148557796569,3.665148557796569,3.665148557796569,3.665148557796569,3.665148557796569,same-layout paired baseline,3.665148557796569
measurement,scan_zipf_full_034.txt,major_page_faults,1,241.0,241.0,241.0,241.0,241.0,241.0,241.0,,
measurement,scan_zipf_full_034.txt,minor_page_faults,1,118.0,118.0,118.0,118.0,118.0,118.0,118.0,,
measurement,scan_zipf_full_034.txt,resident_after_cold_pages,1,21.0,21.0,21.0,21.0,21.0,21.0,21.0,,
measurement,scan_zipf_full_034.txt,requested_selected_resident_ratio,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,
measurement,scan_zipf_full_034.txt,successful_selected_resident_ratio,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,
measurement,scan_zipf_full_046.txt,prefetch_elapsed_us,1,132.0,132.0,132.0,132.0,132.0,132.0,132.0,,
