strategy_key,metric,sample_count,mean,median,p25,p75,p99,min,max,baseline_mean,improvement_percent
baseline,first_query_latency_us,5,428.092,430.55,428.81,433.35,443.82,403.93,443.82,428.092,0.0
baseline,first_query_improvement_percent,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,428.092,0.0
baseline,effective_first_query_latency_us,5,428.092,430.55,428.81,433.35,443.82,403.93,443.82,428.092,0.0
baseline,effective_first_query_improvement_percent,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,428.092,0.0
baseline,average_latency_us,5,52.965999999999994,49.26,46.57,50.69,72.2,46.11,72.2,52.965999999999994,0.0
baseline,average_improvement_percent,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.965999999999994,0.0
baseline,major_page_faults,5,262.4,264.0,252.0,274.0,281.0,241.0,281.0,262.4,
baseline,minor_page_faults,5,107.0,107.0,102.0,110.0,118.0,98.0,118.0,107.0,
baseline,resident_after_cold_pages,5,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,
range_interior,prefetch_elapsed_us,5,10996.6,4817.0,4809.0,4828.0,35737.0,4792.0,35737.0,,
range_interior,first_query_latency_us,5,248.118,245.94,234.12,266.76,275.14,218.63,275.14,428.092,42.024924252811516
range_interior,first_query_improvement_percent,5,42.024924252811516,42.03946228306884,38.44236760124611,44.58564282817358,49.220764138892115,35.83638441267695,49.220764138892115,428.092,42.024924252811516
range_interior,effective_first_query_latency_us,5,11244.717999999999,5073.94,5043.12,5083.76,36012.14,5010.63,36012.14,428.092,-2525.3636622067556
range_interior,effective_first_query_improvement_percent,5,-2525.3636622067556,-1073.1302642206067,-1148.513356274602,-1063.774242248287,-1043.2427560722817,-8298.157692218,-1043.2427560722817,428.092,-2525.3636622067556
range_interior,average_latency_us,5,49.012,43.86,41.87,44.03,75.45,39.85,75.45,52.965999999999994,4.598474740062885
range_interior,average_improvement_percent,5,4.598474740062885,13.474057999605444,10.092334120678554,13.576230752548248,39.016620498614955,-53.16686967113278,39.016620498614955,52.965999999999994,4.598474740062885
range_interior,major_page_faults,5,229.2,234.0,220.0,239.0,239.0,214.0,239.0,262.4,
range_interior,minor_page_faults,5,149.0,152.0,147.0,154.0,154.0,138.0,154.0,107.0,
range_interior,resident_after_cold_pages,5,105.0,105.0,105.0,105.0,105.0,105.0,105.0,16.0,
range_interior,requested_selected_resident_ratio,5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,
range_interior,successful_selected_resident_ratio,5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,
offset_topk_interior_n5,prefetch_elapsed_us,5,256.6,129.0,129.0,315.0,581.0,129.0,581.0,,
offset_topk_interior_n5,first_query_latency_us,5,446.14799999999997,368.45,367.59,376.79,896.09,221.82,896.09,428.092,-3.5918202894078677
offset_topk_interior_n5,first_query_improvement_percent,5,-3.5918202894078677,14.076164268557173,12.486354662640805,17.175882114370694,45.084544351744114,-106.78204684435212,45.084544351744114,428.092,-3.5918202894078677
offset_topk_interior_n5,effective_first_query_latency_us,5,702.748,505.79,497.45,682.5899999999999,1477.0900000000001,350.82,1477.0900000000001,428.092,-62.99734891053407
offset_topk_interior_n5,effective_first_query_improvement_percent,5,-62.99734891053407,-17.47532226222274,-53.79883736649992,-16.007089386907953,13.148317777832796,-240.85381331487255,13.148317777832796,428.092,-62.99734891053407
offset_topk_interior_n5,average_latency_us,5,58.44199999999999,49.67,46.3,50.73,100.12,45.39,100.12,52.965999999999994,-7.488066730945505
offset_topk_interior_n5,average_improvement_percent,5,-7.488066730945505,-0.07891102781613563,-0.8323183110028496,0.5797723856560084,1.5614834092387744,-38.67036011080332,1.5614834092387744,52.965999999999994,-7.488066730945505
offset_topk_interior_n5,major_page_faults,5,262.4,264.0,252.0,274.0,281.0,241.0,281.0,262.4,
offset_topk_interior_n5,minor_page_faults,5,108.8,109.0,104.0,111.0,119.0,101.0,119.0,107.0,
offset_topk_interior_n5,resident_after_cold_pages,5,21.0,21.0,21.0,21.0,21.0,21.0,21.0,16.0,
