scope,measurement_file,metric,sample_count,mean,median,p25,p75,p99,min,max,comparison_basis,improvement_percent
measurement,scan_zipf_full_034.txt,first_query_latency_us,1,443.82,443.82,443.82,443.82,443.82,443.82,443.82,,
measurement,scan_zipf_full_034.txt,effective_first_query_latency_us,1,443.82,443.82,443.82,443.82,443.82,443.82,443.82,,
measurement,scan_zipf_full_034.txt,average_latency_us,1,46.11,46.11,46.11,46.11,46.11,46.11,46.11,,
measurement,scan_zipf_full_034.txt,major_page_faults,1,241.0,241.0,241.0,241.0,241.0,241.0,241.0,,
measurement,scan_zipf_full_034.txt,minor_page_faults,1,118.0,118.0,118.0,118.0,118.0,118.0,118.0,,
measurement,scan_zipf_full_034.txt,resident_after_cold_pages,1,16.0,16.0,16.0,16.0,16.0,16.0,16.0,,
measurement,scan_zipf_full_046.txt,first_query_latency_us,1,428.81,428.81,428.81,428.81,428.81,428.81,428.81,,
measurement,scan_zipf_full_046.txt,effective_first_query_latency_us,1,428.81,428.81,428.81,428.81,428.81,428.81,428.81,,
measurement,scan_zipf_full_046.txt,average_latency_us,1,49.26,49.26,49.26,49.26,49.26,49.26,49.26,,
measurement,scan_zipf_full_046.txt,major_page_faults,1,274.0,274.0,274.0,274.0,274.0,274.0,274.0,,
measurement,scan_zipf_full_046.txt,minor_page_faults,1,102.0,102.0,102.0,102.0,102.0,102.0,102.0,,
measurement,scan_zipf_full_046.txt,resident_after_cold_pages,1,16.0,16.0,16.0,16.0,16.0,16.0,16.0,,
measurement,scan_zipf_full_027.txt,first_query_latency_us,1,430.55,430.55,430.55,430.55,430.55,430.55,430.55,,
measurement,scan_zipf_full_027.txt,effective_first_query_latency_us,1,430.55,430.55,430.55,430.55,430.55,430.55,430.55,,
measurement,scan_zipf_full_027.txt,average_latency_us,1,50.69,50.69,50.69,50.69,50.69,50.69,50.69,,
measurement,scan_zipf_full_027.txt,major_page_faults,1,281.0,281.0,281.0,281.0,281.0,281.0,281.0,,
measurement,scan_zipf_full_027.txt,minor_page_faults,1,98.0,98.0,98.0,98.0,98.0,98.0,98.0,,
measurement,scan_zipf_full_027.txt,resident_after_cold_pages,1,16.0,16.0,16.0,16.0,16.0,16.0,16.0,,
measurement,scan_zipf_full_033.txt,first_query_latency_us,1,433.35,433.35,433.35,433.35,433.35,433.35,433.35,,
measurement,scan_zipf_full_033.txt,effective_first_query_latency_us,1,433.35,433.35,433.35,433.35,433.35,433.35,433.35,,
measurement,scan_zipf_full_033.txt,average_latency_us,1,72.2,72.2,72.2,72.2,72.2,72.2,72.2,,
measurement,scan_zipf_full_033.txt,major_page_faults,1,264.0,264.0,264.0,264.0,264.0,264.0,264.0,,
measurement,scan_zipf_full_033.txt,minor_page_faults,1,107.0,107.0,107.0,107.0,107.0,107.0,107.0,,
measurement,scan_zipf_full_033.txt,resident_after_cold_pages,1,16.0,16.0,16.0,16.0,16.0,16.0,16.0,,
measurement,scan_zipf_full_036.txt,first_query_latency_us,1,403.93,403.93,403.93,403.93,403.93,403.93,403.93,,
measurement,scan_zipf_full_036.txt,effective_first_query_latency_us,1,403.93,403.93,403.93,403.93,403.93,403.93,403.93,,
measurement,scan_zipf_full_036.txt,average_latency_us,1,46.57,46.57,46.57,46.57,46.57,46.57,46.57,,
measurement,scan_zipf_full_036.txt,major_page_faults,1,252.0,252.0,252.0,252.0,252.0,252.0,252.0,,
measurement,scan_zipf_full_036.txt,minor_page_faults,1,110.0,110.0,110.0,110.0,110.0,110.0,110.0,,
measurement,scan_zipf_full_036.txt,resident_after_cold_pages,1,16.0,16.0,16.0,16.0,16.0,16.0,16.0,,
strategy,,first_query_latency_us,5,428.092,430.55,428.81,433.35,443.82,403.93,443.82,,
strategy,,effective_first_query_latency_us,5,428.092,430.55,428.81,433.35,443.82,403.93,443.82,,
strategy,,average_latency_us,5,52.965999999999994,49.26,46.57,50.69,72.2,46.11,72.2,,
strategy,,major_page_faults,5,262.4,264.0,252.0,274.0,281.0,241.0,281.0,,
strategy,,minor_page_faults,5,107.0,107.0,102.0,110.0,118.0,98.0,118.0,,
strategy,,resident_after_cold_pages,5,16.0,16.0,16.0,16.0,16.0,16.0,16.0,,
