op_no,op_type,target_id,rows_returned,bytes_returned,elapsed_ns,majflt_delta,minflt_delta
1,read,38,1,100,21761,0,7
2,read,1062,1,100,186160,1,0
3,read,3,1,100,2164,0,0
4,read,212801,1,100,168457,1,1
5,read,1,1,100,1703,0,0
6,read,8,1,100,1553,0,0
7,read,21,1,100,1663,0,0
8,read,314623,1,100,178595,1,1
9,read,7505,1,100,174748,1,0
10,read,376,1,100,150152,1,0
11,read,3,1,100,1653,0,0
12,read,383,1,100,1964,0,0
13,read,249250,1,100,180128,1,1
14,read,2736,1,100,171873,1,0
15,read,11,1,100,1673,0,0
16,read,5327,1,100,177413,1,0
17,read,84,1,100,1813,0,0
18,read,383,1,100,1663,0,0
19,read,3,1,100,1603,0,0
20,read,15,1,100,1934,0,0
21,read,2,1,100,1583,0,0
22,read,5,1,100,1593,0,0
23,read,595,1,100,2074,0,0
24,read,416695,1,100,177153,1,1
25,read,5305,1,100,1784,0,0
26,read,8,1,100,1563,0,0
27,read,1,1,100,1573,0,0
28,read,225529,1,100,165822,1,1
29,read,139137,1,100,174327,1,1
30,read,382,1,100,1713,0,0
31,read,445,1,100,2194,0,0
32,read,532,1,100,2034,0,0
33,read,7,1,100,1573,0,0
34,read,146818,1,100,185359,1,1
35,read,228,1,100,1833,0,0
36,read,552,1,100,2044,0,0
37,read,4769,1,100,161444,1,0
38,read,4,1,100,1633,0,0
39,read,3,1,100,1572,0,0
40,read,288495,1,100,173166,1,1
41,read,294552,1,100,166462,1,1
42,read,326792,1,100,181201,1,1
43,read,1132,1,100,2184,0,0
44,read,28,1,100,1644,0,0
45,read,12,1,100,1573,0,0
46,read,7797,1,100,1804,0,0
47,read,1271,1,100,2415,0,0
48,read,4638,1,100,2224,0,0
49,read,114,1,100,1933,0,0
50,read,10877,1,100,170981,1,0
51,read,21,1,100,1653,0,0
52,read,1215,1,100,13476,0,1
53,read,1298,1,100,2034,0,0
54,read,1,1,100,1573,0,0
55,read,37963,1,100,161433,1,1
56,read,85,1,100,1833,0,0
57,read,486,1,100,2134,0,0
58,read,290650,1,100,173125,1,0
59,read,1,1,100,1633,0,0
60,read,1,1,100,1573,0,0
61,read,2133,1,100,2775,0,1
62,read,1416,1,100,1944,0,0
63,read,443844,1,100,177704,1,1
64,read,671,1,100,2254,0,0
65,read,33661,1,100,173126,1,0
66,read,328,1,100,1944,0,0
67,read,7088,1,100,164179,1,0
68,read,14,1,100,1663,0,0
69,read,399231,1,100,168487,1,1
70,read,343093,1,100,178866,1,1
71,read,17988,1,100,167765,1,0
72,read,98,1,100,1934,0,0
73,read,3,1,100,1603,0,0
74,read,482660,1,100,221777,1,1
75,read,1047,1,100,17432,0,1
76,read,1072,1,100,2564,0,0
77,read,23048,1,100,177002,1,0
78,read,43,1,100,2064,0,0
79,read,5,1,100,2034,0,0
80,read,1256,1,100,1843,0,0
81,read,1,1,100,1553,0,0
82,read,23,1,100,1694,0,0
83,read,482,1,100,2164,0,0
84,read,35808,1,100,170220,1,0
85,read,8135,1,100,163287,1,0
86,read,58965,1,100,178194,1,1
87,read,2,1,100,1633,0,0
88,read,2975,1,100,3857,0,1
89,read,5,1,100,1523,0,0
90,read,109964,1,100,178595,1,1
91,read,8,1,100,1613,0,0
92,read,2,1,100,1503,0,0
93,read,115,1,100,2074,0,0
94,read,10,1,100,1573,0,0
95,read,28,1,100,1563,0,0
96,read,1378,1,100,2034,0,0
97,read,55,1,100,1643,0,0
98,read,7601,1,100,2034,0,0
99,read,8,1,100,1503,0,0
100,read,7937,1,100,1894,0,0
101,read,28,1,100,1473,0,0
102,read,384,1,100,1894,0,0
103,read,38056,1,100,2034,0,0
104,read,193,1,100,2004,0,0
105,read,431993,1,100,169058,1,1
106,read,1427,1,100,4438,0,1
107,read,2798,1,100,1884,0,0
108,read,8026,1,100,2195,0,0
109,read,583,1,100,3667,0,1
110,read,5070,1,100,4348,0,1
111,read,4,1,100,1533,0,0
112,read,37,1,100,1724,0,0
113,read,34,1,100,1593,0,0
114,read,43577,1,100,169809,1,1
115,read,119,1,100,1733,0,0
116,read,349,1,100,1844,0,0
117,read,7364,1,100,3978,0,1
118,read,68330,1,100,169558,1,1
119,read,1,1,100,1563,0,0
120,read,2,1,100,1503,0,0
121,read,3,1,100,1502,0,0
122,read,8116,1,100,2034,0,0
123,read,281645,1,100,173426,1,0
124,read,8,1,100,1583,0,0
125,read,84,1,100,1924,0,0
126,read,112,1,100,1663,0,0
127,read,1,1,100,1492,0,0
128,read,57,1,100,1603,0,0
129,read,24,1,100,1473,0,0
130,read,92540,1,100,175790,1,1
131,read,166,1,100,2054,0,0
132,read,46,1,100,1644,0,0
133,read,1,1,100,1483,0,0
134,read,310926,1,100,171152,1,1
135,read,3,1,100,1563,0,0
136,read,1811,1,100,1964,0,0
137,read,1,1,100,1482,0,0
138,read,596259,1,100,167325,1,1
139,read,64,1,100,1813,0,0
140,read,131,1,100,1883,0,0
141,read,1,1,100,1463,0,0
142,read,1,1,100,1513,0,0
143,read,30746,1,100,181962,1,0
144,read,189,1,100,1623,0,0
145,read,99917,1,100,165852,1,1
146,read,2,1,100,1583,0,0
147,read,78185,1,100,186160,1,1
148,read,4,1,100,1553,0,0
149,read,69,1,100,1673,0,0
150,read,198708,1,100,173606,1,1
151,read,410432,1,100,171963,1,0
152,read,34440,1,100,171953,1,0
153,read,223643,1,100,181892,1,0
154,read,1,1,100,1563,0,0
155,read,1227,1,100,2264,0,0
156,read,3,1,100,1533,0,0
157,read,69200,1,100,171372,1,0
158,read,16,1,100,1593,0,0
159,read,176,1,100,2023,0,0
160,read,12,1,100,1593,0,0
161,read,132300,1,100,188264,1,1
162,read,1,1,100,1573,0,0
163,read,2,1,100,1483,0,0
164,read,270,1,100,1873,0,0
165,read,4,1,100,1483,0,0
166,read,13,1,100,1613,0,0
167,read,1,1,100,1493,0,0
168,read,17,1,100,1553,0,0
169,read,53,1,100,1733,0,0
170,read,6177,1,100,172123,1,0
171,read,1,1,100,1563,0,0
172,read,113647,1,100,161724,1,0
173,read,4,1,100,1543,0,0
174,read,1122,1,100,1884,0,0
175,read,45,1,100,1483,0,0
176,read,8732,1,100,162636,1,0
177,read,99179,1,100,175499,1,0
178,read,12163,1,100,173466,1,0
179,read,177,1,100,1633,0,0
180,read,20204,1,100,168226,1,0
181,read,256,1,100,1743,0,0
182,read,1,1,100,1472,0,0
183,read,466,1,100,1774,0,0
184,read,8,1,100,1503,0,0
185,read,4,1,100,1463,0,0
186,read,125255,1,100,167175,1,0
187,read,92651,1,100,2875,0,1
188,read,1,1,100,1533,0,0
