op_no,op_type,target_id,rows_returned,bytes_returned,elapsed_ns,majflt_delta,minflt_delta
1,read,75289,1,100,184216,1,7
2,read,24,1,100,3697,0,1
3,read,43616,1,100,179317,1,1
4,read,4,1,100,1773,0,0
5,read,1,1,100,1603,0,0
6,read,798,1,100,171532,1,0
7,read,405,1,100,2655,0,1
8,read,3687,1,100,183034,1,0
9,read,16,1,100,1614,0,0
10,read,375,1,100,118333,1,0
11,read,5734,1,100,173786,1,0
12,read,1,1,100,1623,0,0
13,read,5,1,100,1563,0,0
14,read,14,1,100,1573,0,0
15,read,114269,1,100,178746,1,1
16,read,483871,1,100,188444,1,1
17,read,3,1,100,1653,0,0
18,read,1751,1,100,176782,1,0
19,read,242525,1,100,178235,1,1
20,read,602,1,100,2324,0,0
21,read,1,1,100,1553,0,0
22,read,394,1,100,1683,0,0
23,read,6532,1,100,174668,1,0
24,read,1,1,100,1653,0,0
25,read,137,1,100,1653,0,0
26,read,195,1,100,1643,0,0
27,read,350,1,100,1893,0,0
28,read,1763,1,100,2034,0,0
29,read,368,1,100,1643,0,0
30,read,9,1,100,1583,0,0
31,read,41,1,100,1613,0,0
32,read,6,1,100,1533,0,0
33,read,4,1,100,1493,0,0
34,read,133153,1,100,191791,1,1
35,read,18,1,100,1633,0,0
36,read,335,1,100,2034,0,0
37,read,2,1,100,1563,0,0
38,read,191705,1,100,176051,1,1
39,read,207764,1,100,177774,1,1
40,read,62412,1,100,173606,1,1
41,read,6470,1,100,2294,0,0
42,read,3011,1,100,174498,1,0
43,read,5,1,100,1593,0,0
44,read,582,1,100,1844,0,0
45,read,2849,1,100,2665,0,1
46,read,687,1,100,2103,0,0
47,read,2,1,100,1513,0,0
48,read,6,1,100,1513,0,0
49,read,5,1,100,1522,0,0
50,read,43,1,100,1513,0,0
51,read,86114,1,100,173115,1,1
52,read,3,1,100,1583,0,0
53,read,1,1,100,1513,0,0
54,read,23,1,100,1543,0,0
55,read,39,1,100,1553,0,0
56,read,1057,1,100,2595,0,1
57,read,3,1,100,1523,0,0
58,read,61128,1,100,174739,1,1
59,read,1,1,100,1593,0,0
60,read,2,1,100,1523,0,0
61,read,537,1,100,1824,0,0
62,read,5963,1,100,2295,0,0
63,read,2368,1,100,168046,1,0
64,read,3112,1,100,1904,0,0
65,read,285238,1,100,177994,1,1
66,read,758,1,100,2004,0,0
67,read,349,1,100,1542,0,0
68,read,81,1,100,1553,0,0
69,read,7,1,100,1533,0,0
70,read,10872,1,100,179166,1,0
71,read,21340,1,100,171533,1,0
72,read,10608,1,100,2024,0,0
73,read,18,1,100,1593,0,0
74,read,238,1,100,1583,0,0
75,read,4,1,100,1492,0,0
76,read,290228,1,100,187382,1,1
77,read,1,1,100,1583,0,0
78,read,3823,1,100,2775,0,1
79,read,8369,1,100,176462,1,0
80,read,245,1,100,1613,0,0
81,read,7,1,100,1523,0,0
82,read,82889,1,100,174147,1,0
83,read,1,1,100,1573,0,0
84,read,3,1,100,1533,0,0
85,read,102,1,100,1573,0,0
86,read,90136,1,100,175300,1,0
87,read,12,1,100,1613,0,0
88,read,25,1,100,1552,0,0
89,read,1621,1,100,2164,0,0
90,read,4045,1,100,1924,0,0
91,read,9,1,100,1522,0,0
92,read,15,1,100,1543,0,0
93,read,13993,1,100,195227,1,0
94,read,22356,1,100,173165,1,0
95,read,14,1,100,1603,0,0
96,read,421264,1,100,178365,1,1
97,read,167,1,100,1643,0,0
98,read,9,1,100,1533,0,0
99,read,88220,1,100,177684,1,0
100,read,1,1,100,1613,0,0
101,read,53344,1,100,174638,1,0
102,read,137,1,100,1673,0,0
103,read,1,1,100,1523,0,0
104,read,1476,1,100,2264,0,0
105,read,69018,1,100,167024,1,0
106,read,26646,1,100,168456,1,1
107,read,23,1,100,1623,0,0
108,read,1,1,100,1553,0,0
109,read,367,1,100,1613,0,0
110,read,179311,1,100,177914,1,1
111,read,248,1,100,1723,0,0
112,read,733,1,100,1933,0,0
113,read,202,1,100,1643,0,0
114,read,502378,1,100,192923,1,1
115,read,22,1,100,1603,0,0
116,read,990,1,100,11813,0,1
117,read,5434,1,100,2855,0,1
118,read,5981,1,100,1733,0,0
119,read,31,1,100,1573,0,0
120,read,6729,1,100,2424,0,1
121,read,49,1,100,1513,0,0
122,read,838,1,100,2114,0,0
123,read,138,1,100,1533,0,0
124,read,246,1,100,1583,0,0
125,read,1,1,100,1523,0,0
126,read,1,1,100,1523,0,0
