op_no,op_type,target_id,rows_returned,bytes_returned,elapsed_ns,majflt_delta,minflt_delta
1,read,88,1,100,44995,0,8
2,read,12558,1,100,196109,1,0
3,read,73,1,100,6883,0,0
4,read,446,1,100,165682,1,0
5,read,129,1,100,3927,0,0
6,read,1,1,100,3536,0,0
7,read,192,1,100,3517,0,0
8,read,4,1,100,3166,0,0
9,read,26,1,100,3516,0,0
10,read,7,1,100,3266,0,0
11,read,105,1,100,3366,0,0
12,read,6329,1,100,180009,1,0
13,read,378,1,100,3637,0,0
14,read,480417,1,100,357893,2,0
15,read,5,1,100,3487,0,0
16,read,14871,1,100,177935,1,0
17,read,3,1,100,3277,0,0
18,read,124991,1,100,357612,2,0
19,read,48036,1,100,328227,2,0
20,read,11,1,100,2024,0,0
21,read,1484,1,100,174327,1,0
22,read,5,1,100,1693,0,0
23,read,74649,1,100,338096,2,0
24,read,2928,1,100,165752,1,0
25,read,42,1,100,1903,0,0
26,read,72,1,100,1633,0,0
27,read,3,1,100,1593,0,0
28,read,226,1,100,1963,0,0
29,read,244092,1,100,327265,2,0
30,read,2,1,100,1643,0,0
31,read,1,1,100,1553,0,0
32,read,23,1,100,1823,0,0
33,read,14038,1,100,161814,1,0
34,read,164798,1,100,331914,2,0
35,read,20,1,100,1703,0,0
36,read,165855,1,100,166533,1,0
37,read,11,1,100,1623,0,0
38,read,346820,1,100,323318,2,0
39,read,25583,1,100,163687,1,0
40,read,2434,1,100,159019,1,0
41,read,2,1,100,1663,0,0
42,read,588848,1,100,339288,2,0
43,read,611,1,100,2234,0,0
44,read,41,1,100,1683,0,0
45,read,63259,1,100,336211,2,0
46,read,522778,1,100,329410,2,0
47,read,80464,1,100,165461,1,0
48,read,3,1,100,1643,0,0
49,read,70779,1,100,163978,1,0
50,read,53,1,100,1813,0,0
51,read,221,1,100,1673,0,0
52,read,553,1,100,2034,0,0
53,read,637,1,100,10320,0,1
54,read,6653,1,100,2885,0,1
55,read,28,1,100,1633,0,0
56,read,19306,1,100,173606,1,0
57,read,269912,1,100,175199,1,0
58,read,642,1,100,1723,0,0
59,read,162,1,100,1894,0,0
60,read,209,1,100,1734,0,0
61,read,14414,1,100,62156,1,0
62,read,9,1,100,1774,0,0
63,read,539220,1,100,332285,2,0
64,read,19,1,100,1753,0,0
65,read,11,1,100,1593,0,0
66,read,1363,1,100,3366,0,1
67,read,725,1,100,2795,0,1
68,read,64350,1,100,168747,1,0
69,read,38,1,100,1853,0,0
70,read,25,1,100,1804,0,0
71,read,1,1,100,1573,0,0
72,read,482,1,100,2134,0,0
73,read,2,1,100,1593,0,0
74,read,38,1,100,1553,0,0
75,read,8,1,100,1634,0,0
76,read,62,1,100,1664,0,0
77,read,238,1,100,1844,0,0
78,read,12,1,100,1743,0,0
79,read,466,1,100,1873,0,0
80,read,60,1,100,1693,0,0
81,read,98011,1,100,323157,2,0
82,read,15680,1,100,165632,1,0
83,read,11,1,100,1654,0,0
84,read,24,1,100,1593,0,0
85,read,177848,1,100,327355,2,0
86,read,567,1,100,2194,0,0
87,read,272,1,100,1934,0,0
88,read,2347,1,100,1883,0,0
89,read,7806,1,100,161203,1,0
90,read,1,1,100,1723,0,0
91,read,6664,1,100,1833,0,0
92,read,110177,1,100,326524,2,0
93,read,1992,1,100,126407,1,0
94,read,152,1,100,2074,0,0
95,read,3914,1,100,171111,1,0
96,read,7279,1,100,154360,1,0
97,read,96,1,100,2044,0,0
98,read,229104,1,100,333186,2,0
99,read,18,1,100,1683,0,0
100,read,365067,1,100,319881,2,0
101,read,196,1,100,1914,0,0
102,read,4,1,100,1613,0,0
103,read,1,1,100,1583,0,0
104,read,12521,1,100,1864,0,0
105,read,528285,1,100,169249,1,0
106,read,4,1,100,1654,0,0
107,read,1150,1,100,2265,0,0
108,read,133155,1,100,170671,1,0
109,read,1,1,100,1613,0,0
110,read,349,1,100,1903,0,0
111,read,1,1,100,1553,0,0
112,read,3,1,100,1583,0,0
113,read,93181,1,100,331032,2,0
114,read,6987,1,100,2715,0,1
115,read,23814,1,100,166523,1,0
116,read,307,1,100,1993,0,0
117,read,270,1,100,1663,0,0
118,read,183,1,100,1733,0,0
119,read,298457,1,100,329830,2,0
120,read,38941,1,100,195127,1,0
121,read,8063,1,100,14898,0,1
122,read,98971,1,100,211999,1,0
123,read,14051,1,100,6472,0,0
124,read,12,1,100,3647,0,0
125,read,3265,1,100,4008,0,0
126,read,386,1,100,3657,0,0
127,read,148,1,100,3386,0,0
