op_no,op_type,target_id,rows_returned,bytes_returned,elapsed_ns,majflt_delta,minflt_delta
1,read,1,1,100,18996,0,7
2,read,152266,1,100,173476,1,1
3,read,4052,1,100,162456,1,0
4,read,202429,1,100,170981,1,1
5,read,17082,1,100,171682,1,0
6,read,15,1,100,1854,0,0
7,read,1189,1,100,165431,1,0
8,read,64,1,100,1834,0,0
9,read,1798,1,100,172334,1,0
10,read,58569,1,100,170380,1,1
11,read,14889,1,100,174578,1,0
12,read,126,1,100,1753,0,0
13,read,45911,1,100,164709,1,1
14,read,171770,1,100,170661,1,1
15,read,82,1,100,1713,0,0
16,read,18,1,100,1633,0,0
17,read,20701,1,100,160722,1,0
18,read,24,1,100,1633,0,0
19,read,23287,1,100,191710,1,0
20,read,34546,1,100,167345,1,1
21,read,6538,1,100,169749,1,0
22,read,1,1,100,1694,0,0
23,read,37769,1,100,163448,1,0
24,read,5325,1,100,161414,1,0
25,read,387,1,100,147487,1,0
26,read,2438,1,100,156614,1,0
27,read,49,1,100,1713,0,0
28,read,3134,1,100,162626,1,0
29,read,2,1,100,1663,0,0
30,read,3,1,100,1573,0,0
31,read,20281,1,100,155462,1,0
32,read,19360,1,100,169178,1,0
33,read,4,1,100,1623,0,0
34,read,265974,1,100,169468,1,1
35,read,341,1,100,2435,0,0
36,read,6317,1,100,2545,0,1
37,read,944,1,100,2895,0,1
38,read,31,1,100,1663,0,0
39,read,248225,1,100,177303,1,1
40,read,21031,1,100,2154,0,0
41,read,31,1,100,1563,0,0
42,read,17,1,100,1583,0,0
43,read,1,1,100,1593,0,0
44,read,1,1,100,1533,0,0
45,read,1,1,100,1523,0,0
46,read,9,1,100,1573,0,0
47,read,7,1,100,1553,0,0
48,read,135340,1,100,169358,1,1
49,read,12456,1,100,173747,1,0
50,read,1458,1,100,2113,0,0
51,read,602,1,100,2114,0,0
52,read,525,1,100,2044,0,0
53,read,1,1,100,1553,0,0
54,read,30,1,100,1593,0,0
55,read,238126,1,100,173506,1,1
56,read,2,1,100,1623,0,0
57,read,2,1,100,1573,0,0
58,read,111,1,100,1593,0,0
59,read,111078,1,100,174548,1,1
60,read,54,1,100,1664,0,0
61,read,251056,1,100,161674,1,0
62,read,29,1,100,1623,0,0
63,read,1216,1,100,2244,0,0
64,read,345,1,100,2184,0,0
65,read,1949,1,100,2975,0,1
66,read,1,1,100,1553,0,0
67,read,361074,1,100,179708,1,1
68,read,35,1,100,1634,0,0
69,read,122,1,100,1583,0,0
70,read,358194,1,100,169338,1,1
71,read,1918,1,100,2114,0,0
72,read,1,1,100,1553,0,0
73,read,104,1,100,1663,0,0
74,read,216,1,100,1593,0,0
75,read,1,1,100,1543,0,0
76,read,66971,1,100,142217,1,1
77,read,5,1,100,1663,0,0
78,read,164248,1,100,164189,1,1
79,read,26,1,100,1623,0,0
80,read,1,1,100,1543,0,0
81,read,18,1,100,1563,0,0
82,read,120090,1,100,168316,1,0
83,read,3788,1,100,2024,0,0
84,read,6,1,100,1552,0,0
85,read,2,1,100,1563,0,0
86,read,174,1,100,1633,0,0
87,read,1772,1,100,1813,0,0
88,read,184,1,100,1693,0,0
89,read,1,1,100,1503,0,0
90,read,9347,1,100,164278,1,0
91,read,1,1,100,1593,0,0
92,read,2,1,100,1573,0,0
93,read,168489,1,100,175380,1,0
94,read,26619,1,100,167165,1,0
95,read,300276,1,100,184748,1,1
96,read,76,1,100,1714,0,0
97,read,493595,1,100,162887,1,1
98,read,8,1,100,1643,0,0
99,read,15,1,100,1573,0,0
100,read,1,1,100,1543,0,0
101,read,5,1,100,1553,0,0
102,read,2576,1,100,3036,0,1
103,read,278572,1,100,187613,1,1
104,read,5,1,100,1613,0,0
105,read,1,1,100,1533,0,0
106,read,28353,1,100,163968,1,0
107,read,207949,1,100,213331,1,1
108,read,1,1,100,1623,0,0
109,read,183760,1,100,170180,1,1
110,read,86270,1,100,165651,1,1
111,read,37,1,100,1653,0,0
112,read,461,1,100,2014,0,0
113,read,220,1,100,1623,0,0
114,read,2427,1,100,1713,0,0
115,read,1175,1,100,1923,0,0
116,read,3713,1,100,2716,0,1
117,read,34633,1,100,2174,0,0
118,read,278,1,100,2144,0,0
119,read,13199,1,100,166663,1,0
120,read,1481,1,100,1743,0,0
121,read,1676,1,100,1884,0,0
122,read,1,1,100,1533,0,0
123,read,12,1,100,1563,0,0
124,read,273267,1,100,170721,1,0
125,read,3712,1,100,1893,0,0
126,read,44396,1,100,160933,1,0
127,read,2654,1,100,2134,0,0
128,read,4196,1,100,2805,0,1
129,read,15,1,100,1543,0,0
130,read,7,1,100,1563,0,0
131,read,5,1,100,1522,0,0
132,read,165,1,100,1643,0,0
133,read,31049,1,100,169629,1,0
134,read,29,1,100,1663,0,0
135,read,1,1,100,1533,0,0
136,read,398492,1,100,169820,1,1
137,read,68168,1,100,169299,1,0
138,read,7878,1,100,170581,1,0
139,read,1,1,100,1603,0,0
140,read,1,1,100,1553,0,0
141,read,26,1,100,1553,0,0
142,read,927,1,100,1964,0,0
143,read,65817,1,100,166072,1,0
144,read,67513,1,100,149852,1,0
145,read,31,1,100,1613,0,0
146,read,71,1,100,1623,0,0
147,read,64750,1,100,161504,1,0
148,read,2,1,100,1623,0,0
149,read,63,1,100,1563,0,0
150,read,149180,1,100,166293,1,0
151,read,11746,1,100,160321,1,0
152,read,1,1,100,1643,0,0
153,read,1,1,100,1523,0,0
154,read,187,1,100,1774,0,0
155,read,2044,1,100,1893,0,0
156,read,3,1,100,1563,0,0
157,read,29,1,100,1512,0,0
158,read,1051,1,100,1804,0,0
159,read,2135,1,100,1904,0,0
160,read,13,1,100,1563,0,0
161,read,1471,1,100,1613,0,0
162,read,419188,1,100,165912,1,1
163,read,482,1,100,1924,0,0
164,read,576,1,100,6443,0,1
165,read,688,1,100,2114,0,0
166,read,79368,1,100,177233,1,1
167,read,93,1,100,1653,0,0
168,read,24182,1,100,162746,1,0
169,read,1,1,100,1613,0,0
170,read,878,1,100,2034,0,0
171,read,4,1,100,1553,0,0
172,read,5422,1,100,2064,0,0
173,read,27394,1,100,172965,1,0
174,read,20,1,100,1633,0,0
175,read,43768,1,100,160823,1,0
176,read,67706,1,100,2866,0,1
177,read,14385,1,100,164058,1,0
178,read,43618,1,100,2905,0,1
179,read,25,1,100,1573,0,0
180,read,3684,1,100,1833,0,0
181,read,457926,1,100,168607,1,1
182,read,1,1,100,1603,0,0
183,read,2,1,100,1522,0,0
184,read,35,1,100,1593,0,0
185,read,2,1,100,1523,0,0
186,read,117,1,100,1593,0,0
187,read,37307,1,100,161213,1,0
188,read,19,1,100,1653,0,0
189,read,3,1,100,1563,0,0
190,read,399412,1,100,168236,1,0
191,read,52107,1,100,159640,1,0
192,read,152312,1,100,2114,0,0
193,read,28719,1,100,2885,0,1
194,read,1789,1,100,1783,0,0
195,read,7015,1,100,152136,1,0
196,read,5,1,100,1613,0,0
197,read,5,1,100,1573,0,0
198,read,302,1,100,2004,0,0
199,read,663,1,100,1974,0,0
200,read,119619,1,100,148549,1,0
201,read,3691,1,100,1743,0,0
202,read,590928,1,100,177784,1,1
203,read,161,1,100,1663,0,0
204,read,13235,1,100,2785,0,1
205,read,80,1,100,1643,0,0
206,read,24177,1,100,1733,0,0
207,read,11239,1,100,156464,1,0
208,read,3034,1,100,2174,0,0
209,read,59301,1,100,168698,1,0
210,read,3523,1,100,1894,0,0
211,read,2,1,100,1563,0,0
212,read,39631,1,100,166714,1,0
213,read,166542,1,100,182162,1,0
214,read,26301,1,100,2915,0,1
215,read,581276,1,100,164519,1,1
216,read,35015,1,100,158408,1,0
217,read,43,1,100,1663,0,0
218,read,2963,1,100,2134,0,0
219,read,6393,1,100,2244,0,0
220,read,56,1,100,1603,0,0
221,read,574622,1,100,162155,1,1
222,read,33,1,100,1653,0,0
223,read,9,1,100,1583,0,0
224,read,2,1,100,1533,0,0
225,read,23038,1,100,3086,0,1
226,read,34,1,100,1613,0,0
227,read,17,1,100,1563,0,0
228,read,5795,1,100,131708,1,0
229,read,757,1,100,3346,0,1
230,read,254,1,100,1673,0,0
231,read,11669,1,100,2053,0,0
232,read,5018,1,100,2715,0,1
233,read,261,1,100,1804,0,0
234,read,102937,1,100,184297,1,1
235,read,11149,1,100,2003,0,0
236,read,1449,1,100,2034,0,0
237,read,553,1,100,1893,0,0
238,read,7,1,100,1583,0,0
239,read,74172,1,100,162415,1,0
240,read,2,1,100,1613,0,0
241,read,3,1,100,1613,0,0
242,read,256424,1,100,184817,1,1
243,read,2,1,100,1613,0,0
244,read,5290,1,100,1883,0,0
245,read,851,1,100,2014,0,0
246,read,3,1,100,1523,0,0
247,read,8792,1,100,151345,1,0
248,read,118,1,100,1683,0,0
249,read,217,1,100,1583,0,0
250,read,170,1,100,1573,0,0
251,read,545,1,100,1633,0,0
252,read,423,1,100,2164,0,0
253,read,24,1,100,1553,0,0
254,read,22541,1,100,164860,1,0
255,read,185,1,100,1713,0,0
256,read,11580,1,100,2986,0,1
257,read,3,1,100,1563,0,0
258,read,305,1,100,1643,0,0
259,read,1703,1,100,1794,0,0
260,read,261634,1,100,159100,1,0
261,read,5168,1,100,2024,0,0
262,read,3389,1,100,2294,0,0
263,read,202238,1,100,2425,0,0
264,read,412581,1,100,156795,1,0
265,read,334366,1,100,161433,1,1
266,read,7193,1,100,6613,0,1
267,read,1181,1,100,2084,0,0
268,read,2,1,100,1533,0,0
269,read,32206,1,100,160101,1,0
270,read,6908,1,100,2033,0,0
271,read,1,1,100,1533,0,0
272,read,3612,1,100,110848,1,0
273,read,11267,1,100,2264,0,0
274,read,223804,1,100,168437,1,1
275,read,92,1,100,1664,0,0
276,read,1,1,100,1543,0,0
277,read,396778,1,100,167234,1,0
278,read,3448,1,100,2405,0,0
279,read,14098,1,100,2886,0,1
280,read,24,1,100,1583,0,0
281,read,410,1,100,2225,0,0
282,read,3444,1,100,1664,0,0
283,read,14,1,100,1553,0,0
284,read,32,1,100,1623,0,0
285,read,44,1,100,1583,0,0
286,read,7494,1,100,2014,0,0
287,read,94058,1,100,168717,1,0
288,read,1,1,100,1623,0,0
289,read,1,1,100,1543,0,0
290,read,1,1,100,1573,0,0
291,read,1,1,100,1503,0,0
292,read,12314,1,100,2985,0,1
293,read,31,1,100,1573,0,0
294,read,140805,1,100,163828,1,0
295,read,124,1,100,1683,0,0
296,read,802,1,100,2023,0,0
297,read,138702,1,100,139352,1,0
298,read,538,1,100,2004,0,0
299,read,103,1,100,1603,0,0
300,read,2,1,100,1543,0,0
301,read,463139,1,100,176883,1,0
302,read,382,1,100,2023,0,0
303,read,6464,1,100,1874,0,0
304,read,18764,1,100,161845,1,0
305,read,455,1,100,1984,0,0
306,read,1977,1,100,3096,0,1
307,read,13,1,100,1563,0,0
308,read,2,1,100,1543,0,0
309,read,239,1,100,1603,0,0
310,read,4,1,100,1513,0,0
311,read,373,1,100,1744,0,0
312,read,193,1,100,1633,0,0
313,read,26186,1,100,136036,1,0
314,read,8186,1,100,3456,0,1
315,read,8864,1,100,1944,0,0
316,read,5,1,100,1573,0,0
317,read,1850,1,100,1894,0,0
318,read,9707,1,100,160271,1,0
319,read,70,1,100,1653,0,0
320,read,4531,1,100,157426,1,0
321,read,1608,1,100,2014,0,0
322,read,26,1,100,1573,0,0
323,read,197869,1,100,176502,1,0
324,read,95416,1,100,165261,1,0
325,read,5134,1,100,1994,0,0
326,read,1193,1,100,1794,0,0
327,read,7,1,100,1553,0,0
328,read,35,1,100,1583,0,0
329,read,613,1,100,1713,0,0
330,read,173,1,100,1653,0,0
331,read,3884,1,100,2094,0,0
332,read,52321,1,100,12714,0,1
333,read,47717,1,100,174538,1,0
334,read,16233,1,100,159831,1,0
335,read,28,1,100,1663,0,0
336,read,1,1,100,1552,0,0
337,read,1,1,100,1523,0,0
338,read,1247,1,100,1893,0,0
339,read,7082,1,100,2024,0,0
340,read,51,1,100,1583,0,0
341,read,79,1,100,1583,0,0
342,read,100389,1,100,171663,1,0
343,read,123056,1,100,169459,1,1
344,read,29,1,100,1663,0,0
345,read,3,1,100,1562,0,0
346,read,981,1,100,2114,0,0
347,read,387,1,100,1593,0,0
348,read,623,1,100,2134,0,0
349,read,1,1,100,1522,0,0
350,read,194,1,100,1563,0,0
351,read,20,1,100,1553,0,0
352,read,40626,1,100,176662,1,0
353,read,667,1,100,1693,0,0
354,read,312647,1,100,160201,1,1
355,read,1,1,100,1603,0,0
356,read,6,1,100,1583,0,0
357,read,57437,1,100,168567,1,0
358,read,1,1,100,1613,0,0
359,read,9,1,100,1542,0,0
360,read,23373,1,100,2054,0,0
361,read,68,1,100,1653,0,0
362,read,71333,1,100,166723,1,0
363,read,317264,1,100,196069,1,1
364,read,2,1,100,1624,0,0
365,read,325,1,100,1834,0,0
366,read,530093,1,100,223209,1,1
367,read,3,1,100,1643,0,0
368,read,5,1,100,1573,0,0
369,read,76,1,100,1573,0,0
370,read,1943,1,100,1884,0,0
371,read,5,1,100,1553,0,0
372,read,447391,1,100,159941,1,1
373,read,10253,1,100,163297,1,0
374,read,92252,1,100,171232,1,0
375,read,3330,1,100,3066,0,1
376,read,2381,1,100,2094,0,0
377,read,18803,1,100,2986,0,1
378,read,5353,1,100,1943,0,0
379,read,445,1,100,2134,0,0
380,read,6,1,100,1573,0,0
381,read,320,1,100,1663,0,0
382,read,1957,1,100,1763,0,0
383,read,3070,1,100,2064,0,0
384,read,12,1,100,1553,0,0
385,read,105810,1,100,165281,1,0
386,read,16,1,100,1633,0,0
387,read,6023,1,100,2826,0,1
388,read,190051,1,100,166923,1,0
389,read,261,1,100,1663,0,0
390,read,7,1,100,1543,0,0
391,read,4588,1,100,1993,0,0
392,read,1,1,100,1533,0,0
393,read,452,1,100,1613,0,0
394,read,22097,1,100,150964,1,0
395,read,30,1,100,1654,0,0
396,read,79382,1,100,2044,0,0
397,read,7244,1,100,1713,0,0
398,read,294,1,100,1944,0,0
399,read,11384,1,100,2034,0,0
400,read,15981,1,100,2875,0,1
401,read,342,1,100,1774,0,0
402,read,1,1,100,1533,0,0
403,read,143,1,100,1713,0,0
404,read,3771,1,100,2074,0,0
405,read,10,1,100,1543,0,0
406,read,9,1,100,1543,0,0
407,read,86281,1,100,1874,0,0
408,read,8,1,100,1533,0,0
409,read,32,1,100,1553,0,0
410,read,8,1,100,1503,0,0
411,read,9,1,100,1523,0,0
412,read,4810,1,100,1944,0,0
413,read,32,1,100,1523,0,0
414,read,61,1,100,1583,0,0
415,read,20,1,100,1533,0,0
416,read,5416,1,100,1754,0,0
417,read,7446,1,100,2826,0,1
418,read,3,1,100,1553,0,0
419,read,539772,1,100,171362,1,1
420,read,7,1,100,1643,0,0
421,read,1121,1,100,2134,0,0
422,read,8947,1,100,2084,0,0
423,read,12,1,100,1553,0,0
424,read,3400,1,100,1714,0,0
425,read,996,1,100,1904,0,0
426,read,1,1,100,1523,0,0
427,read,44,1,100,1533,0,0
428,read,12202,1,100,2014,0,0
429,read,236404,1,100,174689,1,0
430,read,1,1,100,1603,0,0
431,read,31830,1,100,2766,0,1
432,read,12,1,100,1583,0,0
433,read,6,1,100,1563,0,0
434,read,2,1,100,1523,0,0
435,read,196787,1,100,168616,1,0
436,read,36,1,100,1643,0,0
437,read,2005,1,100,2305,0,0
438,read,313616,1,100,172605,1,0
439,read,107765,1,100,147036,1,0
440,read,26384,1,100,1974,0,0
441,read,147,1,100,1744,0,0
442,read,12,1,100,1563,0,0
443,read,5075,1,100,1914,0,0
444,read,5,1,100,2444,0,0
445,read,2,1,100,1513,0,0
446,read,99,1,100,1613,0,0
447,read,293,1,100,1634,0,0
448,read,6,1,100,1543,0,0
449,read,224035,1,100,2144,0,0
450,read,4,1,100,1543,0,0
451,read,5,1,100,1512,0,0
452,read,23872,1,100,2705,0,1
453,read,278429,1,100,3026,0,1
454,read,59,1,100,1583,0,0
455,read,2285,1,100,1844,0,0
456,read,3,1,100,1533,0,0
457,read,9,1,100,1533,0,0
458,read,14399,1,100,1964,0,0
459,read,1,1,100,1503,0,0
460,read,39,1,100,1543,0,0
461,read,430,1,100,1643,0,0
462,read,107955,1,100,11141,0,1
463,read,810,1,100,2084,0,0
464,read,3,1,100,1523,0,0
465,read,504,1,100,1643,0,0
466,read,5,1,100,1532,0,0
467,read,1,1,100,1503,0,0
468,read,68,1,100,1573,0,0
469,read,7,1,100,1542,0,0
470,read,1,1,100,1523,0,0
471,read,260,1,100,1863,0,0
472,read,142,1,100,1613,0,0
473,read,1,1,100,1503,0,0
474,read,20,1,100,1613,0,0
475,read,10,1,100,1523,0,0
476,read,10566,1,100,2735,0,1
477,read,340653,1,100,206598,1,1
478,read,30,1,100,1653,0,0
479,read,172,1,100,1643,0,0
480,read,6,1,100,1563,0,0
481,read,1,1,100,1493,0,0
482,read,1,1,100,1533,0,0
483,read,5,1,100,1513,0,0
484,read,636,1,100,1703,0,0
485,read,5,1,100,1553,0,0
486,read,3262,1,100,1824,0,0
487,read,110187,1,100,165701,1,0
488,read,20281,1,100,1723,0,0
489,read,4,1,100,1543,0,0
490,read,1,1,100,1583,0,0
491,read,5,1,100,1523,0,0
492,read,1,1,100,1513,0,0
493,read,217916,1,100,174127,1,0
494,read,8,1,100,1603,0,0
495,read,187392,1,100,156324,1,0
496,read,70,1,100,2124,0,0
497,read,110,1,100,1753,0,0
498,read,6,1,100,1543,0,0
499,read,499480,1,100,164028,1,0
500,read,47819,1,100,3066,0,1
501,read,2,1,100,1583,0,0
502,read,88,1,100,1582,0,0
503,read,286654,1,100,166894,1,0
504,read,49,1,100,1673,0,0
505,read,326400,1,100,194155,1,0
506,read,32,1,100,1633,0,0
507,read,27,1,100,1593,0,0
508,read,18,1,100,1563,0,0
509,read,395045,1,100,161804,1,1
510,read,43996,1,100,2054,0,0
