op_no,op_type,target_id,rows_returned,bytes_returned,elapsed_ns,majflt_delta,minflt_delta
1,read,44,1,100,218821,1,6
2,read,10142,1,100,184266,1,0
3,read,11,1,100,2405,0,0
4,read,435614,1,100,332595,2,0
5,read,38,1,100,2003,0,0
6,read,118614,1,100,331644,2,0
7,read,6784,1,100,173016,1,0
8,read,5446,1,100,167796,1,0
9,read,22464,1,100,170961,1,0
10,read,2,1,100,1963,0,0
11,read,22,1,100,1834,0,0
12,read,107,1,100,2274,0,0
13,read,4,1,100,1613,0,0
14,read,50412,1,100,343225,2,0
15,read,47448,1,100,330411,2,0
16,read,5,1,100,1984,0,0
17,read,66585,1,100,315513,2,0
18,read,259162,1,100,349216,2,0
19,read,548,1,100,157787,1,0
20,read,4699,1,100,169899,1,0
21,read,11175,1,100,172574,1,0
22,read,475873,1,100,348254,2,0
23,read,6,1,100,1733,0,0
24,read,13,1,100,1713,0,0
25,read,275684,1,100,401735,2,0
26,read,5674,1,100,14227,0,1
27,read,16862,1,100,164990,1,0
28,read,1098,1,100,167205,1,0
29,read,77,1,100,2034,0,0
30,read,532,1,100,2305,0,0
31,read,292696,1,100,343075,2,0
32,read,20,1,100,1974,0,0
33,read,28135,1,100,340229,2,0
34,read,36,1,100,2154,0,0
35,read,107,1,100,1843,0,0
36,read,193236,1,100,334649,2,0
37,read,2110,1,100,172243,1,0
38,read,153064,1,100,336493,2,0
39,read,22307,1,100,2685,0,0
40,read,15,1,100,1753,0,0
41,read,12,1,100,1543,0,0
42,read,203,1,100,1984,0,0
43,read,723,1,100,15650,0,1
44,read,72,1,100,1683,0,0
45,read,26773,1,100,172043,1,0
46,read,5372,1,100,2013,0,0
47,read,69537,1,100,166433,1,0
48,read,1025,1,100,2054,0,0
49,read,1,1,100,1704,0,0
50,read,966,1,100,1794,0,0
51,read,111763,1,100,183024,1,0
52,read,1,1,100,1563,0,0
53,read,392083,1,100,332836,2,0
54,read,34527,1,100,167434,1,0
55,read,469412,1,100,175069,1,0
56,read,5,1,100,1653,0,0
57,read,3847,1,100,168747,1,0
58,read,30,1,100,1633,0,0
59,read,1,1,100,1462,0,0
60,read,110,1,100,1834,0,0
61,read,3,1,100,1603,0,0
62,read,1,1,100,1473,0,0
63,read,32554,1,100,161744,1,0
64,read,2,1,100,1613,0,0
65,read,62,1,100,1884,0,0
66,read,675,1,100,1794,0,0
67,read,1,1,100,1492,0,0
68,read,23046,1,100,166764,1,0
69,read,206,1,100,1654,0,0
70,read,1,1,100,1473,0,0
71,read,64,1,100,1633,0,0
72,read,26,1,100,1543,0,0
73,read,61,1,100,1493,0,0
74,read,1,1,100,1463,0,0
75,read,406,1,100,1834,0,0
76,read,20118,1,100,176982,1,0
77,read,727,1,100,1713,0,0
78,read,37,1,100,1573,0,0
79,read,35142,1,100,158548,1,0
80,read,103,1,100,1793,0,0
81,read,1,1,100,1462,0,0
82,read,2,1,100,1473,0,0
83,read,790,1,100,1913,0,0
84,read,578584,1,100,332866,2,0
85,read,8971,1,100,168005,1,0
86,read,23212,1,100,2084,0,0
87,read,5555,1,100,1923,0,0
88,read,58,1,100,1663,0,0
89,read,17,1,100,1493,0,0
90,read,176,1,100,2024,0,0
91,read,2386,1,100,2976,0,1
92,read,5627,1,100,11241,0,1
93,read,2,1,100,1533,0,0
94,read,325818,1,100,338636,2,0
95,read,37797,1,100,174137,1,0
96,read,51262,1,100,171633,1,0
97,read,3,1,100,1563,0,0
98,read,6959,1,100,11341,0,1
99,read,50,1,100,2074,0,0
100,read,2645,1,100,160832,1,0
101,read,1528,1,100,3216,0,1
102,read,14928,1,100,170160,1,0
103,read,130,1,100,1884,0,0
104,read,279,1,100,1933,0,0
105,read,6941,1,100,1814,0,0
106,read,3116,1,100,143981,1,0
107,read,65058,1,100,171252,1,0
108,read,344,1,100,1934,0,0
109,read,700,1,100,2044,0,0
110,read,2,1,100,1473,0,0
111,read,59060,1,100,169158,1,0
112,read,1,1,100,1523,0,0
113,read,62147,1,100,180450,1,0
114,read,1710,1,100,2033,0,0
115,read,6,1,100,1523,0,0
116,read,1,1,100,1472,0,0
117,read,246,1,100,2335,0,0
118,read,142905,1,100,324320,2,0
119,read,9,1,100,1733,0,0
120,read,59,1,100,1493,0,0
121,read,8,1,100,1533,0,0
122,read,1257,1,100,2425,0,0
123,read,6317,1,100,2605,0,1
124,read,159,1,100,1933,0,0
125,read,3648,1,100,2956,0,1
126,read,1,1,100,1483,0,0
127,read,80531,1,100,341482,2,0
128,read,16,1,100,1583,0,0
129,read,596,1,100,1944,0,0
130,read,289,1,100,1913,0,0
131,read,62384,1,100,1924,0,0
132,read,94833,1,100,346993,2,0
133,read,93,1,100,1774,0,0
134,read,4,1,100,1553,0,0
135,read,239676,1,100,346672,2,0
136,read,1,1,100,1562,0,0
137,read,12339,1,100,170781,1,0
138,read,1013,1,100,2134,0,0
139,read,255241,1,100,170480,1,0
140,read,2,1,100,1523,0,0
141,read,79326,1,100,2535,0,1
142,read,5375,1,100,1683,0,0
143,read,3,1,100,1613,0,0
144,read,1310,1,100,1773,0,0
145,read,32171,1,100,154781,1,0
146,read,10967,1,100,2194,0,0
147,read,186,1,100,1704,0,0
148,read,3854,1,100,1674,0,0
149,read,264,1,100,1824,0,0
150,read,17,1,100,1503,0,0
151,read,696,1,100,1623,0,0
152,read,748,1,100,1923,0,0
153,read,1819,1,100,1934,0,0
154,read,7,1,100,1613,0,0
155,read,1171,1,100,2004,0,0
156,read,925,1,100,2224,0,0
157,read,2348,1,100,1803,0,0
158,read,42290,1,100,173356,1,0
159,read,225,1,100,1723,0,0
160,read,11192,1,100,2063,0,0
161,read,653,1,100,1543,0,0
162,read,8,1,100,1473,0,0
163,read,2,1,100,1473,0,0
164,read,1,1,100,1423,0,0
165,read,5,1,100,1453,0,0
166,read,232,1,100,1703,0,0
167,read,182,1,100,1723,0,0
168,read,83518,1,100,172715,1,0
169,read,3073,1,100,2285,0,0
170,read,812,1,100,1844,0,0
171,read,1,1,100,1463,0,0
172,read,80364,1,100,1954,0,0
173,read,73631,1,100,210145,1,0
174,read,7797,1,100,17362,0,1
175,read,3682,1,100,4398,0,0
176,read,354,1,100,3667,0,0
177,read,17158,1,100,5941,0,1
178,read,4272,1,100,74240,1,0
179,read,342173,1,100,342524,2,0
180,read,2,1,100,1783,0,0
181,read,210,1,100,1793,0,0
182,read,149762,1,100,176271,1,0
183,read,203,1,100,2284,0,0
184,read,7,1,100,2154,0,0
185,read,550,1,100,2505,0,0
186,read,312,1,100,2515,0,0
187,read,106891,1,100,337945,2,0
188,read,400874,1,100,321655,2,0
189,read,40,1,100,1813,0,0
190,read,212416,1,100,330852,2,0
191,read,215,1,100,1823,0,0
192,read,137,1,100,1633,0,0
193,read,1618,1,100,2094,0,0
194,read,1,1,100,1513,0,0
195,read,39971,1,100,167725,1,0
196,read,3287,1,100,2284,0,0
197,read,277211,1,100,336262,2,0
198,read,1,1,100,1603,0,0
199,read,34078,1,100,165471,1,0
200,read,210919,1,100,161193,1,0
201,read,47514,1,100,2255,0,0
202,read,142689,1,100,2495,0,0
203,read,479,1,100,2014,0,0
204,read,329497,1,100,3537,0,1
205,read,35098,1,100,1874,0,0
206,read,736,1,100,1704,0,0
207,read,104446,1,100,172444,1,0
208,read,20,1,100,1643,0,0
209,read,360785,1,100,339468,2,0
210,read,2917,1,100,1964,0,0
211,read,4,1,100,1483,0,0
212,read,2,1,100,1483,0,0
213,read,17,1,100,1462,0,0
214,read,47152,1,100,4098,0,1
215,read,133,1,100,1614,0,0
216,read,5,1,100,1523,0,0
217,read,239,1,100,1593,0,0
218,read,5,1,100,1512,0,0
219,read,20372,1,100,3046,0,1
220,read,12034,1,100,1873,0,0
221,read,3,1,100,1483,0,0
222,read,6365,1,100,3878,0,1
223,read,20365,1,100,1994,0,0
224,read,158130,1,100,332765,2,0
225,read,4,1,100,1593,0,0
226,read,16467,1,100,132579,1,0
