op_no,op_type,target_id,rows_returned,bytes_returned,elapsed_ns,majflt_delta,minflt_delta
1,read,44,1,100,24126,0,7
2,read,10142,1,100,171012,1,0
3,read,11,1,100,2224,0,0
4,read,435614,1,100,318589,2,0
5,read,38,1,100,1853,0,0
6,read,118614,1,100,319150,2,0
7,read,6784,1,100,166613,1,0
8,read,5446,1,100,161473,1,0
9,read,22464,1,100,166122,1,0
10,read,2,1,100,1733,0,0
11,read,22,1,100,1693,0,0
12,read,107,1,100,1934,0,0
13,read,4,1,100,1563,0,0
14,read,50412,1,100,329600,2,0
15,read,47448,1,100,311104,2,0
16,read,5,1,100,1693,0,0
17,read,66585,1,100,298842,2,0
18,read,259162,1,100,326323,2,0
19,read,548,1,100,148238,1,0
20,read,4699,1,100,165010,1,0
21,read,11175,1,100,165060,1,0
22,read,475873,1,100,330502,2,0
23,read,6,1,100,1724,0,0
24,read,13,1,100,1633,0,0
25,read,275684,1,100,342885,2,0
26,read,5674,1,100,2574,0,1
27,read,16862,1,100,165421,1,0
28,read,1098,1,100,160091,1,0
29,read,77,1,100,1973,0,0
30,read,532,1,100,2074,0,0
31,read,292696,1,100,326664,2,0
32,read,20,1,100,1703,0,0
33,read,28135,1,100,329389,2,0
34,read,36,1,100,1803,0,0
35,read,107,1,100,1573,0,0
36,read,193236,1,100,329379,2,0
37,read,2110,1,100,170982,1,0
38,read,153064,1,100,330251,2,0
39,read,22307,1,100,2314,0,0
40,read,15,1,100,1573,0,0
41,read,12,1,100,1523,0,0
42,read,203,1,100,1903,0,0
43,read,723,1,100,13535,0,1
44,read,72,1,100,1673,0,0
45,read,26773,1,100,167655,1,0
46,read,5372,1,100,2124,0,0
47,read,69537,1,100,171502,1,0
48,read,1025,1,100,2054,0,0
49,read,1,1,100,1603,0,0
50,read,966,1,100,1843,0,0
51,read,111763,1,100,171973,1,0
52,read,1,1,100,1643,0,0
53,read,392083,1,100,329670,2,0
54,read,34527,1,100,166012,1,0
55,read,469412,1,100,174999,1,0
56,read,5,1,100,1623,0,0
57,read,3847,1,100,168276,1,0
58,read,30,1,100,1723,0,0
59,read,1,1,100,1543,0,0
60,read,110,1,100,1913,0,0
61,read,3,1,100,1523,0,0
62,read,1,1,100,1512,0,0
63,read,32554,1,100,162616,1,0
64,read,2,1,100,1633,0,0
65,read,62,1,100,1703,0,0
66,read,675,1,100,1883,0,0
