experiment_id,cell_id,status,workload_type,layout,memory_condition,memory_limit_enabled,memory_max_bytes,strategy_key,backend,n,interior_k,leaf_k,measurement_file,repetition,selected_interior,selected_leaf,syscall_count,prefetch_elapsed_us,first_query_latency_us,average_latency_us,major_page_faults,minor_page_faults,resident_after_cold_pages,requested_selected_resident_ratio,successful_selected_resident_ratio
smoke,33babfe3d58cd39dfa8812663d817e1a6ba4d128a7caf04ff49bb2176c34fad2,completed,read_zipf_full,original,unlimited,false,,baseline,,,,,read_zipf_full_034.txt,1,,,,,224.05,42.73,243,64,16,,
smoke,b5502c23d19521ccdc771cdc4ae54a6b80c89983d759e2bdbd23e0efaff1f870,completed,read_zipf_full,original,unlimited,false,,baseline,,,,,read_zipf_full_046.txt,1,,,,,218.82,44.35,257,69,16,,
smoke,aea238c0b6a843b0af01952b39bb15581749265249badf30e9cc4ae74e92a468,completed,read_zipf_full,original,unlimited,false,,baseline,,,,,read_zipf_full_027.txt,1,,,,,191.71,47.88,279,55,16,,
smoke,2ffe16b76dfd0876f35ac88efed7bbaf37bc2ca08970f89b3c60dbc79e0fed5a,completed,read_zipf_full,original,unlimited,false,,baseline,,,,,read_zipf_full_033.txt,1,,,,,384.27,48.85,254,71,16,,
smoke,2d2906920ff825bc16d22367d38c5e9328fc181679a89610cdf07ecd4a22d895,completed,read_zipf_full,original,unlimited,false,,baseline,,,,,read_zipf_full_036.txt,1,,,,,188.69,42.4,245,61,16,,
smoke,9ad2eb9159d90654647dcf6786e1ab55368bb1be9a34cd3ad021ca02c1075bb5,completed,read_zipf_full,original,unlimited,false,,range_interior,madvise,,,,read_zipf_full_034.txt,1,92,0,87,121,17.73,35.91,209,104,105,1.0,1.0
smoke,f00d2d634bbd448a8701489f7e75a3bf230e65eb2811c39fa944dc246afcdea7,completed,read_zipf_full,original,unlimited,false,,range_interior,madvise,,,,read_zipf_full_046.txt,1,92,0,87,131,19.47,38.38,220,108,105,1.0,1.0
smoke,35826f5a2f0ee63444cf4e15f9ed2918c78038f5378a0fe855a564a124639a71,completed,read_zipf_full,original,unlimited,false,,range_interior,madvise,,,,read_zipf_full_027.txt,1,92,0,87,131,34.33,41.06,240,101,105,1.0,1.0
smoke,dc1266ee3cf12e73b4e57122a171bd486a881a1d42f376d2d1726cfc2e531cb3,completed,read_zipf_full,original,unlimited,false,,range_interior,madvise,,,,read_zipf_full_033.txt,1,92,0,87,124,213.8,37.8,218,111,105,1.0,1.0
smoke,9eeebc914f981722c0f7d7b3561c8acbc77e0ff40146bdb8b5a3c342a765ce2b,completed,read_zipf_full,original,unlimited,false,,range_interior,madvise,,,,read_zipf_full_036.txt,1,92,0,87,125,19.0,35.29,205,105,105,1.0,1.0
smoke,40cbe791e3297f5678e7dfeb3cc7235346746b8bccdc7f908fa416f5280b5bef,completed,read_zipf_full,original,unlimited,false,,range_interior,pread,,,,read_zipf_full_034.txt,1,92,0,87,4829,21.76,36.95,209,104,105,1.0,1.0
