memory_condition,backend,strategy_key,metric,sample_count,mean,median,p25,p75,p99,min,max,reference_mean,change_percent
unlimited,,baseline,first_query_latency_us,5,241.50799999999998,218.82,191.71,224.05,384.27,188.69,384.27,241.50799999999998,0.0
unlimited,,baseline,effective_first_query_latency_us,5,241.50799999999998,218.82,191.71,224.05,384.27,188.69,384.27,241.50799999999998,0.0
unlimited,,baseline,average_latency_us,5,45.242000000000004,44.35,42.73,47.88,48.85,42.4,48.85,45.242000000000004,0.0
unlimited,,baseline,major_page_faults,5,255.6,254.0,245.0,257.0,279.0,243.0,279.0,255.6,0.0
unlimited,,baseline,minor_page_faults,5,64.0,64.0,61.0,69.0,71.0,55.0,71.0,64.0,0.0
unlimited,,baseline,resident_after_cold_pages,5,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,0.0
unlimited,madvise,range_interior,prefetch_elapsed_us,5,126.4,125.0,124.0,131.0,131.0,121.0,131.0,126.4,0.0
unlimited,madvise,range_interior,first_query_latency_us,5,60.866,19.47,19.0,34.33,213.8,17.73,213.8,60.866,0.0
unlimited,madvise,range_interior,effective_first_query_latency_us,5,187.266,150.47,144.0,165.32999999999998,337.8,138.73,337.8,187.266,0.0
unlimited,madvise,range_interior,average_latency_us,5,37.688,37.8,35.91,38.38,41.06,35.29,41.06,37.688,0.0
unlimited,madvise,range_interior,major_page_faults,5,218.4,218.0,209.0,220.0,240.0,205.0,240.0,218.4,0.0
unlimited,madvise,range_interior,minor_page_faults,5,105.8,105.0,104.0,108.0,111.0,101.0,111.0,105.8,0.0
unlimited,madvise,range_interior,resident_after_cold_pages,5,105.0,105.0,105.0,105.0,105.0,105.0,105.0,105.0,0.0
unlimited,madvise,range_interior,requested_selected_resident_ratio,5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
unlimited,madvise,range_interior,successful_selected_resident_ratio,5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
unlimited,madvise,offset_topk_interior_n5,prefetch_elapsed_us,5,8.8,8.0,6.0,8.0,16.0,6.0,16.0,8.8,0.0
unlimited,madvise,offset_topk_interior_n5,first_query_latency_us,5,97.0,30.92,25.79,44.99,362.02,21.28,362.02,97.0,0.0
unlimited,madvise,offset_topk_interior_n5,effective_first_query_latency_us,5,105.8,38.92,37.28,52.99,368.02,31.79,368.02,105.8,0.0
unlimited,madvise,offset_topk_interior_n5,average_latency_us,5,44.315999999999995,43.99,42.65,44.62,47.85,42.47,47.85,44.315999999999995,0.0
unlimited,madvise,offset_topk_interior_n5,major_page_faults,5,255.8,254.0,245.0,256.0,280.0,244.0,280.0,255.8,0.0
unlimited,madvise,offset_topk_interior_n5,minor_page_faults,5,65.0,65.0,62.0,70.0,72.0,56.0,72.0,65.0,0.0
unlimited,madvise,offset_topk_interior_n5,resident_after_cold_pages,5,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,0.0
unlimited,madvise,offset_topk_interior_n5,requested_selected_resident_ratio,5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
unlimited,madvise,offset_topk_interior_n5,successful_selected_resident_ratio,5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
unlimited,madvise,residency_topk_interior5_leaf0_i5_l0,prefetch_elapsed_us,5,6.0,6.0,5.0,6.0,8.0,5.0,8.0,6.0,0.0
unlimited,madvise,residency_topk_interior5_leaf0_i5_l0,first_query_latency_us,5,93.30199999999999,22.05,19.83,44.41,363.13,17.09,363.13,93.30199999999999,0.0
unlimited,madvise,residency_topk_interior5_leaf0_i5_l0,effective_first_query_latency_us,5,99.30199999999999,28.05,24.83,50.41,371.13,22.09,371.13,99.30199999999999,0.0
unlimited,madvise,residency_topk_interior5_leaf0_i5_l0,average_latency_us,5,44.29,43.92,42.27,44.12,49.17,41.97,49.17,44.29,0.0
unlimited,madvise,residency_topk_interior5_leaf0_i5_l0,major_page_faults,5,255.8,254.0,245.0,256.0,280.0,244.0,280.0,255.8,0.0
unlimited,madvise,residency_topk_interior5_leaf0_i5_l0,minor_page_faults,5,65.0,64.0,63.0,70.0,72.0,56.0,72.0,65.0,0.0
unlimited,madvise,residency_topk_interior5_leaf0_i5_l0,resident_after_cold_pages,5,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,0.0
unlimited,madvise,residency_topk_interior5_leaf0_i5_l0,requested_selected_resident_ratio,5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
unlimited,madvise,residency_topk_interior5_leaf0_i5_l0,successful_selected_resident_ratio,5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
unlimited,madvise,residency_topk_interior5_leaf5_i5_l5,prefetch_elapsed_us,5,7.2,7.0,6.0,8.0,9.0,6.0,9.0,7.2,0.0
unlimited,madvise,residency_topk_interior5_leaf5_i5_l5,first_query_latency_us,5,93.80199999999999,24.13,21.96,24.78,380.75,17.39,380.75,93.80199999999999,0.0
unlimited,madvise,residency_topk_interior5_leaf5_i5_l5,effective_first_query_latency_us,5,101.002,30.13,27.96,32.78,389.75,24.39,389.75,101.002,0.0
unlimited,madvise,residency_topk_interior5_leaf5_i5_l5,average_latency_us,5,46.5,43.54,43.19,46.68,56.04,43.05,56.04,46.5,0.0
unlimited,madvise,residency_topk_interior5_leaf5_i5_l5,major_page_faults,5,255.8,254.0,245.0,256.0,280.0,244.0,280.0,255.8,0.0
unlimited,madvise,residency_topk_interior5_leaf5_i5_l5,minor_page_faults,5,65.0,65.0,63.0,70.0,72.0,55.0,72.0,65.0,0.0
unlimited,madvise,residency_topk_interior5_leaf5_i5_l5,resident_after_cold_pages,5,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,0.0
unlimited,madvise,residency_topk_interior5_leaf5_i5_l5,requested_selected_resident_ratio,5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
unlimited,madvise,residency_topk_interior5_leaf5_i5_l5,successful_selected_resident_ratio,5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
