scope,measurement_file,metric,sample_count,mean,median,p25,p75,p99,min,max,comparison_basis,improvement_percent
measurement,read_zipf_full_034.txt,prefetch_elapsed_us,1,8.0,8.0,8.0,8.0,8.0,8.0,8.0,,
measurement,read_zipf_full_034.txt,first_query_latency_us,1,30.92,30.92,30.92,30.92,30.92,30.92,30.92,same-layout paired baseline,86.19950903816111
measurement,read_zipf_full_034.txt,first_query_improvement_percent,1,86.19950903816111,86.19950903816111,86.19950903816111,86.19950903816111,86.19950903816111,86.19950903816111,86.19950903816111,same-layout paired baseline,86.19950903816111
measurement,read_zipf_full_034.txt,effective_first_query_latency_us,1,38.92,38.92,38.92,38.92,38.92,38.92,38.92,same-layout paired baseline,82.62887748270474
measurement,read_zipf_full_034.txt,effective_first_query_improvement_percent,1,82.62887748270474,82.62887748270474,82.62887748270474,82.62887748270474,82.62887748270474,82.62887748270474,82.62887748270474,same-layout paired baseline,82.62887748270474
measurement,read_zipf_full_034.txt,average_latency_us,1,42.65,42.65,42.65,42.65,42.65,42.65,42.65,same-layout paired baseline,0.18722209220687644
measurement,read_zipf_full_034.txt,average_improvement_percent,1,0.18722209220687644,0.18722209220687644,0.18722209220687644,0.18722209220687644,0.18722209220687644,0.18722209220687644,0.18722209220687644,same-layout paired baseline,0.18722209220687644
measurement,read_zipf_full_034.txt,major_page_faults,1,244.0,244.0,244.0,244.0,244.0,244.0,244.0,,
measurement,read_zipf_full_034.txt,minor_page_faults,1,65.0,65.0,65.0,65.0,65.0,65.0,65.0,,
measurement,read_zipf_full_034.txt,resident_after_cold_pages,1,18.0,18.0,18.0,18.0,18.0,18.0,18.0,,
measurement,read_zipf_full_034.txt,requested_selected_resident_ratio,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,
measurement,read_zipf_full_034.txt,successful_selected_resident_ratio,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,
measurement,read_zipf_full_046.txt,prefetch_elapsed_us,1,16.0,16.0,16.0,16.0,16.0,16.0,16.0,,
measurement,read_zipf_full_046.txt,first_query_latency_us,1,21.28,21.28,21.28,21.28,21.28,21.28,21.28,same-layout paired baseline,90.27511196417146
measurement,read_zipf_full_046.txt,first_query_improvement_percent,1,90.27511196417146,90.27511196417146,90.27511196417146,90.27511196417146,90.27511196417146,90.27511196417146,90.27511196417146,same-layout paired baseline,90.27511196417146
measurement,read_zipf_full_046.txt,effective_first_query_latency_us,1,37.28,37.28,37.28,37.28,37.28,37.28,37.28,same-layout paired baseline,82.96316607257106
measurement,read_zipf_full_046.txt,effective_first_query_improvement_percent,1,82.96316607257106,82.96316607257106,82.96316607257106,82.96316607257106,82.96316607257106,82.96316607257106,82.96316607257106,same-layout paired baseline,82.96316607257106
measurement,read_zipf_full_046.txt,average_latency_us,1,44.62,44.62,44.62,44.62,44.62,44.62,44.62,same-layout paired baseline,-0.6087936865839819
measurement,read_zipf_full_046.txt,average_improvement_percent,1,-0.6087936865839819,-0.6087936865839819,-0.6087936865839819,-0.6087936865839819,-0.6087936865839819,-0.6087936865839819,-0.6087936865839819,same-layout paired baseline,-0.6087936865839819
measurement,read_zipf_full_046.txt,major_page_faults,1,256.0,256.0,256.0,256.0,256.0,256.0,256.0,,
measurement,read_zipf_full_046.txt,minor_page_faults,1,70.0,70.0,70.0,70.0,70.0,70.0,70.0,,
measurement,read_zipf_full_046.txt,resident_after_cold_pages,1,18.0,18.0,18.0,18.0,18.0,18.0,18.0,,
measurement,read_zipf_full_046.txt,requested_selected_resident_ratio,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,
measurement,read_zipf_full_046.txt,successful_selected_resident_ratio,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,
measurement,read_zipf_full_027.txt,prefetch_elapsed_us,1,8.0,8.0,8.0,8.0,8.0,8.0,8.0,,
measurement,read_zipf_full_027.txt,first_query_latency_us,1,44.99,44.99,44.99,44.99,44.99,44.99,44.99,same-layout paired baseline,76.53226227113869
measurement,read_zipf_full_027.txt,first_query_improvement_percent,1,76.53226227113869,76.53226227113869,76.53226227113869,76.53226227113869,76.53226227113869,76.53226227113869,76.53226227113869,same-layout paired baseline,76.53226227113869
measurement,read_zipf_full_027.txt,effective_first_query_latency_us,1,52.99,52.99,52.99,52.99,52.99,52.99,52.99,same-layout paired baseline,72.35929268165458
measurement,read_zipf_full_027.txt,effective_first_query_improvement_percent,1,72.35929268165458,72.35929268165458,72.35929268165458,72.35929268165458,72.35929268165458,72.35929268165458,72.35929268165458,same-layout paired baseline,72.35929268165458
measurement,read_zipf_full_027.txt,average_latency_us,1,47.85,47.85,47.85,47.85,47.85,47.85,47.85,same-layout paired baseline,0.0626566416040124
measurement,read_zipf_full_027.txt,average_improvement_percent,1,0.0626566416040124,0.0626566416040124,0.0626566416040124,0.0626566416040124,0.0626566416040124,0.0626566416040124,0.0626566416040124,same-layout paired baseline,0.0626566416040124
measurement,read_zipf_full_027.txt,major_page_faults,1,280.0,280.0,280.0,280.0,280.0,280.0,280.0,,
measurement,read_zipf_full_027.txt,minor_page_faults,1,56.0,56.0,56.0,56.0,56.0,56.0,56.0,,
measurement,read_zipf_full_027.txt,resident_after_cold_pages,1,18.0,18.0,18.0,18.0,18.0,18.0,18.0,,
measurement,read_zipf_full_027.txt,requested_selected_resident_ratio,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,
measurement,read_zipf_full_027.txt,successful_selected_resident_ratio,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,
measurement,read_zipf_full_033.txt,prefetch_elapsed_us,1,6.0,6.0,6.0,6.0,6.0,6.0,6.0,,
measurement,read_zipf_full_033.txt,first_query_latency_us,1,362.02,362.02,362.02,362.02,362.02,362.02,362.02,same-layout paired baseline,5.790199599240118
measurement,read_zipf_full_033.txt,first_query_improvement_percent,1,5.790199599240118,5.790199599240118,5.790199599240118,5.790199599240118,5.790199599240118,5.790199599240118,5.790199599240118,same-layout paired baseline,5.790199599240118
measurement,read_zipf_full_033.txt,effective_first_query_latency_us,1,368.02,368.02,368.02,368.02,368.02,368.02,368.02,same-layout paired baseline,4.228797460119187
