scope,measurement_file,metric,sample_count,mean,median,p25,p75,p99,min,max,comparison_basis,improvement_percent
measurement,read_zipf_full_034.txt,prefetch_elapsed_us,1,121.0,121.0,121.0,121.0,121.0,121.0,121.0,,
measurement,read_zipf_full_034.txt,first_query_latency_us,1,17.73,17.73,17.73,17.73,17.73,17.73,17.73,same-layout paired baseline,92.08658781521983
measurement,read_zipf_full_034.txt,first_query_improvement_percent,1,92.08658781521983,92.08658781521983,92.08658781521983,92.08658781521983,92.08658781521983,92.08658781521983,92.08658781521983,same-layout paired baseline,92.08658781521983
measurement,read_zipf_full_034.txt,effective_first_query_latency_us,1,138.73,138.73,138.73,138.73,138.73,138.73,138.73,same-layout paired baseline,38.08078553894221
measurement,read_zipf_full_034.txt,effective_first_query_improvement_percent,1,38.08078553894221,38.08078553894221,38.08078553894221,38.08078553894221,38.08078553894221,38.08078553894221,38.08078553894221,same-layout paired baseline,38.08078553894221
measurement,read_zipf_full_034.txt,average_latency_us,1,35.91,35.91,35.91,35.91,35.91,35.91,35.91,same-layout paired baseline,15.960683360636557
measurement,read_zipf_full_034.txt,average_improvement_percent,1,15.960683360636557,15.960683360636557,15.960683360636557,15.960683360636557,15.960683360636557,15.960683360636557,15.960683360636557,same-layout paired baseline,15.960683360636557
measurement,read_zipf_full_034.txt,major_page_faults,1,209.0,209.0,209.0,209.0,209.0,209.0,209.0,,
measurement,read_zipf_full_034.txt,minor_page_faults,1,104.0,104.0,104.0,104.0,104.0,104.0,104.0,,
measurement,read_zipf_full_034.txt,resident_after_cold_pages,1,105.0,105.0,105.0,105.0,105.0,105.0,105.0,,
measurement,read_zipf_full_034.txt,requested_selected_resident_ratio,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,
measurement,read_zipf_full_034.txt,successful_selected_resident_ratio,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,
measurement,read_zipf_full_046.txt,prefetch_elapsed_us,1,131.0,131.0,131.0,131.0,131.0,131.0,131.0,,
measurement,read_zipf_full_046.txt,first_query_latency_us,1,19.47,19.47,19.47,19.47,19.47,19.47,19.47,same-layout paired baseline,91.10227584315876
measurement,read_zipf_full_046.txt,first_query_improvement_percent,1,91.10227584315876,91.10227584315876,91.10227584315876,91.10227584315876,91.10227584315876,91.10227584315876,91.10227584315876,same-layout paired baseline,91.10227584315876
measurement,read_zipf_full_046.txt,effective_first_query_latency_us,1,150.47,150.47,150.47,150.47,150.47,150.47,150.47,same-layout paired baseline,31.235718855680467
measurement,read_zipf_full_046.txt,effective_first_query_improvement_percent,1,31.235718855680467,31.235718855680467,31.235718855680467,31.235718855680467,31.235718855680467,31.235718855680467,31.235718855680467,same-layout paired baseline,31.235718855680467
measurement,read_zipf_full_046.txt,average_latency_us,1,38.38,38.38,38.38,38.38,38.38,38.38,38.38,same-layout paired baseline,13.461104847801575
measurement,read_zipf_full_046.txt,average_improvement_percent,1,13.461104847801575,13.461104847801575,13.461104847801575,13.461104847801575,13.461104847801575,13.461104847801575,13.461104847801575,same-layout paired baseline,13.461104847801575
measurement,read_zipf_full_046.txt,major_page_faults,1,220.0,220.0,220.0,220.0,220.0,220.0,220.0,,
measurement,read_zipf_full_046.txt,minor_page_faults,1,108.0,108.0,108.0,108.0,108.0,108.0,108.0,,
measurement,read_zipf_full_046.txt,resident_after_cold_pages,1,105.0,105.0,105.0,105.0,105.0,105.0,105.0,,
measurement,read_zipf_full_046.txt,requested_selected_resident_ratio,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,
measurement,read_zipf_full_046.txt,successful_selected_resident_ratio,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,
measurement,read_zipf_full_027.txt,prefetch_elapsed_us,1,131.0,131.0,131.0,131.0,131.0,131.0,131.0,,
measurement,read_zipf_full_027.txt,first_query_latency_us,1,34.33,34.33,34.33,34.33,34.33,34.33,34.33,same-layout paired baseline,82.09274424912628
measurement,read_zipf_full_027.txt,first_query_improvement_percent,1,82.09274424912628,82.09274424912628,82.09274424912628,82.09274424912628,82.09274424912628,82.09274424912628,82.09274424912628,same-layout paired baseline,82.09274424912628
measurement,read_zipf_full_027.txt,effective_first_query_latency_us,1,165.32999999999998,165.32999999999998,165.32999999999998,165.32999999999998,165.32999999999998,165.32999999999998,165.32999999999998,same-layout paired baseline,13.760367221323886
measurement,read_zipf_full_027.txt,effective_first_query_improvement_percent,1,13.760367221323886,13.760367221323886,13.760367221323886,13.760367221323886,13.760367221323886,13.760367221323886,13.760367221323886,same-layout paired baseline,13.760367221323886
measurement,read_zipf_full_027.txt,average_latency_us,1,41.06,41.06,41.06,41.06,41.06,41.06,41.06,same-layout paired baseline,14.243943191311612
measurement,read_zipf_full_027.txt,average_improvement_percent,1,14.243943191311612,14.243943191311612,14.243943191311612,14.243943191311612,14.243943191311612,14.243943191311612,14.243943191311612,same-layout paired baseline,14.243943191311612
measurement,read_zipf_full_027.txt,major_page_faults,1,240.0,240.0,240.0,240.0,240.0,240.0,240.0,,
measurement,read_zipf_full_027.txt,minor_page_faults,1,101.0,101.0,101.0,101.0,101.0,101.0,101.0,,
measurement,read_zipf_full_027.txt,resident_after_cold_pages,1,105.0,105.0,105.0,105.0,105.0,105.0,105.0,,
measurement,read_zipf_full_027.txt,requested_selected_resident_ratio,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,
measurement,read_zipf_full_027.txt,successful_selected_resident_ratio,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,
measurement,read_zipf_full_033.txt,prefetch_elapsed_us,1,124.0,124.0,124.0,124.0,124.0,124.0,124.0,,
measurement,read_zipf_full_033.txt,first_query_latency_us,1,213.8,213.8,213.8,213.8,213.8,213.8,213.8,same-layout paired baseline,44.36203710932416
measurement,read_zipf_full_033.txt,first_query_improvement_percent,1,44.36203710932416,44.36203710932416,44.36203710932416,44.36203710932416,44.36203710932416,44.36203710932416,44.36203710932416,same-layout paired baseline,44.36203710932416
measurement,read_zipf_full_033.txt,effective_first_query_latency_us,1,337.8,337.8,337.8,337.8,337.8,337.8,337.8,same-layout paired baseline,12.0930595674916
measurement,read_zipf_full_033.txt,effective_first_query_improvement_percent,1,12.0930595674916,12.0930595674916,12.0930595674916,12.0930595674916,12.0930595674916,12.0930595674916,12.0930595674916,same-layout paired baseline,12.0930595674916
measurement,read_zipf_full_033.txt,average_latency_us,1,37.8,37.8,37.8,37.8,37.8,37.8,37.8,same-layout paired baseline,22.6202661207779
measurement,read_zipf_full_033.txt,average_improvement_percent,1,22.6202661207779,22.6202661207779,22.6202661207779,22.6202661207779,22.6202661207779,22.6202661207779,22.6202661207779,same-layout paired baseline,22.6202661207779
measurement,read_zipf_full_033.txt,major_page_faults,1,218.0,218.0,218.0,218.0,218.0,218.0,218.0,,
measurement,read_zipf_full_033.txt,minor_page_faults,1,111.0,111.0,111.0,111.0,111.0,111.0,111.0,,
measurement,read_zipf_full_033.txt,resident_after_cold_pages,1,105.0,105.0,105.0,105.0,105.0,105.0,105.0,,
measurement,read_zipf_full_033.txt,requested_selected_resident_ratio,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,
measurement,read_zipf_full_033.txt,successful_selected_resident_ratio,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,
measurement,read_zipf_full_036.txt,prefetch_elapsed_us,1,125.0,125.0,125.0,125.0,125.0,125.0,125.0,,
measurement,read_zipf_full_036.txt,first_query_latency_us,1,19.0,19.0,19.0,19.0,19.0,19.0,19.0,same-layout paired baseline,89.93057395728444
measurement,read_zipf_full_036.txt,first_query_improvement_percent,1,89.93057395728444,89.93057395728444,89.93057395728444,89.93057395728444,89.93057395728444,89.93057395728444,89.93057395728444,same-layout paired baseline,89.93057395728444
measurement,read_zipf_full_036.txt,effective_first_query_latency_us,1,144.0,144.0,144.0,144.0,144.0,144.0,144.0,same-layout paired baseline,23.684349992050453
measurement,read_zipf_full_036.txt,effective_first_query_improvement_percent,1,23.684349992050453,23.684349992050453,23.684349992050453,23.684349992050453,23.684349992050453,23.684349992050453,23.684349992050453,same-layout paired baseline,23.684349992050453
measurement,read_zipf_full_036.txt,average_latency_us,1,35.29,35.29,35.29,35.29,35.29,35.29,35.29,same-layout paired baseline,16.7688679245283
measurement,read_zipf_full_036.txt,average_improvement_percent,1,16.7688679245283,16.7688679245283,16.7688679245283,16.7688679245283,16.7688679245283,16.7688679245283,16.7688679245283,same-layout paired baseline,16.7688679245283
measurement,read_zipf_full_036.txt,major_page_faults,1,205.0,205.0,205.0,205.0,205.0,205.0,205.0,,
measurement,read_zipf_full_036.txt,minor_page_faults,1,105.0,105.0,105.0,105.0,105.0,105.0,105.0,,
measurement,read_zipf_full_036.txt,resident_after_cold_pages,1,105.0,105.0,105.0,105.0,105.0,105.0,105.0,,
measurement,read_zipf_full_036.txt,requested_selected_resident_ratio,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,
measurement,read_zipf_full_036.txt,successful_selected_resident_ratio,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,
strategy,,prefetch_elapsed_us,5,126.4,125.0,124.0,131.0,131.0,121.0,131.0,,
strategy,,first_query_latency_us,5,60.866,19.47,19.0,34.33,213.8,17.73,213.8,same-layout paired baseline,79.9148437948227
strategy,,first_query_improvement_percent,5,79.9148437948227,89.93057395728444,82.09274424912628,91.10227584315876,92.08658781521983,44.36203710932416,92.08658781521983,same-layout paired baseline,79.9148437948227
strategy,,effective_first_query_latency_us,5,187.266,150.47,144.0,165.32999999999998,337.8,138.73,337.8,same-layout paired baseline,23.77085623509772
strategy,,effective_first_query_improvement_percent,5,23.77085623509772,23.684349992050453,13.760367221323886,31.235718855680467,38.08078553894221,12.0930595674916,38.08078553894221,same-layout paired baseline,23.77085623509772
strategy,,average_latency_us,5,37.688,37.8,35.91,38.38,41.06,35.29,41.06,same-layout paired baseline,16.61097308901119
strategy,,average_improvement_percent,5,16.61097308901119,15.960683360636557,14.243943191311612,16.7688679245283,22.6202661207779,13.461104847801575,22.6202661207779,same-layout paired baseline,16.61097308901119
strategy,,major_page_faults,5,218.4,218.0,209.0,220.0,240.0,205.0,240.0,,
strategy,,minor_page_faults,5,105.8,105.0,104.0,108.0,111.0,101.0,111.0,,
strategy,,resident_after_cold_pages,5,105.0,105.0,105.0,105.0,105.0,105.0,105.0,,
strategy,,requested_selected_resident_ratio,5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,
strategy,,successful_selected_resident_ratio,5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,
