scope,measurement_file,metric,sample_count,mean,median,p25,p75,p99,min,max,comparison_basis,improvement_percent
measurement,read_zipf_full_034.txt,prefetch_elapsed_us,1,5.0,5.0,5.0,5.0,5.0,5.0,5.0,,
measurement,read_zipf_full_034.txt,first_query_latency_us,1,19.83,19.83,19.83,19.83,19.83,19.83,19.83,same-layout paired baseline,91.14929703191252
measurement,read_zipf_full_034.txt,first_query_improvement_percent,1,91.14929703191252,91.14929703191252,91.14929703191252,91.14929703191252,91.14929703191252,91.14929703191252,91.14929703191252,same-layout paired baseline,91.14929703191252
measurement,read_zipf_full_034.txt,effective_first_query_latency_us,1,24.83,24.83,24.83,24.83,24.83,24.83,24.83,same-layout paired baseline,88.9176523097523
measurement,read_zipf_full_034.txt,effective_first_query_improvement_percent,1,88.9176523097523,88.9176523097523,88.9176523097523,88.9176523097523,88.9176523097523,88.9176523097523,88.9176523097523,same-layout paired baseline,88.9176523097523
measurement,read_zipf_full_034.txt,average_latency_us,1,42.27,42.27,42.27,42.27,42.27,42.27,42.27,same-layout paired baseline,1.0765270301895478
measurement,read_zipf_full_034.txt,average_improvement_percent,1,1.0765270301895478,1.0765270301895478,1.0765270301895478,1.0765270301895478,1.0765270301895478,1.0765270301895478,1.0765270301895478,same-layout paired baseline,1.0765270301895478
measurement,read_zipf_full_034.txt,major_page_faults,1,244.0,244.0,244.0,244.0,244.0,244.0,244.0,,
measurement,read_zipf_full_034.txt,minor_page_faults,1,64.0,64.0,64.0,64.0,64.0,64.0,64.0,,
measurement,read_zipf_full_034.txt,resident_after_cold_pages,1,18.0,18.0,18.0,18.0,18.0,18.0,18.0,,
measurement,read_zipf_full_034.txt,requested_selected_resident_ratio,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,
measurement,read_zipf_full_034.txt,successful_selected_resident_ratio,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,
measurement,read_zipf_full_046.txt,prefetch_elapsed_us,1,6.0,6.0,6.0,6.0,6.0,6.0,6.0,,
measurement,read_zipf_full_046.txt,first_query_latency_us,1,44.41,44.41,44.41,44.41,44.41,44.41,44.41,same-layout paired baseline,79.70478018462663
measurement,read_zipf_full_046.txt,first_query_improvement_percent,1,79.70478018462663,79.70478018462663,79.70478018462663,79.70478018462663,79.70478018462663,79.70478018462663,79.70478018462663,same-layout paired baseline,79.70478018462663
measurement,read_zipf_full_046.txt,effective_first_query_latency_us,1,50.41,50.41,50.41,50.41,50.41,50.41,50.41,same-layout paired baseline,76.96280047527648
measurement,read_zipf_full_046.txt,effective_first_query_improvement_percent,1,76.96280047527648,76.96280047527648,76.96280047527648,76.96280047527648,76.96280047527648,76.96280047527648,76.96280047527648,same-layout paired baseline,76.96280047527648
measurement,read_zipf_full_046.txt,average_latency_us,1,44.12,44.12,44.12,44.12,44.12,44.12,44.12,same-layout paired baseline,0.5186020293122976
measurement,read_zipf_full_046.txt,average_improvement_percent,1,0.5186020293122976,0.5186020293122976,0.5186020293122976,0.5186020293122976,0.5186020293122976,0.5186020293122976,0.5186020293122976,same-layout paired baseline,0.5186020293122976
measurement,read_zipf_full_046.txt,major_page_faults,1,256.0,256.0,256.0,256.0,256.0,256.0,256.0,,
measurement,read_zipf_full_046.txt,minor_page_faults,1,70.0,70.0,70.0,70.0,70.0,70.0,70.0,,
measurement,read_zipf_full_046.txt,resident_after_cold_pages,1,18.0,18.0,18.0,18.0,18.0,18.0,18.0,,
measurement,read_zipf_full_046.txt,requested_selected_resident_ratio,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,
measurement,read_zipf_full_046.txt,successful_selected_resident_ratio,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,
measurement,read_zipf_full_027.txt,prefetch_elapsed_us,1,6.0,6.0,6.0,6.0,6.0,6.0,6.0,,
measurement,read_zipf_full_027.txt,first_query_latency_us,1,22.05,22.05,22.05,22.05,22.05,22.05,22.05,same-layout paired baseline,88.4982525689844
measurement,read_zipf_full_027.txt,first_query_improvement_percent,1,88.4982525689844,88.4982525689844,88.4982525689844,88.4982525689844,88.4982525689844,88.4982525689844,88.4982525689844,same-layout paired baseline,88.4982525689844
measurement,read_zipf_full_027.txt,effective_first_query_latency_us,1,28.05,28.05,28.05,28.05,28.05,28.05,28.05,same-layout paired baseline,85.3685253768713
measurement,read_zipf_full_027.txt,effective_first_query_improvement_percent,1,85.3685253768713,85.3685253768713,85.3685253768713,85.3685253768713,85.3685253768713,85.3685253768713,85.3685253768713,same-layout paired baseline,85.3685253768713
measurement,read_zipf_full_027.txt,average_latency_us,1,49.17,49.17,49.17,49.17,49.17,49.17,49.17,same-layout paired baseline,-2.694235588972429
measurement,read_zipf_full_027.txt,average_improvement_percent,1,-2.694235588972429,-2.694235588972429,-2.694235588972429,-2.694235588972429,-2.694235588972429,-2.694235588972429,-2.694235588972429,same-layout paired baseline,-2.694235588972429
measurement,read_zipf_full_027.txt,major_page_faults,1,280.0,280.0,280.0,280.0,280.0,280.0,280.0,,
measurement,read_zipf_full_027.txt,minor_page_faults,1,56.0,56.0,56.0,56.0,56.0,56.0,56.0,,
measurement,read_zipf_full_027.txt,resident_after_cold_pages,1,18.0,18.0,18.0,18.0,18.0,18.0,18.0,,
measurement,read_zipf_full_027.txt,requested_selected_resident_ratio,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,
measurement,read_zipf_full_027.txt,successful_selected_resident_ratio,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,
measurement,read_zipf_full_033.txt,prefetch_elapsed_us,1,8.0,8.0,8.0,8.0,8.0,8.0,8.0,,
measurement,read_zipf_full_033.txt,first_query_latency_us,1,363.13,363.13,363.13,363.13,363.13,363.13,363.13,same-layout paired baseline,5.5013402035027426
measurement,read_zipf_full_033.txt,first_query_improvement_percent,1,5.5013402035027426,5.5013402035027426,5.5013402035027426,5.5013402035027426,5.5013402035027426,5.5013402035027426,5.5013402035027426,same-layout paired baseline,5.5013402035027426
measurement,read_zipf_full_033.txt,effective_first_query_latency_us,1,371.13,371.13,371.13,371.13,371.13,371.13,371.13,same-layout paired baseline,3.419470684674834
measurement,read_zipf_full_033.txt,effective_first_query_improvement_percent,1,3.419470684674834,3.419470684674834,3.419470684674834,3.419470684674834,3.419470684674834,3.419470684674834,3.419470684674834,same-layout paired baseline,3.419470684674834
measurement,read_zipf_full_033.txt,average_latency_us,1,43.92,43.92,43.92,43.92,43.92,43.92,43.92,same-layout paired baseline,10.092118730808597
measurement,read_zipf_full_033.txt,average_improvement_percent,1,10.092118730808597,10.092118730808597,10.092118730808597,10.092118730808597,10.092118730808597,10.092118730808597,10.092118730808597,same-layout paired baseline,10.092118730808597
measurement,read_zipf_full_033.txt,major_page_faults,1,254.0,254.0,254.0,254.0,254.0,254.0,254.0,,
measurement,read_zipf_full_033.txt,minor_page_faults,1,72.0,72.0,72.0,72.0,72.0,72.0,72.0,,
measurement,read_zipf_full_033.txt,resident_after_cold_pages,1,18.0,18.0,18.0,18.0,18.0,18.0,18.0,,
measurement,read_zipf_full_033.txt,requested_selected_resident_ratio,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,
