scope,measurement_file,metric,sample_count,mean,median,p25,p75,p99,min,max,comparison_basis,improvement_percent
measurement,read_zipf_full_034.txt,prefetch_elapsed_us,1,4829.0,4829.0,4829.0,4829.0,4829.0,4829.0,4829.0,,
measurement,read_zipf_full_034.txt,first_query_latency_us,1,21.76,21.76,21.76,21.76,21.76,21.76,21.76,same-layout paired baseline,90.28788216915868
measurement,read_zipf_full_034.txt,first_query_improvement_percent,1,90.28788216915868,90.28788216915868,90.28788216915868,90.28788216915868,90.28788216915868,90.28788216915868,90.28788216915868,same-layout paired baseline,90.28788216915868
measurement,read_zipf_full_034.txt,effective_first_query_latency_us,1,4850.76,4850.76,4850.76,4850.76,4850.76,4850.76,4850.76,same-layout paired baseline,-2065.0345904931937
measurement,read_zipf_full_034.txt,effective_first_query_improvement_percent,1,-2065.0345904931937,-2065.0345904931937,-2065.0345904931937,-2065.0345904931937,-2065.0345904931937,-2065.0345904931937,-2065.0345904931937,same-layout paired baseline,-2065.0345904931937
measurement,read_zipf_full_034.txt,average_latency_us,1,36.95,36.95,36.95,36.95,36.95,36.95,36.95,same-layout paired baseline,13.526796161947097
measurement,read_zipf_full_034.txt,average_improvement_percent,1,13.526796161947097,13.526796161947097,13.526796161947097,13.526796161947097,13.526796161947097,13.526796161947097,13.526796161947097,same-layout paired baseline,13.526796161947097
measurement,read_zipf_full_034.txt,major_page_faults,1,209.0,209.0,209.0,209.0,209.0,209.0,209.0,,
measurement,read_zipf_full_034.txt,minor_page_faults,1,104.0,104.0,104.0,104.0,104.0,104.0,104.0,,
measurement,read_zipf_full_034.txt,resident_after_cold_pages,1,105.0,105.0,105.0,105.0,105.0,105.0,105.0,,
measurement,read_zipf_full_034.txt,requested_selected_resident_ratio,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,
measurement,read_zipf_full_034.txt,successful_selected_resident_ratio,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,
measurement,read_zipf_full_046.txt,prefetch_elapsed_us,1,4820.0,4820.0,4820.0,4820.0,4820.0,4820.0,4820.0,,
measurement,read_zipf_full_046.txt,first_query_latency_us,1,18.57,18.57,18.57,18.57,18.57,18.57,18.57,same-layout paired baseline,91.51357279956129
measurement,read_zipf_full_046.txt,first_query_improvement_percent,1,91.51357279956129,91.51357279956129,91.51357279956129,91.51357279956129,91.51357279956129,91.51357279956129,91.51357279956129,same-layout paired baseline,91.51357279956129
measurement,read_zipf_full_046.txt,effective_first_query_latency_us,1,4838.57,4838.57,4838.57,4838.57,4838.57,4838.57,4838.57,same-layout paired baseline,-2111.21012704506
measurement,read_zipf_full_046.txt,effective_first_query_improvement_percent,1,-2111.21012704506,-2111.21012704506,-2111.21012704506,-2111.21012704506,-2111.21012704506,-2111.21012704506,-2111.21012704506,same-layout paired baseline,-2111.21012704506
measurement,read_zipf_full_046.txt,average_latency_us,1,38.46,38.46,38.46,38.46,38.46,38.46,38.46,same-layout paired baseline,13.280721533258175
measurement,read_zipf_full_046.txt,average_improvement_percent,1,13.280721533258175,13.280721533258175,13.280721533258175,13.280721533258175,13.280721533258175,13.280721533258175,13.280721533258175,same-layout paired baseline,13.280721533258175
measurement,read_zipf_full_046.txt,major_page_faults,1,220.0,220.0,220.0,220.0,220.0,220.0,220.0,,
measurement,read_zipf_full_046.txt,minor_page_faults,1,108.0,108.0,108.0,108.0,108.0,108.0,108.0,,
measurement,read_zipf_full_046.txt,resident_after_cold_pages,1,105.0,105.0,105.0,105.0,105.0,105.0,105.0,,
measurement,read_zipf_full_046.txt,requested_selected_resident_ratio,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,
measurement,read_zipf_full_046.txt,successful_selected_resident_ratio,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,
measurement,read_zipf_full_027.txt,prefetch_elapsed_us,1,4799.0,4799.0,4799.0,4799.0,4799.0,4799.0,4799.0,,
measurement,read_zipf_full_027.txt,first_query_latency_us,1,35.58,35.58,35.58,35.58,35.58,35.58,35.58,same-layout paired baseline,81.44071775076938
measurement,read_zipf_full_027.txt,first_query_improvement_percent,1,81.44071775076938,81.44071775076938,81.44071775076938,81.44071775076938,81.44071775076938,81.44071775076938,81.44071775076938,same-layout paired baseline,81.44071775076938
measurement,read_zipf_full_027.txt,effective_first_query_latency_us,1,4834.58,4834.58,4834.58,4834.58,4834.58,4834.58,4834.58,same-layout paired baseline,-2421.819414741015
measurement,read_zipf_full_027.txt,effective_first_query_improvement_percent,1,-2421.819414741015,-2421.819414741015,-2421.819414741015,-2421.819414741015,-2421.819414741015,-2421.819414741015,-2421.819414741015,same-layout paired baseline,-2421.819414741015
measurement,read_zipf_full_027.txt,average_latency_us,1,50.26,50.26,50.26,50.26,50.26,50.26,50.26,same-layout paired baseline,-4.970760233918119
measurement,read_zipf_full_027.txt,average_improvement_percent,1,-4.970760233918119,-4.970760233918119,-4.970760233918119,-4.970760233918119,-4.970760233918119,-4.970760233918119,-4.970760233918119,same-layout paired baseline,-4.970760233918119
measurement,read_zipf_full_027.txt,major_page_faults,1,240.0,240.0,240.0,240.0,240.0,240.0,240.0,,
measurement,read_zipf_full_027.txt,minor_page_faults,1,102.0,102.0,102.0,102.0,102.0,102.0,102.0,,
measurement,read_zipf_full_027.txt,resident_after_cold_pages,1,105.0,105.0,105.0,105.0,105.0,105.0,105.0,,
measurement,read_zipf_full_027.txt,requested_selected_resident_ratio,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,
measurement,read_zipf_full_027.txt,successful_selected_resident_ratio,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,
measurement,read_zipf_full_033.txt,prefetch_elapsed_us,1,4845.0,4845.0,4845.0,4845.0,4845.0,4845.0,4845.0,,
measurement,read_zipf_full_033.txt,first_query_latency_us,1,184.22,184.22,184.22,184.22,184.22,184.22,184.22,same-layout paired baseline,52.05974965519036
measurement,read_zipf_full_033.txt,first_query_improvement_percent,1,52.05974965519036,52.05974965519036,52.05974965519036,52.05974965519036,52.05974965519036,52.05974965519036,52.05974965519036,same-layout paired baseline,52.05974965519036
measurement,read_zipf_full_033.txt,effective_first_query_latency_us,1,5029.22,5029.22,5029.22,5029.22,5029.22,5029.22,5029.22,same-layout paired baseline,-1208.7724776849614
measurement,read_zipf_full_033.txt,effective_first_query_improvement_percent,1,-1208.7724776849614,-1208.7724776849614,-1208.7724776849614,-1208.7724776849614,-1208.7724776849614,-1208.7724776849614,-1208.7724776849614,same-layout paired baseline,-1208.7724776849614
measurement,read_zipf_full_033.txt,average_latency_us,1,39.11,39.11,39.11,39.11,39.11,39.11,39.11,same-layout paired baseline,19.938587512794275
measurement,read_zipf_full_033.txt,average_improvement_percent,1,19.938587512794275,19.938587512794275,19.938587512794275,19.938587512794275,19.938587512794275,19.938587512794275,19.938587512794275,same-layout paired baseline,19.938587512794275
measurement,read_zipf_full_033.txt,major_page_faults,1,218.0,218.0,218.0,218.0,218.0,218.0,218.0,,
measurement,read_zipf_full_033.txt,minor_page_faults,1,111.0,111.0,111.0,111.0,111.0,111.0,111.0,,
measurement,read_zipf_full_033.txt,resident_after_cold_pages,1,105.0,105.0,105.0,105.0,105.0,105.0,105.0,,
measurement,read_zipf_full_033.txt,requested_selected_resident_ratio,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,
measurement,read_zipf_full_033.txt,successful_selected_resident_ratio,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,
measurement,read_zipf_full_036.txt,prefetch_elapsed_us,1,4828.0,4828.0,4828.0,4828.0,4828.0,4828.0,4828.0,,
measurement,read_zipf_full_036.txt,first_query_latency_us,1,20.88,20.88,20.88,20.88,20.88,20.88,20.88,same-layout paired baseline,88.93423074884733
measurement,read_zipf_full_036.txt,first_query_improvement_percent,1,88.93423074884733,88.93423074884733,88.93423074884733,88.93423074884733,88.93423074884733,88.93423074884733,88.93423074884733,same-layout paired baseline,88.93423074884733
measurement,read_zipf_full_036.txt,effective_first_query_latency_us,1,4848.88,4848.88,4848.88,4848.88,4848.88,4848.88,4848.88,same-layout paired baseline,-2469.7599236843503
measurement,read_zipf_full_036.txt,effective_first_query_improvement_percent,1,-2469.7599236843503,-2469.7599236843503,-2469.7599236843503,-2469.7599236843503,-2469.7599236843503,-2469.7599236843503,-2469.7599236843503,same-layout paired baseline,-2469.7599236843503
measurement,read_zipf_full_036.txt,average_latency_us,1,35.85,35.85,35.85,35.85,35.85,35.85,35.85,same-layout paired baseline,15.448113207547165
measurement,read_zipf_full_036.txt,average_improvement_percent,1,15.448113207547165,15.448113207547165,15.448113207547165,15.448113207547165,15.448113207547165,15.448113207547165,15.448113207547165,same-layout paired baseline,15.448113207547165
measurement,read_zipf_full_036.txt,major_page_faults,1,205.0,205.0,205.0,205.0,205.0,205.0,205.0,,
measurement,read_zipf_full_036.txt,minor_page_faults,1,105.0,105.0,105.0,105.0,105.0,105.0,105.0,,
measurement,read_zipf_full_036.txt,resident_after_cold_pages,1,105.0,105.0,105.0,105.0,105.0,105.0,105.0,,
measurement,read_zipf_full_036.txt,requested_selected_resident_ratio,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,
measurement,read_zipf_full_036.txt,successful_selected_resident_ratio,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,
strategy,,prefetch_elapsed_us,5,4824.2,4828.0,4820.0,4829.0,4845.0,4799.0,4845.0,,
strategy,,first_query_latency_us,5,56.202,21.76,20.88,35.58,184.22,18.57,184.22,same-layout paired baseline,80.84723062470542
strategy,,first_query_improvement_percent,5,80.84723062470542,88.93423074884733,81.44071775076938,90.28788216915868,91.51357279956129,52.05974965519036,91.51357279956129,same-layout paired baseline,80.84723062470542
strategy,,effective_first_query_latency_us,5,4880.402,4848.88,4838.57,4850.76,5029.22,4834.58,5029.22,same-layout paired baseline,-2055.319306729716
strategy,,effective_first_query_improvement_percent,5,-2055.319306729716,-2111.21012704506,-2421.819414741015,-2065.0345904931937,-1208.7724776849614,-2469.7599236843503,-1208.7724776849614,same-layout paired baseline,-2055.319306729716
strategy,,average_latency_us,5,40.126,38.46,36.95,39.11,50.26,35.85,50.26,same-layout paired baseline,11.444691636325718
strategy,,average_improvement_percent,5,11.444691636325718,13.526796161947097,13.280721533258175,15.448113207547165,19.938587512794275,-4.970760233918119,19.938587512794275,same-layout paired baseline,11.444691636325718
strategy,,major_page_faults,5,218.4,218.0,209.0,220.0,240.0,205.0,240.0,,
strategy,,minor_page_faults,5,106.0,105.0,104.0,108.0,111.0,102.0,111.0,,
strategy,,resident_after_cold_pages,5,105.0,105.0,105.0,105.0,105.0,105.0,105.0,,
strategy,,requested_selected_resident_ratio,5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,
strategy,,successful_selected_resident_ratio,5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,
