scope,measurement_file,metric,sample_count,mean,median,p25,p75,p99,min,max,comparison_basis,improvement_percent
measurement,read_zipf_full_034.txt,prefetch_elapsed_us,1,292.0,292.0,292.0,292.0,292.0,292.0,292.0,,
measurement,read_zipf_full_034.txt,first_query_latency_us,1,24.96,24.96,24.96,24.96,24.96,24.96,24.96,same-layout paired baseline,88.85962954697611
measurement,read_zipf_full_034.txt,first_query_improvement_percent,1,88.85962954697611,88.85962954697611,88.85962954697611,88.85962954697611,88.85962954697611,88.85962954697611,88.85962954697611,same-layout paired baseline,88.85962954697611
measurement,read_zipf_full_034.txt,effective_first_query_latency_us,1,316.96,316.96,316.96,316.96,316.96,316.96,316.96,same-layout paired baseline,-41.46842222718142
measurement,read_zipf_full_034.txt,effective_first_query_improvement_percent,1,-41.46842222718142,-41.46842222718142,-41.46842222718142,-41.46842222718142,-41.46842222718142,-41.46842222718142,-41.46842222718142,same-layout paired baseline,-41.46842222718142
measurement,read_zipf_full_034.txt,average_latency_us,1,42.93,42.93,42.93,42.93,42.93,42.93,42.93,same-layout paired baseline,-0.4680552305172077
measurement,read_zipf_full_034.txt,average_improvement_percent,1,-0.4680552305172077,-0.4680552305172077,-0.4680552305172077,-0.4680552305172077,-0.4680552305172077,-0.4680552305172077,-0.4680552305172077,same-layout paired baseline,-0.4680552305172077
measurement,read_zipf_full_034.txt,major_page_faults,1,244.0,244.0,244.0,244.0,244.0,244.0,244.0,,
measurement,read_zipf_full_034.txt,minor_page_faults,1,64.0,64.0,64.0,64.0,64.0,64.0,64.0,,
measurement,read_zipf_full_034.txt,resident_after_cold_pages,1,21.0,21.0,21.0,21.0,21.0,21.0,21.0,,
measurement,read_zipf_full_034.txt,requested_selected_resident_ratio,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,
measurement,read_zipf_full_034.txt,successful_selected_resident_ratio,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,
measurement,read_zipf_full_046.txt,prefetch_elapsed_us,1,133.0,133.0,133.0,133.0,133.0,133.0,133.0,,
measurement,read_zipf_full_046.txt,first_query_latency_us,1,35.39,35.39,35.39,35.39,35.39,35.39,35.39,same-layout paired baseline,83.82688968101637
measurement,read_zipf_full_046.txt,first_query_improvement_percent,1,83.82688968101637,83.82688968101637,83.82688968101637,83.82688968101637,83.82688968101637,83.82688968101637,83.82688968101637,same-layout paired baseline,83.82688968101637
measurement,read_zipf_full_046.txt,effective_first_query_latency_us,1,168.39,168.39,168.39,168.39,168.39,168.39,168.39,same-layout paired baseline,23.04633945708802
measurement,read_zipf_full_046.txt,effective_first_query_improvement_percent,1,23.04633945708802,23.04633945708802,23.04633945708802,23.04633945708802,23.04633945708802,23.04633945708802,23.04633945708802,same-layout paired baseline,23.04633945708802
measurement,read_zipf_full_046.txt,average_latency_us,1,44.26,44.26,44.26,44.26,44.26,44.26,44.26,same-layout paired baseline,0.20293122886133802
measurement,read_zipf_full_046.txt,average_improvement_percent,1,0.20293122886133802,0.20293122886133802,0.20293122886133802,0.20293122886133802,0.20293122886133802,0.20293122886133802,0.20293122886133802,same-layout paired baseline,0.20293122886133802
measurement,read_zipf_full_046.txt,major_page_faults,1,256.0,256.0,256.0,256.0,256.0,256.0,256.0,,
measurement,read_zipf_full_046.txt,minor_page_faults,1,70.0,70.0,70.0,70.0,70.0,70.0,70.0,,
measurement,read_zipf_full_046.txt,resident_after_cold_pages,1,21.0,21.0,21.0,21.0,21.0,21.0,21.0,,
measurement,read_zipf_full_046.txt,requested_selected_resident_ratio,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,
measurement,read_zipf_full_046.txt,successful_selected_resident_ratio,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,
measurement,read_zipf_full_027.txt,prefetch_elapsed_us,1,144.0,144.0,144.0,144.0,144.0,144.0,144.0,,
measurement,read_zipf_full_027.txt,first_query_latency_us,1,36.07,36.07,36.07,36.07,36.07,36.07,36.07,same-layout paired baseline,81.1851233634135
measurement,read_zipf_full_027.txt,first_query_improvement_percent,1,81.1851233634135,81.1851233634135,81.1851233634135,81.1851233634135,81.1851233634135,81.1851233634135,81.1851233634135,same-layout paired baseline,81.1851233634135
measurement,read_zipf_full_027.txt,effective_first_query_latency_us,1,180.07,180.07,180.07,180.07,180.07,180.07,180.07,same-layout paired baseline,6.071670752699397
measurement,read_zipf_full_027.txt,effective_first_query_improvement_percent,1,6.071670752699397,6.071670752699397,6.071670752699397,6.071670752699397,6.071670752699397,6.071670752699397,6.071670752699397,same-layout paired baseline,6.071670752699397
measurement,read_zipf_full_027.txt,average_latency_us,1,48.94,48.94,48.94,48.94,48.94,48.94,48.94,same-layout paired baseline,-2.2138680033416773
