scope,measurement_file,metric,sample_count,mean,median,p25,p75,p99,min,max,comparison_basis,improvement_percent
measurement,read_zipf_full_034.txt,first_query_latency_us,1,224.05,224.05,224.05,224.05,224.05,224.05,224.05,,
measurement,read_zipf_full_034.txt,effective_first_query_latency_us,1,224.05,224.05,224.05,224.05,224.05,224.05,224.05,,
measurement,read_zipf_full_034.txt,average_latency_us,1,42.73,42.73,42.73,42.73,42.73,42.73,42.73,,
measurement,read_zipf_full_034.txt,major_page_faults,1,243.0,243.0,243.0,243.0,243.0,243.0,243.0,,
measurement,read_zipf_full_034.txt,minor_page_faults,1,64.0,64.0,64.0,64.0,64.0,64.0,64.0,,
measurement,read_zipf_full_034.txt,resident_after_cold_pages,1,16.0,16.0,16.0,16.0,16.0,16.0,16.0,,
measurement,read_zipf_full_046.txt,first_query_latency_us,1,218.82,218.82,218.82,218.82,218.82,218.82,218.82,,
measurement,read_zipf_full_046.txt,effective_first_query_latency_us,1,218.82,218.82,218.82,218.82,218.82,218.82,218.82,,
measurement,read_zipf_full_046.txt,average_latency_us,1,44.35,44.35,44.35,44.35,44.35,44.35,44.35,,
measurement,read_zipf_full_046.txt,major_page_faults,1,257.0,257.0,257.0,257.0,257.0,257.0,257.0,,
measurement,read_zipf_full_046.txt,minor_page_faults,1,69.0,69.0,69.0,69.0,69.0,69.0,69.0,,
measurement,read_zipf_full_046.txt,resident_after_cold_pages,1,16.0,16.0,16.0,16.0,16.0,16.0,16.0,,
measurement,read_zipf_full_027.txt,first_query_latency_us,1,191.71,191.71,191.71,191.71,191.71,191.71,191.71,,
measurement,read_zipf_full_027.txt,effective_first_query_latency_us,1,191.71,191.71,191.71,191.71,191.71,191.71,191.71,,
measurement,read_zipf_full_027.txt,average_latency_us,1,47.88,47.88,47.88,47.88,47.88,47.88,47.88,,
measurement,read_zipf_full_027.txt,major_page_faults,1,279.0,279.0,279.0,279.0,279.0,279.0,279.0,,
measurement,read_zipf_full_027.txt,minor_page_faults,1,55.0,55.0,55.0,55.0,55.0,55.0,55.0,,
measurement,read_zipf_full_027.txt,resident_after_cold_pages,1,16.0,16.0,16.0,16.0,16.0,16.0,16.0,,
measurement,read_zipf_full_033.txt,first_query_latency_us,1,384.27,384.27,384.27,384.27,384.27,384.27,384.27,,
measurement,read_zipf_full_033.txt,effective_first_query_latency_us,1,384.27,384.27,384.27,384.27,384.27,384.27,384.27,,
measurement,read_zipf_full_033.txt,average_latency_us,1,48.85,48.85,48.85,48.85,48.85,48.85,48.85,,
measurement,read_zipf_full_033.txt,major_page_faults,1,254.0,254.0,254.0,254.0,254.0,254.0,254.0,,
measurement,read_zipf_full_033.txt,minor_page_faults,1,71.0,71.0,71.0,71.0,71.0,71.0,71.0,,
measurement,read_zipf_full_033.txt,resident_after_cold_pages,1,16.0,16.0,16.0,16.0,16.0,16.0,16.0,,
measurement,read_zipf_full_036.txt,first_query_latency_us,1,188.69,188.69,188.69,188.69,188.69,188.69,188.69,,
measurement,read_zipf_full_036.txt,effective_first_query_latency_us,1,188.69,188.69,188.69,188.69,188.69,188.69,188.69,,
measurement,read_zipf_full_036.txt,average_latency_us,1,42.4,42.4,42.4,42.4,42.4,42.4,42.4,,
measurement,read_zipf_full_036.txt,major_page_faults,1,245.0,245.0,245.0,245.0,245.0,245.0,245.0,,
measurement,read_zipf_full_036.txt,minor_page_faults,1,61.0,61.0,61.0,61.0,61.0,61.0,61.0,,
measurement,read_zipf_full_036.txt,resident_after_cold_pages,1,16.0,16.0,16.0,16.0,16.0,16.0,16.0,,
strategy,,first_query_latency_us,5,241.50799999999998,218.82,191.71,224.05,384.27,188.69,384.27,,
strategy,,effective_first_query_latency_us,5,241.50799999999998,218.82,191.71,224.05,384.27,188.69,384.27,,
strategy,,average_latency_us,5,45.242000000000004,44.35,42.73,47.88,48.85,42.4,48.85,,
strategy,,major_page_faults,5,255.6,254.0,245.0,257.0,279.0,243.0,279.0,,
strategy,,minor_page_faults,5,64.0,64.0,61.0,69.0,71.0,55.0,71.0,,
strategy,,resident_after_cold_pages,5,16.0,16.0,16.0,16.0,16.0,16.0,16.0,,
